family,MW (z),LogP (z),TPSA (z)
Oxalidaceae,-0.3377704400071533,-0.24479394026224166,0.20481633813847097
Paeoniaceae,0.2949696360255708,-0.03654515335054743,0.72355471663694515
Pandaceae,-0.8055950947640871,-0.46609131074470367,-0.39852957290193
Papaveraceae,-0.5975825849249158,0.026583563620938448,-0.6166955100912067
Paracryphiaceae,1.1184816546220604,2,0.36513924839741874
Passifloraceae,-1.3601334816636184,0.3595041338138407,-1.2947003052060655
Paulowniaceae,0.3566667941557888,1.62815680078033,-0.45417157141025233
Pentaphylacaceae,-1.0655977431876555,-0.4717732256160252,-0.5610535115828844
Petiveriaceae,-0.7357409228852849,0.4280306699130823,-1.1666004510452919
Phrymaceae,0.09666414573222028,1.62815680078033,-0.8103860112277721
Phyllanthaceae,0.5813483607529489,-0.2772667444396204,0.6144717480423064
Physenaceae,0.09666414573222028,2,-0.6166955100912067
Phytolaccaceae,0.6853805934233264,0.5262617284093727,-0.12912369404834373
Pinaceae,0.1824253603457892,-0.2715848295682988,0.42078124690574104
Piperaceae,-0.9701295090282658,0.5632734576060512,-1.329124389726246
Plantaginaceae,0.3209647053177694,-1.758660875192796,0.776995686723261
Platanaceae,0.2515175182013693,0.421740922288091,0.6144717480423064
Plumbaginaceae,-0.5630494948725214,-0.017814654908458107,-0.20483907176536442
Poaceae,-0.9615914882680702,0.11769240789480478,-0.6166955100912067
Podocarpaceae,0.33844773160056385,-0.020985956231986392,0.2582573082247869
Polygalaceae,-0.7883155608624941,0.2148795797054337,-0.6758591540747394
Polygonaceae,-0.06864527143057655,0.5596925298615671,-0.23266007101952582
Polypodiaceae,0.1998824088777921,-1.2925456494117036,0.776995686723261
Portulacaceae,-0.5975825849249158,-0.5503950709284986,-0.41974748689007185
Posidoniaceae,0.1998824088777921,-1.6269858014887963,0.6144717480423064
Primulaceae,-0.7012078328328907,0.3846102692917733,-0.772704404643022
Proteaceae,0.2515175182013693,-0.4717732256160252,0.6144717480423064
Pteridaceae,-0.11208440037938151,1.1170487374716727,-0.8103860112277721
Ranunculaceae,-0.3891544310730777,0.3651860486851623,-0.543445284206833
Rhamnaceae,0.062131055679826,0.16499765263743593,-0.260481070273687
Rhizophoraceae,1.274668551631849,0.6800037738229235,0.8482209664593887
Rosaceae,0.3038886637973775,-0.38528919577230447,0.6144717480423064
Rubiaceae,0.3642522973869564,0.35768724243056943,0.776995686723261
Rutaceae,-0.04187519923975941,0.48797487180552507,-0.8103860112277721
Salicaceae,-0.9615914882680702,0.0957575737404005,-0.5610535115828844
Santalaceae,0.6853546156725343,-1.2396906273528985,0.5833051855866958
Sapindaceae,1.413017393098023,0.35236870583590185,1.1888521250491029
Sapotaceae,-0.8059761017756986,-0.66627970679243,-0.20483907176536442
Sarcolaenaceae,0.09666414573222028,2,-0.9729099499087265
Sarraceniaceae,0.19950140186618107,-1.724767592297587,0.776995686723261
Saururaceae,1.4479055124112368,-2,1.4582580039026893
Saxifragaceae,0.17350633257398249,-0.19970199956832313,0.7525202506705494
Schisandraceae,-0.4757382744617164,0.5250064216354761,-0.260481070273687
Sciadopityaceae,-1.0655977431876555,-0.4717732256160252,-0.5610535115828844
Scrophulariaceae,1.707908160834806,-2,1.6207819425836436
Selaginellaceae,1.2224879095416457,2,0.2402969163012143
Simaroubaceae,-1.2041370881596358,-0.2772667444396204,-0.7792194487721612
Siparunaceae,-1.0830547917196585,-0.02950882853896889,-0.8660280097360944
Smilacaceae,0.19990838662858365,-0.4717732256160252,0.2582573082247869
Solanaceae,0.1649683118137863,-0.02950882853896889,-0.20483907176536442
Stachyuraceae,2,-0.2365023086767599,2
Stemonaceae,-0.9957435713088529,1.2435241983806375,-1.4294912857697388
Symplocaceae,0.4598850573013606,-1.9410767700732496,0.638947184095018
Tamaricaceae,-0.2510437189891603,-1.2309034799356215,0.16141205765650424
Taxaceae,0.1824383492211852,0.32524747264197734,0.31389930673310923
Tectariaceae,-0.9270583982156758,-0.66627970679243,-0.20483907176536442
Theaceae,1.5688232830962006,0.23384131886903034,1.7387570660031881
Thelypteridaceae,1.7515637710402079,-1.326240725974193,1.126519000137881
Thymelaeaceae,1.1184816546220604,0.9935001234092146,0.36513924839741874
Trochodendraceae,-1.0655977431876555,-0.4717732256160252,-0.5610535115828844
Typhaceae,-1.1348674156736456,-0.3745199850278228,-0.7391607314916442
Ulmaceae,0.1824253603457892,-1.7179625082075156,0.6144717480423064
Urticaceae,1.4304744416300255,0.3015948502706618,1.3825426261856681
Velloziaceae,-0.5106523715257217,0.7461386201740041,-0.7135407606594893
Verbenaceae,-1.0830547917196585,0.042506139016153806,-0.6166955100912067
Viburnaceae,0.061343063905811915,-0.4717732256160252,0.06456680708822159
Violaceae,1.6904511123028023,-2,1.4959396104874392
Vitaceae,0.33844773160056385,0.17067956750875748,0.6833199170826677
Vochysiaceae,-0.4757382744617164,0.7691437685250991,-0.9729099499087265
Winteraceae,0.3209647053177694,-1.468090391424512,0.776995686723261
Woodsiaceae,-1.0392086780084504,0.4904524509645317,-1.329124389726246
Zingiberaceae,-0.19787159274374247,1.72950630557809,-1.0040765123643374
Zygophyllaceae,-1.0132006198408559,0.3651860486851623,-1.1666004510452919
