family,Cells: Phenotypic/Other,General Assays and Safety,Enzymes: Phosphatases,Pathogen: Parasite,Pathogen: Bacteria,Cells: Breast Cancer,Pathogen: Virus,Enzymes: General Metabolism,Cells: Colorectal Cancer,Cells: Lung Cancer,Transporters and Ion Channels,Cells: Cervical Cancer,Proteins: Neurodegeneration,Cells: Melanoma,Enzymes: Inflammatory COX/PG,Cells: Liver Cancer,Enzymes: Tyrosinase,Enzymes: Carbohydrate Metabolism,Enzymes: Kinases,Enzymes: Steroid Metabolism,Proteins: Inflammatory Response,Cells: Hematologic Cancer,Enzymes: Proteases,Enzymes: Lipid Metabolism,Cells: Prostate Cancer,Proteins: Growth Factors,Enzymes: Cholinesterase,Receptors: Nuclear,Proteins: NF-kB/TNF Signaling,Enzymes: CYP450
Cistaceae,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.2857142857142857,0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.5714285714285714,0.14285714285714285,0.42857142857142855,0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,0,0.2857142857142857,0,0.14285714285714285,0,0,0,0.14285714285714285,0.2857142857142857
Cleomaceae,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5
Clusiaceae,0.42857142857142855,0.6666666666666666,0.09523809523809523,0.2857142857142857,0.23809523809523808,0.047619047619047616,0.19047619047619047,0.14285714285714285,0.09523809523809523,0,0.19047619047619047,0,0.14285714285714285,0.09523809523809523,0.047619047619047616,0,0,0.09523809523809523,0.19047619047619047,0.14285714285714285,0.09523809523809523,0,0.3333333333333333,0,0.047619047619047616,0.047619047619047616,0,0.047619047619047616,0,0.14285714285714285
Combretaceae,0.5217391304347826,0.43478260869565216,0.08695652173913043,0.4782608695652174,0.21739130434782608,0.30434782608695654,0.2608695652173913,0.2608695652173913,0.13043478260869565,0.30434782608695654,0.30434782608695654,0,0.391304347826087,0.13043478260869565,0.21739130434782608,0,0.043478260869565216,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.13043478260869565,0.043478260869565216,0.2608695652173913,0.08695652173913043,0.13043478260869565,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.13043478260869565
Convolvulaceae,0.8461538461538461,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.23076923076923078,0,0.15384615384615385,0,0.07692307692307693,0,0.07692307692307693,0.07692307692307693,0,0,0.15384615384615385,0.15384615384615385
Cordiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Coriariaceae,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Cornaceae,0.6666666666666666,1,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0.6666666666666666,0,0.6666666666666666,0,0.3333333333333333,0.6666666666666666,0,0,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0,0,0
Crassulaceae,0.47368421052631576,0.631578947368421,0.21052631578947367,0.2631578947368421,0.42105263157894735,0.10526315789473684,0.5263157894736842,0.3157894736842105,0.15789473684210525,0.05263157894736842,0.42105263157894735,0,0.5263157894736842,0.21052631578947367,0.21052631578947367,0,0.15789473684210525,0.21052631578947367,0.3684210526315789,0.21052631578947367,0.21052631578947367,0.05263157894736842,0.3157894736842105,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.15789473684210525
Cucurbitaceae,0.35714285714285715,0.9285714285714286,0.21428571428571427,0.35714285714285715,0.2857142857142857,0.07142857142857142,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.07142857142857142,0.2857142857142857,0,0.6428571428571429,0.07142857142857142,0.2857142857142857,0,0.14285714285714285,0.21428571428571427,0.35714285714285715,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.07142857142857142,0,0.07142857142857142,0.07142857142857142
Cunoniaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupressaceae,0.4,0.8,0.13333333333333333,0.2,0.13333333333333333,0,0.26666666666666666,0.26666666666666666,0.06666666666666667,0,0.2,0,0.4666666666666667,0.06666666666666667,0.2,0,0.2,0.2,0.2,0.06666666666666667,0.13333333333333333,0,0.13333333333333333,0,0.06666666666666667,0.13333333333333333,0,0,0,0.06666666666666667
Cyatheaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycadaceae,0.42857142857142855,0.8571428571428571,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0,0.2857142857142857,0,0.7142857142857143,0,0.2857142857142857,0,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0,0.2857142857142857,0,0.14285714285714285,0,0,0.14285714285714285,0,0.2857142857142857
Cynomoriaceae,0.5,0.5,0,0.5,0.25,0.25,0.25,0,0,0,0.25,0,0.75,0,0.5,0,0.25,0.5,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0
Cyperaceae,0.5294117647058824,0.47058823529411764,0.29411764705882354,0.35294117647058826,0.23529411764705882,0.29411764705882354,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.23529411764705882,0,0.17647058823529413,0.11764705882352941,0.17647058823529413,0,0.058823529411764705,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.23529411764705882
Daphniphyllaceae,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Davalliaceae,0,0.75,0.25,0.25,0.25,0,0,0.25,0,0,0,0,0.5,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0.25,0,0,0,0,0.25
Dennstaedtiaceae,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Diapensiaceae,0.5,1,0.5,1,0.5,0,0.5,0,0,0,0,0,1,0,1,0,0.5,1,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0.5
Didiereaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dilleniaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dioscoreaceae,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0,0,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.2222222222222222,0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0,0.2222222222222222,0,0.1111111111111111,0.1111111111111111,0,0.1111111111111111
Dipterocarpaceae,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
