family,fine_clade,analysis_clade,n_compounds_structural,n_scaffolds,median_mw,median_logp,median_tpsa,median_fsp3,prevalence_phenolic,prevalence_methoxy,prevalence_prenyl,prevalence_sugar,prevalence_enone,n_occurrence_rows,n_compounds,n_species,n_genera,n_references,n_classes,rarefied_scaffolds_5,rarefied_scaffolds_10,rarefied_scaffolds_20,n_exclusive_scaffolds,novelty_ratio,exclusive_scaffold_share,expected_scaffolds,effort_adjusted_novelty,effort_adjusted_novelty_z
Apocynaceae,Asterids (Lamiids),Asterids,89,33,494.44900000000024,2.7935000000000016,184.6,0.20833333333333334,0.8089887640449438,0.33707865168539325,0.033707865168539325,0.25842696629213485,0.033707865168539325,113,89,14,12,21,8,4.716260297320759,8.791965254414723,15.402336617857221,5,0.3707865168539326,0.15151515151515152,19.64111447460166,0.4990755895980401,1.4902284232343428
Aquifoliaceae,Asterids (Campanulids),Asterids,5,4,288.2990000000001,2.1799,107.22000000000001,0.25,1,0.2,0.2,0.4,0.2,5,5,2,1,4,2,4,,,1,0.8,0.25,2.155249435501823,0.4603703591851045,1.374655480595238
Araceae,Monocots,Monocots,2,1,290.271,1.5460999999999998,110.38000000000001,0.2,1,0,0,0,0,2,2,1,1,1,1,,,,0,0.5,0,1.2104597905767478,-0.10005336336503656,-0.29875708015866237
Araliaceae,Asterids (Campanulids),Asterids,12,6,464.4230000000001,-0.11320000000000047,186.37,0.36438923395445133,0.9166666666666666,0.3333333333333333,0.16666666666666666,0.9166666666666666,0.3333333333333333,12,12,4,4,5,4,3.8080808080808106,5.621212121212121,,2,0.5,0.3333333333333333,3.9380269957713088,0.34894429120289727,1.041939761659624
Araucariaceae,Gymnosperms,Gymnosperms,5,2,312.321,2.993900000000001,57.900000000000006,0.11764705882352941,0.8,0.6,0,0,0.4,5,5,1,1,2,2,2,,,0,0.4,0,2.155249435501823,-0.050455264580886006,-0.150658278920845
Arecaceae,Monocots (Commelinids),Monocots,43,16,538.5960000000005,3.775520000000003,107.22000000000001,0.2,1,0.4883720930232558,0,0,0,59,43,6,4,15,6,4.325159620111389,7.417001814231416,11.57580846945567,3,0.37209302325581395,0.1875,10.740885200703687,0.3701361320980783,1.1052181192889645
Aristolochiaceae,Magnoliids,Early angiosperms & magnoliids,13,5,596.5440000000002,-2.6487000000000003,256.28999999999996,0.4444444444444444,1,0.46153846153846156,0,0.5384615384615384,0.6153846153846154,14,13,4,3,4,2,3.536130536130536,4.723776223776223,,3,0.38461538461538464,0.6,4.176003028348866,0.14772632695449794,0.44110747124480537
Asparagaceae,Monocots,Monocots,158,25,314.33700000000005,2.6635000000000004,85.22,0.24621212121212122,0.9620253164556962,0.7531645569620253,0.0379746835443038,0.08860759493670886,0.12658227848101267,254,158,36,23,53,12,3.723599933914545,5.89689869982647,9.028713606114808,9,0.15822784810126583,0.36,31.516258727572996,-0.22364369476232904,-0.6677950145395748
Asphodelaceae,Monocots,Monocots,34,7,300.31000000000006,2.817200000000001,76.875,0.1875,0.9411764705882353,0.6470588235294118,0,0.17647058823529413,0.4411764705882353,48,34,11,3,6,5,2.9602775861077544,4.102870184843622,5.689838299900134,3,0.20588235294117646,0.42857142857142855,8.854597939410514,-0.20849660046809815,-0.6225661335501158
Aspleniaceae,Ferns,Non-seed vascular plants,5,3,580.5390000000003,-1.1652000000000007,225.05999999999997,0.5185185185185185,1,0,0,1,0,5,5,2,1,2,2,3,,,0,0.6,0,2.155249435501823,0.23722680787089478,0.7083538830802957
Asteraceae,Asterids (Campanulids),Asterids,716,102,360.3620000000001,2.5185000000000013,107.22000000000001,0.25,0.9441340782122905,0.49162011173184356,0.23184357541899442,0.3226256983240223,0.3393854748603352,2043,716,411,160,422,15,3.958214715920713,6.8134837779007,11.680077712475088,46,0.1424581005586592,0.45098039215686275,108.19966640350688,-0.058449020163561904,-0.17452745230054545
Athyriaceae,Ferns,Non-seed vascular plants,2,1,596.5380000000004,-1.5450999999999993,234.28999999999996,0.5185185185185185,1,1,0,1,0,2,2,1,1,1,1,,,,0,0.5,0,1.2104597905767478,-0.10005336336503656,-0.29875708015866237
Balanophoraceae,Santalales,Caryophyllales & Santalales,43,14,720.6360000000005,1.4662000000000008,265.52,0.2857142857142857,0.9534883720930233,0.09302325581395349,0.09302325581395349,0.8372093023255814,0.09302325581395349,66,43,7,3,10,3,4.315711231479791,7.290746834586582,10.903036029241369,7,0.32558139534883723,0.5,10.740885200703687,0.24497298914407217,0.731483805171078
Balsaminaceae,Asterids (Basal),Asterids,1,1,442.3760000000002,3.012000000000002,137.8,0.18181818181818182,1,1,0,0,0,1,1,1,1,1,1,,,,0,1,0,0.8083925060275858,0.10070884810965575,0.30071434278136855
Basellaceae,Caryophyllales,Caryophyllales & Santalales,1,1,338.53500000000014,7.198700000000008,9.23,0.5,0,0,0,0,0,1,1,1,1,1,1,,,,1,1,1,0.8083925060275858,0.10070884810965575,0.30071434278136855
Begoniaceae,Rosids (Fabids),Rosids,16,6,506.6020000000002,2.9950000000000028,140.73000000000002,0.2,0.5625,0,0,0.1875,0.125,19,16,3,1,5,5,3.5849358974358845,5.079670329670326,,0,0.375,0,4.877405203883506,0.17479477639923058,0.5219332490952343
Berberidaceae,Basal Eudicots,Early eudicots & Saxifragales,12,8,441.3885000000001,1.7343500000000005,157.28,0.2222222222222222,1,0.3333333333333333,0.08333333333333333,0.4166666666666667,0.08333333333333333,18,12,9,3,11,5,4.2878787878787925,7.136363636363636,,0,0.6666666666666666,0,3.9380269957713088,0.6002587194838036,1.7923589606726147
Betulaceae,Rosids (Fabids),Rosids,48,9,303.26800000000003,2.0084499999999994,118.91500000000002,0.1875,0.9791666666666666,0.25,0,0.20833333333333334,0,128,48,17,4,32,4,3.394862711294248,5.141206892286031,7.188933796328285,1,0.1875,0.1111111111111111,11.764705435879186,-0.2440988815129903,-0.7288737395538613
Bignoniaceae,Asterids (Lamiids),Asterids,23,8,482.44100000000026,2.812900000000001,156.91,0.20833333333333334,1,0.4782608695652174,0,0.2608695652173913,0,23,23,8,7,8,6,3.924960622901113,6.128517061078643,7.9395821569734615,1,0.34782608695652173,0.125,6.462583160138971,0.1873229549423745,0.5593421068824549
Bixaceae,Rosids (Malvids),Rosids,1,1,272.25600000000003,2.5099000000000014,86.99000000000001,0.13333333333333333,1,0,0,0,0,1,1,1,1,1,1,,,,0,1,0,0.8083925060275858,0.10070884810965575,0.30071434278136855
Blechnaceae,Ferns,Non-seed vascular plants,10,5,391.3755000000001,2.1091500000000005,143.76,0.22,1,0.4,0.2,0.2,0.4,10,10,4,4,5,3,3.7499999999999996,5,,3,0.5,0.6,3.4537250089690232,0.29801864253933896,0.8898769265063291
Bonnetiaceae,Rosids (Fabids),Rosids,2,1,286.2830000000001,2.8129,75.99000000000001,0.1875,1,1,0,0,0,2,2,1,1,1,1,,,,0,0.5,0,1.2104597905767478,-0.10005336336503656,-0.29875708015866237
Boraginaceae,Asterids (Lamiids),Asterids,6,3,418.3980000000001,0.27739999999999926,145.91000000000003,0.3571428571428571,1,0.3333333333333333,0,0.5,0,6,6,2,2,2,2,2.833333333333333,,,0,0.5,0,2.4308943454761054,0.15347339180804753,0.4582680769194472
Brassicaceae,Rosids (Malvids),Rosids,51,15,318.281,1.4893,127.45000000000002,0.1875,1,0.29411764705882354,0.21568627450980393,0.2549019607843137,0.29411764705882354,94,51,10,9,16,8,3.9395996696550983,6.41098648094656,9.709348545233183,6,0.29411764705882354,0.4,12.371335118016683,0.17947547687318544,0.535909714849752
Bromeliaceae,Monocots (Commelinids),Monocots,24,6,442.37600000000015,2.6872000000000007,177.14,0.2,1,0.2916666666666667,0,0,0,30,24,3,3,4,3,3.612177677395068,5.09515636918383,5.956333521550913,0,0.25,0,6.684517662480169,-0.09329746246262904,-0.2785841128583949
Burseraceae,Rosids (Malvids),Rosids,20,4,318.281,2.2155000000000014,107.22,0.19375,1,0.2,0.25,0.1,0,25,20,5,2,6,3,1.9473684210526339,2.763157894736843,4,0,0.2,0,5.790514973217858,-0.30608886914980604,-0.9139744406455175
Cactaceae,Caryophyllales,Caryophyllales & Santalales,20,5,312.25350000000003,1.0390999999999995,137.565,0.13333333333333333,1,0,0,0.4,0.1,38,20,5,4,6,4,3.354747162022709,4.472136222910218,5,2,0.25,0.4,5.790514973217858,-0.12376731235585137,-0.3695663955204955
Calceolariaceae,Asterids (Lamiids),Asterids,3,1,286.2830000000001,2.8129,75.99000000000001,0.1875,1,0.6666666666666666,0,0,0,3,3,1,1,2,2,,,,0,0.3333333333333333,0,1.554473191138598,-0.24469883441488138,-0.7306651853501183
Calophyllaceae,Rosids (Fabids),Rosids,19,5,314.29300000000006,3.1742000000000017,110.38000000000001,0.06666666666666667,1,0.2631578947368421,0,0,0,30,19,12,5,14,4,3.132782937736501,4.035603715170281,,1,0.2631578947368421,0.2,5.5642207774601,-0.08987433802588685,-0.26836274070911814
Campanulaceae,Asterids (Campanulids),Asterids,10,5,524.4750000000003,0.39244999999999913,204.82999999999996,0.32916666666666666,1,0.3,0,0.5,0,11,10,2,2,3,3,3.6111111111111107,5,,1,0.5,0.2,3.4537250089690232,0.29801864253933896,0.8898769265063291
Cannabaceae,Rosids (Fabids),Rosids,77,14,370.401,3.4116000000000026,96.22000000000001,0.25,1,0.5974025974025974,0.5324675324675324,0.025974025974025976,0.7012987012987013,216,77,1,1,46,4,3.3094323436068103,5.108662911280678,7.685414687747945,2,0.18181818181818182,0.14285714285714285,17.419189383240834,-0.20534282133210224,-0.6131490203772395
Capparaceae,Rosids (Malvids),Rosids,2,1,282.2715,1.6932999999999998,100.26500000000001,0.2,1,0,0,0,0,2,2,1,1,1,1,,,,0,0.5,0,1.2104597905767478,-0.10005336336503656,-0.29875708015866237
Caprifoliaceae,Asterids (Campanulids),Asterids,7,4,408.4060000000002,2.215500000000001,107.22000000000001,0.2608695652173913,1,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.14285714285714285,7,7,4,2,5,3,3.571428571428571,,,0,0.5714285714285714,0,2.69635309474721,0.3020912289246962,0.9020375773456624
Caryophyllaceae,Caryophyllales,Caryophyllales & Santalales,16,7,506.4380000000003,-0.3156999999999999,206.08999999999997,0.3390909090909091,0.875,0.125,0,0.5625,0,16,16,7,6,9,6,4.003205128205117,6.0810439560439535,,2,0.4375,0.2857142857142857,4.877405203883506,0.3083261690237531,0.9206549674693945
Casuarinaceae,Rosids (Fabids),Rosids,2,1,306.27000000000004,1.2517,130.61,0.2,1,0,0,0,0,2,2,1,1,1,1,,,,0,0.5,0,1.2104597905767478,-0.10005336336503656,-0.29875708015866237
Celastraceae,Rosids (Fabids),Rosids,57,11,382.41200000000015,1.8404999999999996,147.68,0.22580645161290322,1,0.49122807017543857,0.017543859649122806,0.21052631578947367,0,120,57,24,11,37,4,3.5937685838381435,5.323887008987931,7.3623534193959,1,0.19298245614035087,0.09090909090909091,13.568356256892073,-0.1939451470947513,-0.5791158228791485
Cephalotaxaceae,Gymnosperms,Gymnosperms,10,4,290.271,1.4806999999999992,110.38000000000001,0.2,1,0,0,0.4,0,10,10,1,1,1,3,3.3888888888888884,4,,0,0.4,0,3.4537250089690232,0.11569708574538429,0.34546888138130716
Cercidiphyllaceae,Saxifragales,Early eudicots & Saxifragales,6,1,304.25399999999996,1.1862999999999995,127.45000000000002,0.13333333333333333,1,0,0,0,0,6,6,1,1,1,1,1,,,0,0.16666666666666666,0,2.4308943454761054,-0.5396737887518978,-1.6114537277216607
Chloranthaceae,Chloranthales,Early angiosperms & magnoliids,30,6,301.318,3.115900000000001,66.75999999999999,0.23529411764705882,1,0.8333333333333334,0,0.16666666666666666,0.1,34,30,1,1,5,3,3.3229758747000147,4.670119518995079,5.761424782114438,1,0.2,0.16666666666666666,7.996692776791031,-0.25094689150209715,-0.7493217425038338
Chrysobalanaceae,Rosids (Fabids),Rosids,15,3,290.271,1.9211000000000014,110.38000000000001,0.1875,1,0.13333333333333333,0,0.06666666666666667,0,39,15,27,6,7,3,2.2474192474192507,2.666333666333667,,0,0.2,0,4.6454446517078765,-0.3445546025041233,-1.0288322504841532
