family,fine_clade,analysis_clade,n_compounds_structural,n_scaffolds,n_exclusive_scaffolds,exclusive_scaffold_share,fig3_expected_log_scaffolds,fig3_effort_adjusted_scaffold_richness,fig3_effort_adjusted_z,opportunity_gap,highlighted,highlight_reason
Saxifragaceae,Saxifragales,Early eudicots & Saxifragales,26,7,1,0.14285714285714285,2.1120346361739673,-0.0325930944941315,-0.08637571827617259,0.6538461538461539,FALSE,
Myristicaceae,Magnoliids,Early angiosperms & magnoliids,99,21,7,0.3333333333333333,3.125737205529239,-0.03469475217092288,-0.09194537019848943,0.797979797979798,FALSE,
Clusiaceae,Rosids (Fabids),Rosids,125,25,8,0.32,3.3046673059129756,-0.0465707678914935,-0.12341827585671529,0.832,FALSE,
Polypodiaceae,Ferns,Non-seed vascular plants,27,7,0,0,2.1401908506473566,-0.06074930896752084,-0.1609931575473946,0.8518518518518519,FALSE,
Zingiberaceae,Monocots (Commelinids),Monocots,184,33,18,0.5454545454545454,3.602023232726596,-0.07566270811043463,-0.20051550370389157,0.782608695652174,FALSE,
Phyllanthaceae,Rosids (Fabids),Rosids,81,17,1,0.058823529411764705,2.9720936476476814,-0.08172188975151684,-0.2165730819896394,0.7530864197530864,FALSE,
Calophyllaceae,Rosids (Fabids),Rosids,19,5,1,0.2,1.8796906550116401,-0.08793118578358516,-0.23302848191663553,0.5263157894736843,FALSE,
Plumbaginaceae,Caryophyllales,Caryophyllales & Santalales,33,8,0,0,2.2905085732555017,-0.09328399591928216,-0.24721408863618372,0.6363636363636364,FALSE,
Ulmaceae,Rosids (Fabids),Rosids,15,4,1,0.25,1.7069308258940907,-0.09749291345999045,-0.2583682389673016,0.8,FALSE,
Bromeliaceae,Monocots (Commelinids),Monocots,24,6,0,0,2.0524506002712934,-0.10654045121598021,-0.28234532934284556,0.41666666666666663,FALSE,
Onagraceae,Rosids (Malvids),Rosids,24,6,0,0,2.0524506002712934,-0.10654045121598021,-0.28234532934284556,0.8333333333333334,FALSE,
Actinidiaceae,Asterids (Basal),Asterids,29,7,0,0,2.1936058743885245,-0.11416433270868875,-0.30254955512152115,0.3793103448275862,FALSE,
Cactaceae,Caryophyllales,Caryophyllales & Santalales,20,5,2,0.4,1.9174644709891928,-0.12570500176113786,-0.333133750769848,0.85,FALSE,
Hamamelidaceae,Saxifragales,Early eudicots & Saxifragales,20,5,0,0,1.9174644709891928,-0.12570500176113786,-0.333133750769848,0.75,FALSE,
Meliaceae,Rosids (Malvids),Rosids,113,21,6,0.2857142857142857,3.227181204579981,-0.13613875122166474,-0.3607844730456644,0.6017699115044248,FALSE,
Gentianaceae,Asterids (Lamiids),Asterids,25,6,0,0,2.0828156804155755,-0.1369055313602623,-0.3628165349366639,0.84,FALSE,
Simaroubaceae,Rosids (Malvids),Rosids,25,6,0,0,2.0828156804155755,-0.1369055313602623,-0.3628165349366639,0.6799999999999999,FALSE,
Pteridaceae,Ferns,Non-seed vascular plants,101,19,8,0.42105263157894735,3.1410686873692666,-0.14533641381527573,-0.3851594127473275,0.8118811881188119,FALSE,
Apiaceae,Asterids (Campanulids),Asterids,103,19,3,0.15789473684210525,3.1561024523766283,-0.1603701788226375,-0.42500074328254,0.6699029126213591,FALSE,
Combretaceae,Rosids (Malvids),Rosids,71,14,3,0.21428571428571427,2.871404698346844,-0.1633544972446339,-0.43290955498838085,0.676056338028169,FALSE,
Dryopteridaceae,Ferns,Non-seed vascular plants,26,6,2,0.3333333333333333,2.1120346361739673,-0.16612448711865402,-0.44025036962104175,0.9230769230769231,FALSE,
Celastraceae,Rosids (Fabids),Rosids,57,11,1,0.09090909090909091,2.704001836549333,-0.21909518676133244,-0.5806292535607586,0.736842105263158,FALSE,
Cannabaceae,Rosids (Fabids),Rosids,77,14,2,0.14285714285714285,2.9333748767992605,-0.2253246756970504,-0.5971381671716773,0.6103896103896104,FALSE,
Asparagaceae,Monocots,Monocots,158,25,9,0.36,3.48476702280736,-0.22667048478587803,-0.6007047271597454,0.8481012658227848,FALSE,
Asphodelaceae,Monocots,Monocots,34,7,3,0.42857142857142855,2.312951055685114,-0.23350951400527808,-0.6188289976626213,0.7352941176470589,FALSE,
Gnetaceae,Gymnosperms,Gymnosperms,24,5,2,0.4,2.0524506002712934,-0.2606911310432385,-0.6908636335878631,0.9166666666666666,FALSE,
Betulaceae,Rosids (Fabids),Rosids,48,9,1,0.1111111111111111,2.57345194000921,-0.27086684701516406,-0.7178305353101797,0.5,FALSE,
Chloranthaceae,Chloranthales,Early angiosperms & magnoliids,30,6,1,0.16666666666666666,2.21899211448446,-0.273081965429147,-0.7237008721727629,0.8333333333333334,FALSE,
Geraniaceae,Rosids (Malvids),Rosids,42,8,1,0.125,2.47232416184553,-0.27509958450931027,-0.7290478114542784,0.7142857142857143,FALSE,
Amaryllidaceae,Monocots,Monocots,76,13,2,0.15384615384615385,2.923384880199633,-0.28432755058437476,-0.7535030591174113,0.7763157894736842,FALSE,
Pinaceae,Gymnosperms,Gymnosperms,166,24,3,0.125,3.5227729596694055,-0.30389713480120495,-0.8053648697042879,0.7048192771084337,FALSE,
Burseraceae,Rosids (Malvids),Rosids,20,4,0,0,1.9174644709891928,-0.30802655855509253,-0.816308351700849,0.65,FALSE,
Velloziaceae,Monocots,Monocots,10,2,0,0,1.4168397578132346,-0.3182274691451248,-0.8433420222669785,0.7,FALSE,
Acanthaceae,Asterids (Lamiids),Asterids,26,5,0,0,2.1120346361739673,-0.3202751669459123,-0.8487686738660593,0.8846153846153846,FALSE,
Chrysobalanaceae,Rosids (Fabids),Rosids,15,3,0,0,1.7069308258940907,-0.32063646477420016,-0.8497261576494909,0.6,FALSE,
Thelypteridaceae,Ferns,Non-seed vascular plants,74,12,10,0.8333333333333334,2.903009652938694,-0.33806029547715744,-0.8959014569099338,0.9594594594594594,FALSE,
Onocleaceae,Ferns,Non-seed vascular plants,21,4,0,0,1.9534807217992691,-0.34404280936516884,-0.9117558561989374,0.8095238095238095,FALSE,
Nyctaginaceae,Caryophyllales,Caryophyllales & Santalales,34,6,1,0.16666666666666666,2.312951055685114,-0.3670409066298006,-0.9727036490074904,0.7647058823529411,FALSE,
Heliotropiaceae,Asterids (Lamiids),Asterids,16,3,0,0,1.7538669681462131,-0.36757260702632255,-0.9741127206028733,0.5625,FALSE,
Iridaceae,Monocots,Monocots,174,22,7,0.3181818181818182,3.559000180988183,-0.42350596505903315,-1.1223430144936166,0.9367816091954023,FALSE,
Gleicheniaceae,Ferns,Non-seed vascular plants,30,5,0,0,2.21899211448446,-0.42723264525640525,-1.1322191764177805,0.8,FALSE,
Petiveriaceae,Caryophyllales,Caryophyllales & Santalales,13,2,0,0,1.6035496021704096,-0.5049373135022999,-1.3381461262003354,1,FALSE,
Vochysiaceae,Rosids (Malvids),Rosids,28,4,2,0.5,2.167358925933502,-0.5579210134994017,-1.478559462681874,0.9642857142857143,FALSE,
Muntingiaceae,Rosids (Malvids),Rosids,46,6,1,0.16666666666666666,2.5411884109575826,-0.5952782619022694,-1.5775607761104042,0.7608695652173914,FALSE,
Dipterocarpaceae,Rosids (Malvids),Rosids,22,3,0,0,1.9878957165619187,-0.6016013554420281,-1.5943177534610036,0.9090909090909091,FALSE,
Cyperaceae,Monocots (Commelinids),Monocots,69,8,1,0.125,2.849594416765839,-0.6523698394296193,-1.72886049443978,0.7536231884057971,FALSE,
Phrymaceae,Asterids (Lamiids),Asterids,17,2,0,0,1.798119545177495,-0.6995072565093852,-1.8537804604982817,0.6470588235294117,FALSE,
Namaceae,Asterids (Lamiids),Asterids,14,1,0,0,1.656964511423289,-0.9638173308633436,-2.554234739979574,0.3571428571428571,FALSE,
Sarcolaenaceae,Rosids (Malvids),Rosids,15,1,0,0,1.7069308258940907,-1.0137836453341453,-2.686651632852568,0.7333333333333334,FALSE,
Stemonaceae,Monocots,Monocots,16,1,0,0,1.7538669681462131,-1.060719787586268,-2.811038195805951,0.75,FALSE,
Paulowniaceae,Asterids (Lamiids),Asterids,99,5,1,0.2,3.125737205529239,-1.333977736301184,-3.535205445380091,0.7474747474747474,FALSE,
Krameriaceae,Rosids (Fabids),Rosids,29,1,0,0,2.1936058743885245,-1.500458693828579,-3.976400505527675,0.7931034482758621,FALSE,
