bemis_murcko_scaffold_smiles,n_families
O=C(C=Cc1ccccc1)OC1CCOC(Oc2cccc(-c3coc4ccccc4c3=O)c2)C1,1
O=C(C=Cc1ccccc1)OC1COCC1c1cccc2c1OC(c1ccccc1)CC2=O,1
O=C(C=Cc1ccccc1)OC1Cc2ccc3c(c2OC1c1ccccc1)C1CC(c2ccccc2)(Oc2ccccc21)O3,1
O=C(C=Cc1ccccc1)OC1Cc2ccccc2OC1c1ccccc1,2
O=C(C=Cc1ccccc1)OCC1CC(OC(=O)C=Cc2ccccc2)CC(Oc2ccc3c(c2)OC(c2ccccc2)CC3=O)O1,1
O=C(C=Cc1ccccc1)OCC1CC(OC2CCCCO2)CC(OCC2CCCC(Oc3cc4c(=O)cc(OC5CCCC(COC(=O)C=Cc6ccccc6)O5)cc-4oc3-c3cccc(OC4CCCCO4)c3)O2)O1,1
O=C(C=Cc1ccccc1)OCC1CCC(OC(=O)C=Cc2ccccc2)C(OC2Cc3ccccc3OC2c2ccccc2)O1,1
O=C(C=Cc1ccccc1)OCC1CCC(OC(=O)C=Cc2ccccc2)C(Oc2ccc(C(=O)C=Cc3ccccc3)cc2)O1,1
O=C(C=Cc1ccccc1)OCC1CCC(OC(=O)C=Cc2ccccc2)C(Oc2cccc3c2CCC(c2ccccc2)O3)O1,1
O=C(C=Cc1ccccc1)OCC1CCC(OC2CCCCO2)C(Oc2cc3c(=O)cccc-3oc2-c2ccccc2)O1,4
O=C(C=Cc1ccccc1)OCC1CCCC(OC2=C(c3ccccc3)Oc3ccccc3C2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(OC2C(=O)c3ccccc3OC2c2ccccc2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(OC2CCCOC2c2cccc3c(=O)c(-c4ccccc4)coc23)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(OC2Cc3cccc(C4c5ccccc5OC(c5ccccc5)C4OC4CCCCO4)c3OC2c2ccccc2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(OC2Cc3ccccc3OC2c2ccccc2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(OCC2CCC(OC3CCCCO3)C(Oc3cc4c(=O)cccc-4oc3-c3ccccc3)O2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(OCC2CCCC(Oc3cc4c(=O)cc(OC5CCCC(COC(=O)C=Cc6ccccc6)O5)cc-4oc3-c3cccc(OC4CCCCO4)c3)O2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(OCC2CCCC(Oc3cc4c(=O)cccc-4oc3-c3ccccc3)O2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2cc(OC3CCCC(COC(=O)C=Cc4ccccc4)O3)cc(-c3oc4cc(OC5CCCC(COC(=O)C=Cc6ccccc6)O5)cc(=O)c-4cc3OC3CCCC(COC(=O)C=Cc4ccccc4)O3)c2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2cc(OC3CCCC(COC(=O)C=Cc4ccccc4)O3)cc(-c3oc4cc(OC5CCCC(COC(=O)C=Cc6ccccc6)O5)cc(=O)c-4cc3OC3CCCCO3)c2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2cc(OC3CCCC(COC(=O)C=Cc4ccccc4)O3)cc(-c3oc4cc(OC5CCCCO5)cc(=O)c-4cc3OC3CCCCO3)c2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2cc(OC3CCCC(COC(=O)C=Cc4ccccc4)O3)cc(-c3oc4cccc(=O)c-4cc3OC3CCCCO3)c2)O1,1
