inchikey,n_classifiable_domains,n_concordant_domains,n_active_only_domains,n_above_cutoff_only_domains,n_mixed_evidence_domains,any_active_only,any_above_cutoff_only,any_mixed_evidence
CKBIVADBUPGTKI-DMKPSLHHSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CKDYDMSDCNQHEB-JKSUJKDBSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CKEXCBVNKRHAMX-HNNXBMFYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CKTMJKHXYHXNKU-NRFANRHFSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CKVPUAIEQLSMGP-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
CLCLFKDEXVVDGI-WRWLIDTKSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CLYYUOMSXIPPJS-UHFFFAOYSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
CMGRMMSVGCHWOK-FQRUVTKNSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CMHGFGMNRHHGSN-UKILVPOCSA-N,3,2,1,1,1,TRUE,TRUE,TRUE
CMJDNOOYGNOVCM-UBDBMELISA-N,2,1,1,0,1,TRUE,FALSE,TRUE
CNABJBYLQABXJR-UHFFFAOYSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
CNJVHHYFXJIZHZ-IYHNFFKESA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CNPMAFLUEHEXRE-UHFFFAOYSA-N,4,4,1,3,0,TRUE,TRUE,FALSE
CNRLXVAPOXIIJK-XMVXEKSUSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
COKUCRXLRIRZQM-MWTRTKDXSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
COLMVFWKLOZOOP-UHFFFAOYSA-N,2,1,0,1,1,FALSE,TRUE,TRUE
COVYMSXAVAIXCI-LLVKDONJSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CRBYNQCDRNZCNX-DUXPYHPUSA-N,3,3,1,2,0,TRUE,TRUE,FALSE
CSJQGXKXWYTHHQ-KRWDZBQOSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
CTALFFOVOLJORS-ZDUSSCGKSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CTFJUDTWKJHYNX-IBGZPJMESA-N,3,3,1,2,0,TRUE,TRUE,FALSE
CTWSWRSNFKNYMF-OUKQBFOZSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CUFAXDWQDQQKFF-DEOSSOPVSA-N,4,1,1,0,3,TRUE,FALSE,TRUE
CUFAXDWQDQQKFF-UHFFFAOYSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
CUGDOWNTXKLQMD-BQYQJAHWSA-N,2,1,0,1,1,FALSE,TRUE,TRUE
CVIHLQPNGRNSIC-CEMXSPGASA-N,1,0,0,0,1,FALSE,FALSE,TRUE
CVKDSGICIOMAGA-IUXPMGMMSA-N,2,1,1,0,1,TRUE,FALSE,TRUE
CVMUWVCGBFJJFI-RMKNXTFCSA-N,2,1,0,1,1,FALSE,TRUE,TRUE
CVRQUKAFPCFUQW-MHZLTWQESA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CVULDJMCSSACEO-FQLXRVMXSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CVULDJMCSSACEO-UHFFFAOYSA-N,0,0,0,0,0,FALSE,FALSE,FALSE
CVULDJMCSSACEO-VMPREFPWSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
CVUYVQZALVRDIK-BTYIYWSLSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
CVWBRDWJOWRQRY-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CWMMCBXYWVPWJL-FNORWQNLSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
CWZLMWSCLBFCBY-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CXAXZPWQRPXPGL-HHHXNRCGSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CXIZZLWYTVCYIE-ZWKOTPCHSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CXQWRCVTCMQVQX-CABCVRRESA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CXQWRCVTCMQVQX-GJZGRUSLSA-N,2,1,1,0,1,TRUE,FALSE,TRUE
CXQWRCVTCMQVQX-LSDHHAIUSA-N,8,3,0,3,5,FALSE,TRUE,TRUE
CXQWRCVTCMQVQX-UHFFFAOYSA-N,5,3,0,3,2,FALSE,TRUE,TRUE
CYGIJEJDYJOUAN-JSGXPVSSSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
CYGYKDZFDJECKM-YNNZGITBSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CYRHKFJOQQQLAM-CQSZACIVSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CYXCYFYWIZXENQ-JXFKEZNVSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
CZOGIPODZHBTGK-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CZVSHXUUSIQWSO-CECMFTGFSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
DBSPNTHFWOUQFX-HNNXBMFYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
DBVYNXDREGTBRL-HWKANZROSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
DCKAGTTYZUDEDQ-RMKNXTFCSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
DCTLJGWMHPGCOS-UHFFFAOYSA-N,5,4,2,2,1,TRUE,TRUE,TRUE
DDKGKOOLFLYZDL-UHFFFAOYSA-N,5,1,1,0,4,TRUE,FALSE,TRUE
DDKWTXSGQOKXGP-MFMCTBQISA-N,1,1,0,1,0,FALSE,TRUE,FALSE
DDMAUIOCNQXFHL-AWEZNQCLSA-N,3,2,1,1,1,TRUE,TRUE,TRUE
DEMKZLAVQYISIA-ZRWXNEIDSA-N,3,2,0,2,1,FALSE,TRUE,TRUE
DEOJMRBCCZJDEC-LBPRGKRZSA-N,2,2,2,0,0,TRUE,FALSE,FALSE
DEOQQHCFRLUMMX-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
DEVKCCHIUHLHCF-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
DEZFNHCVIZBHBI-ZHACJKMWSA-N,6,4,3,1,2,TRUE,TRUE,TRUE
DFPMSGMNTNDNHN-ZPHOTFPESA-N,5,4,1,3,1,TRUE,TRUE,TRUE
DFVFCZXJTRKRPI-FQEVSTJZSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
DGEFYIULIWNIBU-UMUUNPGWSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
DGLCSBIQWVJZDY-AWEZNQCLSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
DGOAORIWKTZFLK-ZDUSSCGKSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
DGUBZDXYXXUHTJ-QPJJXVBHSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
DGUGLZYULGVSIZ-DHZHZOJOSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
DHYMKZKAVOUQFT-HSYKDVHTSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
DHYXVFFHVYUZJU-IQCVCLICSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
DHYXVFFHVYUZJU-PEVIGJGQSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
DIBGCTMRCXOBNM-HPUZDQILSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
DIWHINIZDYGBCS-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
DJOJDHGQRNZXQQ-AWEZNQCLSA-N,6,6,2,4,0,TRUE,TRUE,FALSE
DJOJDHGQRNZXQQ-UHFFFAOYSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
DKIYWPRXYDNQFG-XMMPIXPASA-N,1,1,0,1,0,FALSE,TRUE,FALSE
DKNLJCRQRYRUNC-KGNCLDLBSA-N,0,0,0,0,0,FALSE,FALSE,FALSE
DKVBYQAVNNRVNN-UHFFFAOYSA-N,2,1,1,0,1,TRUE,FALSE,TRUE
DLIKSSGEMUFQOK-SFTVRKLSSA-N,5,5,1,4,0,TRUE,TRUE,FALSE
DLXIJJURUIXRFK-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
DODLFMXUTHHGIM-NRFANRHFSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
DOGAHANJPKBCGB-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
DOVKRLBLJULZLC-DFROKGSNSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
DPJZYONMQLGZJE-UHFFFAOYSA-N,2,1,0,1,1,FALSE,TRUE,TRUE
DPLWUTYEBRKBLI-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
DQBZPEAEXINSNR-QUCAXYRHSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
DQFBYFPFKXHELB-VAWYXSNFSA-N,9,5,0,5,4,FALSE,TRUE,TRUE
DQNLRFRBAWCJHQ-UHFFFAOYSA-N,2,1,1,0,1,TRUE,FALSE,TRUE
DRDRYGIIYOPBBZ-XBXARRHUSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
DRGVZVJDZOMQAI-MDZDMXLPSA-N,2,1,1,0,1,TRUE,FALSE,TRUE
DRQZIAVCTWOZQN-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
DSOKHRJRTZPRBU-CVTTXWKISA-N,1,1,0,1,0,FALSE,TRUE,FALSE
DTTYOIOSVDOSOG-JWQCQUIFSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
DUWPGRAKHMEPCM-IZZDOVSWSA-N,5,1,1,0,4,TRUE,FALSE,TRUE
DVCUSBGWKAJHOB-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
DWYGHGCLIOYRFR-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
DXDRHHKMWQZJHT-FPYGCLRLSA-N,8,1,0,1,7,FALSE,TRUE,TRUE
DXPDVKIQWQRRGG-CMWLGVBASA-N,0,0,0,0,0,FALSE,FALSE,FALSE
DXYUAIFZCFRPTH-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
DYHOLQACRGJEHX-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
DYNGLVQFFBSENM-UHFFFAOYSA-N,2,1,1,0,1,TRUE,FALSE,TRUE
DYPJOHFWCNIBKZ-RMKNXTFCSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
DZDSXIHHFCPPHL-SANMLTNESA-N,1,1,1,0,0,TRUE,FALSE,FALSE
DZMMGSFVLBBPIA-UHFFFAOYSA-N,2,1,0,1,1,FALSE,TRUE,TRUE
DZTRDRPCROOSOG-AWEZNQCLSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
DZTRDRPCROOSOG-UHFFFAOYSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
FAQWOFCQXNXDLT-XCVCLJGOSA-N,0,0,0,0,0,FALSE,FALSE,FALSE
FAZHAXUNXPANOK-HNNXBMFYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FBRQAFNOISTEME-UHFFFAOYSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
FDARKUSEVNCTHK-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FEALTYYKRMRXTG-QPJJXVBHSA-N,3,2,1,1,1,TRUE,TRUE,TRUE
FENVPGGUCXCZQI-QUCCMNQESA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FEZXFNWSKGIOKM-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FHECBCWIVGBBEG-OKCWMKPZSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
FHQIUPHJETXRLG-UHFFFAOYSA-N,2,2,2,0,0,TRUE,FALSE,FALSE
FIASLUPJXGTCKM-SNVBAGLBSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FJLKAZQJDBQWKZ-GACAFGRPSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FJZRCLCBDONNNU-LRDDRELGSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
FLURXOFTUKXKQN-AZUAARDMSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FNMKZDDKPDBYJM-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FNUPUYFWZXZMIE-LSDHHAIUSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
FPIOBTBNRZPWJW-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FPUREMWTZVLZBZ-QRQCRPRQSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FQCZZYGBJVMLOG-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FQGBGNHGEUOZIW-AWEZNQCLSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FRISOFZUHCOQEC-JXMROGBWSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FSHPJPOJLGCQOJ-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FSQKKJIBNQATIX-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FTKAVFCYTQUGTN-BNDLDUQUSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
FTODBIPDTXRIGS-UHFFFAOYSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
FTODBIPDTXRIGS-ZDUSSCGKSA-N,2,1,0,1,1,FALSE,TRUE,TRUE
FTVKHUHJWDMWIR-FRFGAYJHSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FTVWIRXFELQLPI-UHFFFAOYSA-N,6,6,2,4,0,TRUE,TRUE,FALSE
FTVWIRXFELQLPI-ZDUSSCGKSA-N,10,2,0,2,8,FALSE,TRUE,TRUE
FULPZMATFBTFNA-UHFFFAOYSA-N,0,0,0,0,0,FALSE,FALSE,FALSE
FUNJPZFUOULIEZ-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FURUXTVZLHCCNA-AWEZNQCLSA-N,8,4,2,2,4,TRUE,TRUE,TRUE
FURUXTVZLHCCNA-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FUSADYLVRMROPL-UXBLZVDNSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
FVNFXIPJDHVJGE-REZTVBANSA-N,3,3,1,2,0,TRUE,TRUE,FALSE
FVUVHWPNLPHERN-SICWBLJQSA-N,3,2,0,2,1,FALSE,TRUE,TRUE
FWAWTPASGRNXTO-GFCCVEGCSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FXJPTJQFJYNFKC-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
FZAZNGMSARSUNC-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
FZFGGNNUYSILSL-UWJYYQICSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
FZQLEXXZAVVCCA-XCVCLJGOSA-N,6,6,2,4,0,TRUE,TRUE,FALSE
