inchikey,target_domain_macro,class_np,motif_methoxy,motif_prenyl,motif_sugar,motif_combination,mw,logp,tpsa,fsp3,structural_qc_status,median_pchembl,z_potency_equal_mean,z_potency_equal_median,z_potency_record_weighted,n_records,n_targets,n_assays,n_standard_types,standard_types,z_potency,delta_equal_mean_minus_record_weighted,delta_equal_median_minus_equal_mean
XMOCLSLCDHWDHP-SWLSCSKDSA-N,Inflammation and Proteolysis,Flavan-3-ols,0,0,0,Simple,306.27000000000004,1.2517,130.61,0.2,pass,4.02,-1.27840196007857,-1.27840196007857,-1.2784019600785723,1,1,1,1,IC50,-1.27840196007857,2.220446049250313e-15,0
XMOCLSLCDHWDHP-SWLSCSKDSA-N,Metabolic Enzymes,Flavan-3-ols,0,0,0,Simple,306.27000000000004,1.2517,130.61,0.2,pass,4.43,-1.00598821527054,-1.00598821527054,-1.0059882152705413,1,1,1,1,IC50,-1.00598821527054,1.3322676295501878e-15,0
XMOCLSLCDHWDHP-SWLSCSKDSA-N,Neuroscience Targets,Flavan-3-ols,0,0,0,Simple,306.27000000000004,1.2517,130.61,0.2,pass,5.325,0.540351948787476,0.540351948787476,0.5403519487874763,2,2,2,1,IC50,0.540351948787476,-2.220446049250313e-16,0
XMOCLSLCDHWDHP-SWLSCSKDSA-N,Phenotypic: Cancer and Cells,Flavan-3-ols,0,0,0,Simple,306.27000000000004,1.2517,130.61,0.2,pass,4.52,-0.5645283497281,-0.5645283497281,-0.5645283497280998,1,1,1,1,IC50,-0.5645283497281,-1.1102230246251565e-16,0
XMOCLSLCDHWDHP-WFASDCNBSA-N,Neuroscience Targets,Flavan-3-ols,0,0,0,Simple,306.27000000000004,1.2517,130.61,0.2,pass,5.62,1.03132578554641,1.03132578554641,1.031325785546409,1,1,1,1,IC50,1.03132578554641,8.881784197001252e-16,0
XMUPAAIHKAIUSU-QRQCRPRQSA-N,Infectious Diseases,Flavanones,1,1,0,Methoxy+Prenyl,456.53500000000025,4.804400000000007,116.45000000000002,0.4230769230769231,pass,4.74,-0.7020945325423454,-0.7020945325423454,-0.7020945325423462,2,2,2,2,IC50;Ki,-0.7020945325423454,7.771561172376096e-16,0
XMUPAAIHKAIUSU-QRQCRPRQSA-N,Metabolic Enzymes,Flavanones,1,1,0,Methoxy+Prenyl,456.53500000000025,4.804400000000007,116.45000000000002,0.4230769230769231,pass,5.21,0.0146352619161542,0.0146352619161542,0.014635261916154203,3,3,3,1,IC50,0.0146352619161542,-3.469446951953614e-18,0
XMUPAAIHKAIUSU-QRQCRPRQSA-N,Neuroscience Targets,Flavanones,1,1,0,Methoxy+Prenyl,456.53500000000025,4.804400000000007,116.45000000000002,0.4230769230769231,pass,4.41,-0.98249910421057,-0.98249910421057,-0.98249910421057,1,1,1,1,IC50,-0.98249910421057,0,0
XNZXBSSGLCCBPV-FEVFIROASA-N,Infectious Diseases,Flavanones,1,0,0,Methoxy,558.5390000000002,4.880600000000007,166.14,0.1935483870967742,pass,4.55,-0.797541448125176,-0.797541448125176,-0.7975414481251764,3,3,3,1,IC50,-0.797541448125176,3.3306690738754696e-16,0
XNZXBSSGLCCBPV-FEVFIROASA-N,Phenotypic: Cancer and Cells,Flavanones,1,0,0,Methoxy,558.5390000000002,4.880600000000007,166.14,0.1935483870967742,pass,4.42,-0.745285180520987,-0.745285180520987,-0.7452851805209866,1,1,1,1,IC50,-0.745285180520987,-4.440892098500626e-16,0
XOPDZJVJVVORSL-GMTBNIFVSA-N,Phenotypic: Cancer and Cells,Flavanones,1,1,0,Methoxy+Prenyl,456.53500000000025,4.8044000000000064,116.45000000000002,0.4230769230769231,pass,4.69,-0.25724173738019,-0.25724173738019,-0.2572417373801898,1,1,1,1,IC50,-0.25724173738019,-2.220446049250313e-16,0
XPMCEWWRVJLSLM-NRFANRHFSA-N,Cell Signaling and Survival,Flavanones,0,1,0,Prenyl,422.47700000000015,5.202800000000006,96.22000000000001,0.32,pass,5.02,-0.0909286704073545,-0.0909286704073545,-0.09092867040735447,3,3,3,1,IC50,-0.0909286704073545,-2.7755575615628914e-17,0
XPMCEWWRVJLSLM-NRFANRHFSA-N,General Assays and Safety,Flavanones,0,1,0,Prenyl,422.47700000000015,5.202800000000006,96.22000000000001,0.32,pass,4.37,-1.12521881078772,-1.12521881078772,-1.1252188107877241,1,1,1,1,IC50,-1.12521881078772,4.218847493575595e-15,0
XPMCEWWRVJLSLM-NRFANRHFSA-N,Infectious Diseases,Flavanones,0,1,0,Prenyl,422.47700000000015,5.202800000000006,96.22000000000001,0.32,pass,5.63,0.7092019677443314,0.7092019677443314,0.8948414297739544,5,4,4,2,IC50;Ki,0.7092019677443314,-0.185639462029623,0
XPMCEWWRVJLSLM-NRFANRHFSA-N,Metabolic Enzymes,Flavanones,0,1,0,Prenyl,422.47700000000015,5.202800000000006,96.22000000000001,0.32,pass,4.345,-1.11721000445114,-1.11721000445114,-1.1172100044511426,4,4,4,1,IC50,-1.11721000445114,2.6645352591003757e-15,0
XQDCKJKKMFWXGB-UHFFFAOYSA-N,Infectious Diseases,Coumestan,1,0,0,Methoxy,314.249,2.817800000000001,113.27000000000001,0.0625,pass,4.89,-0.16690398823973848,-0.16690398823973848,0.03768501482556313,7,4,7,2,EC50;IC50,-0.16690398823973848,-0.20458900306530162,0
XQDCKJKKMFWXGB-UHFFFAOYSA-N,Inflammation and Proteolysis,Coumestan,1,0,0,Methoxy,314.249,2.817800000000001,113.27000000000001,0.0625,pass,5.6,0.673233203871589,0.673233203871589,0.673233203871589,1,1,1,1,IC50,0.673233203871589,0,0
XQDCKJKKMFWXGB-UHFFFAOYSA-N,Metabolic Enzymes,Coumestan,1,0,0,Methoxy,314.249,2.817800000000001,113.27000000000001,0.0625,pass,5.44,0.38969683830553703,0.38969683830553703,0.4691241050042444,8,5,8,2,IC50;Ki,0.38969683830553703,-0.07942726669870737,0
XQDCKJKKMFWXGB-UHFFFAOYSA-N,Neuroscience Targets,Coumestan,1,0,0,Methoxy,314.249,2.817800000000001,113.27000000000001,0.0625,pass,5.7,1.16447123280307,1.16447123280307,1.164471232803069,1,1,1,1,IC50,1.16447123280307,8.881784197001252e-16,0
XQDCKJKKMFWXGB-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,Coumestan,1,0,0,Methoxy,314.249,2.817800000000001,113.27000000000001,0.0625,pass,4.97,-0.121142865402914,-0.121142865402914,-0.1211428654029144,1,1,1,1,EC50,-0.121142865402914,4.0245584642661925e-16,0
XQDCKJKKMFWXGB-UHFFFAOYSA-N,Transporters and Ion Channels,Coumestan,1,0,0,Methoxy,314.249,2.817800000000001,113.27000000000001,0.0625,pass,4.76,-0.519172305029381,-0.519172305029381,-0.5191723050293812,3,3,3,1,IC50,-0.519172305029381,1.1102230246251565e-16,0
XQHLJEHHIHCILO-LVXARBLLSA-N,General Assays and Safety,Pterocarpan,0,1,0,Prenyl,406.5220000000002,6.033320000000005,58.92,0.38461538461538464,pass,5.82,0.941450011600778,0.941450011600778,0.9414500116007778,1,1,1,1,IC50,0.941450011600778,2.220446049250313e-16,0
XQLJWQWRTLHKGO-SFHVURJKSA-N,Metabolic Enzymes,Flavan-3-ols,0,0,0,Simple,442.3760000000002,2.9113000000000007,177.14,0.13636363636363635,pass,4.67,-0.707829443968206,-0.707829443968206,-0.7078294439682069,2,2,2,2,IC50;Ki,-0.707829443968206,8.881784197001252e-16,0
XQLJWQWRTLHKGO-UHFFFAOYSA-N,Cell Signaling and Survival,Flavan-3-ols,0,0,0,Simple,442.3760000000002,2.9113000000000007,177.14,0.13636363636363635,pass,5.57,0.638235972821084,0.638235972821084,0.6382359728210841,1,1,1,1,IC50,0.638235972821084,-1.1102230246251565e-16,0
XQVKBMIVACNFLX-UHFFFAOYSA-N,Cell Signaling and Survival,2-arylbenzofurans,1,1,0,Methoxy+Prenyl,324.37600000000003,5.028300000000004,62.83,0.2,pass,4.76,-0.435624683569888,-0.435624683569888,-0.43562468356988837,1,1,1,1,IC50,-0.435624683569888,3.885780586188048e-16,0
XQVKQEFQGYTUAR-VHBRHXFYSA-N,Cell Signaling and Survival,Chalcones,0,0,1,Sugar,874.7130000000003,3.016900000000004,357.19,0.19047619047619047,pass,5.36,0.359827654497499,0.359827654497499,0.35982765449749887,1,1,1,1,IC50,0.359827654497499,1.1102230246251565e-16,0
XQVKQEFQGYTUAR-VHBRHXFYSA-N,General Assays and Safety,Chalcones,0,0,1,Sugar,874.7130000000003,3.016900000000004,357.19,0.19047619047619047,pass,5.1,-0.0847579553783412,-0.0847579553783412,-0.08475795537834119,1,1,1,1,IC50,-0.0847579553783412,-1.3877787807814457e-17,0
XQWFHGOIUZFQPJ-LXGDFETPSA-N,Phenotypic: Cancer and Cells,Chalcones,0,0,1,Sugar,418.3980000000001,0.17259999999999953,156.91,0.2857142857142857,pass,4.14,-0.972151991637188,-0.972151991637188,-0.9721519916371881,1,1,1,1,EC50,-0.972151991637188,1.1102230246251565e-16,0
XQXIDELHPWXTDD-UHFFFAOYSA-N,General Assays and Safety,2-arylbenzofurans,0,0,0,Simple,270.24,3.0291000000000006,90.9,0,pass,5.33,0.243058478517767,0.243058478517767,0.2430584785177666,1,1,1,1,IC50,0.243058478517767,3.885780586188048e-16,0
XRVFNNUXNVWYTI-LLVKDONJSA-N,Phenotypic: Cancer and Cells,Isoflavanones,1,0,0,Methoxy,272.29999999999995,2.825100000000001,58.92,0.25,pass,4.14,-1.25140430674107,-1.25140430674107,-1.2514043067410716,4,2,4,1,IC50,-1.25140430674107,1.5543122344752192e-15,0
XRYVAQQLDYTHCL-CMJOXMDJSA-N,Infectious Diseases,Flavanones,0,1,0,Prenyl,424.49300000000017,5.3066000000000075,107.22,0.32,pass,4.785,-0.61926752684064,-0.61926752684064,-0.6192675268406399,2,2,2,2,IC50;Ki,-0.61926752684064,-1.1102230246251565e-16,0
XRYVAQQLDYTHCL-CMJOXMDJSA-N,Neuroscience Targets,Flavanones,0,1,0,Prenyl,424.49300000000017,5.3066000000000075,107.22,0.32,pass,5.62,0.9282896858972175,0.9282896858972175,0.92828968589722,2,2,2,2,IC50;Ki,0.9282896858972175,-2.55351295663786e-15,0
XRYVAQQLDYTHCL-CMJOXMDJSA-N,Phenotypic: Cancer and Cells,Flavanones,0,1,0,Prenyl,424.49300000000017,5.3066000000000075,107.22,0.32,pass,6.41,2.85177575225747,2.85177575225747,2.8517757522574723,116,9,116,1,IC50,2.85177575225747,-2.220446049250313e-15,0
XRYVAQQLDYTHCL-CMJOXMDJSA-N,Transporters and Ion Channels,Flavanones,0,1,0,Prenyl,424.49300000000017,5.3066000000000075,107.22,0.32,pass,5.655,0.501296467242216,0.501296467242216,0.5012964672422157,6,5,6,1,IC50,0.501296467242216,3.3306690738754696e-16,0
XTDORSAGLFPXGX-IBGZPJMESA-N,General Assays and Safety,Chalcones,1,1,0,Methoxy+Prenyl,356.41800000000006,3.4014000000000015,86.99000000000001,0.2857142857142857,pass,5.78,0.884438457879716,0.884438457879716,0.8844384578797156,1,1,1,1,IC50,0.884438457879716,3.3306690738754696e-16,0
XTLSKKJNOIMMBK-UHFFFAOYSA-N,Metabolic Enzymes,Chalcones,1,0,0,Methoxy,294.30600000000004,3.8971000000000027,56.510000000000005,0.1111111111111111,pass,5.529999999999999,0.33255576288036603,0.33255576288036603,0.3448641776578163,5,5,5,2,IC50;Ki,0.33255576288036603,-0.01230841477745026,0
XUAORUWVUTVEEC-UHFFFAOYSA-N,General Assays and Safety,Flavanones,0,0,0,Simple,540.4800000000002,5.067100000000007,177.88999999999996,0.06666666666666667,pass,4.41,-1.06820725706666,-1.06820725706666,-1.068207257066662,1,1,1,1,IC50,-1.06820725706666,1.9984014443252818e-15,0
XUFXKBJMCRJATM-FMIVXFBMSA-N,Cell Signaling and Survival,Chalcones,1,0,0,Methoxy,238.286,3.591300000000002,26.3,0.0625,pass,4.54,-0.727290540861263,-0.727290540861263,-0.7272905408612631,1,1,1,1,IC50,-0.727290540861263,1.1102230246251565e-16,0
XUFXKBJMCRJATM-FMIVXFBMSA-N,General Assays and Safety,Chalcones,1,0,0,Methoxy,238.286,3.591300000000002,26.3,0.0625,pass,4.63,-0.754643711600821,-0.754643711600821,-0.7546437116008207,1,1,1,1,IC50,-0.754643711600821,-3.3306690738754696e-16,0
XUFXKBJMCRJATM-FMIVXFBMSA-N,Infectious Diseases,Chalcones,1,0,0,Methoxy,238.286,3.591300000000002,26.3,0.0625,pass,4.78,-0.383964438790513,-0.383964438790513,-0.38396443879051295,5,3,5,1,IC50,-0.383964438790513,-5.551115123125783e-17,0
XUFXKBJMCRJATM-FMIVXFBMSA-N,Inflammation and Proteolysis,Chalcones,1,0,0,Methoxy,238.286,3.591300000000002,26.3,0.0625,pass,4.7,-0.438457712302553,-0.438457712302553,-0.4384577123025528,2,2,2,1,IC50,-0.438457712302553,-1.6653345369377348e-16,0
