inchikey,target_domain_macro,class_np,motif_methoxy,motif_prenyl,motif_sugar,motif_combination,mw,logp,tpsa,fsp3,structural_qc_status,median_pchembl,z_potency_equal_mean,z_potency_equal_median,z_potency_record_weighted,n_records,n_targets,n_assays,n_standard_types,standard_types,z_potency,delta_equal_mean_minus_record_weighted,delta_equal_median_minus_equal_mean,visual_clade
BOYAGHNMYQPGKZ-VMPITWQZSA-N,General Assays and Safety,Chalcones,1,0,0,Methoxy,344.36300000000006,3.322700000000002,74.22000000000001,0.21052631578947367,pass,4.16,-1.4245294678233,-1.4245294678233,-1.4245294678233003,1,1,1,1,IC50,-1.4245294678233,2.220446049250313e-16,0,Asterids (Campanulids)
BVKQRAYKLBRNIK-UHFFFAOYSA-N,General Assays and Safety,Flavonolignans,1,0,0,Methoxy,480.42500000000024,3.164400000000002,159.04999999999998,0.16,pass,4.98,-0.255792616541526,-0.255792616541526,-0.2557926165415264,3,2,3,1,IC50,-0.255792616541526,3.885780586188048e-16,0,Asterids (Campanulids)
NCHZAFAGBAEJJJ-BAYITLGHSA-N,General Assays and Safety,Chalcones,0,1,0,Prenyl,408.4940000000001,4.905500000000006,97.99000000000001,0.24,pass,6.04,1.25501355706662,1.25501355706662,1.2550135570666192,1,1,1,1,IC50,1.25501355706662,8.881784197001252e-16,0,Asterids (Campanulids)
OAAPAFSEMHJNTF-BJMVGYQFSA-N,General Assays and Safety,Chalcones,1,0,0,Methoxy,284.311,3.305500000000002,55.760000000000005,0.11764705882352941,pass,4.8,-0.512344608286307,-0.512344608286307,-0.5123446082863068,1,1,1,1,IC50,-0.512344608286307,-2.220446049250313e-16,0,Asterids (Campanulids)
QJCKCZSARZRFFO-OILXWVNISA-N,General Assays and Safety,Chalcones,0,1,0,Prenyl,408.49400000000014,4.9055000000000035,97.99000000000001,0.24,pass,6.29,1.61133576782326,1.61133576782326,1.6113357678232574,1,1,1,1,IC50,1.61133576782326,2.6645352591003757e-15,0,Asterids (Campanulids)
QYCJAWYDGRZSTO-IRLTUAEKSA-N,General Assays and Safety,Dihydroflavonols,1,0,0,Methoxy,482.4410000000002,2.4045,166.14000000000001,0.24,pass,4.355,-1.14659814343312,-1.14659814343312,-1.146598143433122,2,2,2,1,IC50,-1.14659814343312,1.9984014443252818e-15,0,Asterids (Campanulids)
WZSJHPLGMXDPQW-UHFFFAOYSA-N,General Assays and Safety,Flavanones,0,1,0,Prenyl,324.3760000000001,4.443700000000003,55.76,0.25,pass,5.13,-0.0419992900875442,-0.0419992900875442,-0.041999290087544244,1,1,1,1,IC50,-0.0419992900875442,4.163336342344337e-17,0,Asterids (Campanulids)
XBFSDEKOTLYPJU-SXZUIPJJSA-N,General Assays and Safety,Chalcones,1,1,0,Methoxy+Prenyl,406.5220000000003,6.2377000000000065,66.76,0.2692307692307692,pass,4.82,-0.16968903329946,-0.16968903329946,-0.1696890332994604,1,1,1,1,EC50,-0.16968903329946,3.885780586188048e-16,0,Asterids (Campanulids)
AJERVVHSERWGFL-UXBLZVDNSA-N,Infectious Diseases,Chalcones,1,1,0,Methoxy+Prenyl,370.40100000000007,3.9793000000000034,96.22000000000001,0.19047619047619047,pass,5.15,0.08828118854378934,0.312822913892886,-0.012463695588983787,7,5,7,3,EC50;IC50;Ki,0.08828118854378934,0.10074488413277313,0.22454172534909667,Asterids (Campanulids)
NCHZAFAGBAEJJJ-BAYITLGHSA-N,Infectious Diseases,Chalcones,0,1,0,Prenyl,408.4940000000001,4.905500000000006,97.99000000000001,0.24,pass,4.68,-0.449907944149021,-0.460478410674112,-0.20775123278753313,5,4,5,3,IC50;Kd;Ki,-0.449907944149021,-0.2421567113614879,-0.010570466525090971,Asterids (Campanulids)
NYGYGFOLOACYGB-NKUGMWFWSA-N,Infectious Diseases,Chalcones,1,1,0,Methoxy+Prenyl,422.52100000000013,5.208500000000006,86.99000000000001,0.2692307692307692,pass,4.66,-0.8440376406094781,-0.8440376406094781,-0.8440376406094783,2,2,2,2,IC50;Ki,-0.8440376406094781,2.220446049250313e-16,0,Asterids (Campanulids)
PNIFOHGQPKXLJE-SDQBBNPISA-N,Infectious Diseases,Aurones,0,0,0,Simple,286.239,2.1252000000000004,107.22000000000001,0,pass,4.92,-0.0374137666987634,-0.0374137666987634,-0.03741376669876336,1,1,1,1,EC50,-0.0374137666987634,-4.163336342344337e-17,0,Asterids (Campanulids)
XBFSDEKOTLYPJU-SXZUIPJJSA-N,Infectious Diseases,Chalcones,1,1,0,Methoxy+Prenyl,406.5220000000003,6.2377000000000065,66.76,0.2692307692307692,pass,4.27,-1.30102650296737,-1.30102650296737,-1.3010265029673747,2,2,2,1,IC50,-1.30102650296737,4.6629367034256575e-15,0,Asterids (Campanulids)
YSOKENZJQWPLRA-UXBLZVDNSA-N,Infectious Diseases,Chalcones,1,1,0,Methoxy+Prenyl,354.40200000000004,3.4820000000000024,86.99000000000001,0.19047619047619047,pass,4.88,-0.4770887115501795,-0.4770887115501795,-0.47708871155017973,2,2,2,2,IC50;Ki,-0.4770887115501795,2.220446049250313e-16,0,Asterids (Campanulids)
NCHZAFAGBAEJJJ-BAYITLGHSA-N,Inflammation and Proteolysis,Chalcones,0,1,0,Prenyl,408.4940000000001,4.905500000000006,97.99000000000001,0.24,pass,5.335,0.345901989664759,0.345901989664759,0.3459019896647586,4,4,4,1,IC50,0.345901989664759,3.885780586188048e-16,0,Asterids (Campanulids)
BVKQRAYKLBRNIK-UHFFFAOYSA-N,Metabolic Enzymes,Flavonolignans,1,0,0,Methoxy,480.42500000000024,3.164400000000002,159.04999999999998,0.16,pass,4.09,-1.45087537199295,-1.45087537199295,-1.4508753719929466,1,1,1,1,IC50,-1.45087537199295,-3.3306690738754696e-15,0,Asterids (Campanulids)
CYGIJEJDYJOUAN-JSGXPVSSSA-N,Metabolic Enzymes,Dihydroflavonols,1,1,0,Methoxy+Prenyl,482.44100000000026,0.9904999999999995,162.98000000000002,0.36,pass,5.217499999999999,-0.05511847348011425,-0.05511847348011425,-0.06528480223801521,6,2,6,2,IC50;Ki,-0.05511847348011425,0.01016632875790096,0,Asterids (Campanulids)
YAEYGSBLDUIDTP-UHFFFAOYSA-N,Metabolic Enzymes,Flavanones,1,0,0,Methoxy,284.311,3.410300000000002,44.760000000000005,0.23529411764705882,pass,5.435,0.309045880335393,0.309045880335393,0.3090458803353927,2,2,2,1,IC50,0.309045880335393,2.7755575615628914e-16,0,Asterids (Campanulids)
OAAPAFSEMHJNTF-BJMVGYQFSA-N,Neuroscience Targets,Chalcones,1,0,0,Methoxy,284.311,3.305500000000002,55.760000000000005,0.11764705882352941,pass,5.08,0.132594016563956,0.132594016563956,0.13259401656395553,1,1,1,1,IC50,0.132594016563956,4.718447854656915e-16,0,Asterids (Campanulids)
PNIFOHGQPKXLJE-SDQBBNPISA-N,Neuroscience Targets,Aurones,0,0,0,Simple,286.239,2.1252000000000004,107.22000000000001,0,pass,4.915,-0.203978824645717,-0.203978824645717,-0.20397882464571696,4,4,4,2,IC50;Ki,-0.203978824645717,-5.551115123125783e-17,0,Asterids (Campanulids)
WZSJHPLGMXDPQW-UHFFFAOYSA-N,Neuroscience Targets,Flavanones,0,1,0,Prenyl,324.3760000000001,4.443700000000003,55.76,0.25,pass,5.35,0.581959901055182,0.581959901055182,0.5819599010551816,2,2,2,1,IC50,0.581959901055182,4.440892098500626e-16,0,Asterids (Campanulids)
BVKQRAYKLBRNIK-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,Flavonolignans,1,0,0,Methoxy,480.42500000000024,3.164400000000002,159.04999999999998,0.16,pass,4.7524999999999995,-0.15327122103555102,-0.15327122103555102,0.1533445893175766,7,4,7,2,EC50;IC50,-0.15327122103555102,-0.3066158103531276,0,Asterids (Campanulids)
JQNMAEHFTQBROH-JXMROGBWSA-N,Phenotypic: Cancer and Cells,Chalcones,1,0,0,Methoxy,328.36400000000003,3.6171000000000024,53.99000000000001,0.21052631578947367,pass,4.765,-0.121674114285526,-0.121674114285526,-0.12167411428552558,4,4,4,1,IC50,-0.121674114285526,-4.3021142204224816e-16,0,Asterids (Campanulids)
MZHFFPDKHDLFKQ-RMKNXTFCSA-N,Phenotypic: Cancer and Cells,Chalcones,1,0,0,Methoxy,330.3360000000001,3.019700000000001,85.22000000000001,0.16666666666666666,pass,4.03,-1.45023682061325,-1.45023682061325,-1.4502368206132468,1,1,1,1,IC50,-1.45023682061325,-3.3306690738754696e-15,0,Asterids (Campanulids)
NCHZAFAGBAEJJJ-BAYITLGHSA-N,Phenotypic: Cancer and Cells,Chalcones,0,1,0,Prenyl,408.4940000000001,4.905500000000006,97.99000000000001,0.24,pass,4.71,-0.221090371221613,-0.221090371221613,-0.22109037122161312,1,1,1,1,IC50,-0.221090371221613,1.1102230246251565e-16,0,Asterids (Campanulids)
OAAPAFSEMHJNTF-BJMVGYQFSA-N,Phenotypic: Cancer and Cells,Chalcones,1,0,0,Methoxy,284.311,3.305500000000002,55.760000000000005,0.11764705882352941,pass,4.36,-0.853739278996718,-0.853739278996718,-0.8537392789967182,2,2,2,1,IC50,-0.853739278996718,2.220446049250313e-16,0,Asterids (Campanulids)
OZVILOLUKCJYAQ-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,Isoflavones,1,1,0,Methoxy+Prenyl,368.3850000000001,4.0941000000000045,100.13000000000001,0.19047619047619047,pass,4.09,-1.34178272213751,-1.34178272213751,-1.3417827221375151,3,3,3,1,IC50,-1.34178272213751,5.10702591327572e-15,0,Asterids (Campanulids)
