inchikey,target_domain_macro,n_standard_types,standard_types,n_records,n_targets,n_assays,z_potency_equal_mean,z_potency_equal_median,z_potency_record_weighted,delta_equal_mean_minus_record_weighted,delta_equal_median_minus_equal_mean
BGZLDYWPLZVXDX-DHZHZOJOSA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,-0.347620152776635,-0.347620152776635,-0.34762015277663477,-2.220446049250313e-16,0
BHDBRCJCCXGBOF-GCFMLEDASA-N,Inflammation and Proteolysis,1,IC50,1,1,1,2.41488230587775,2.41488230587775,2.4148823058777458,4.440892098500626e-15,0
BHFVJSQVKWDKGD-UHFFFAOYSA-N,General Assays and Safety,1,IC50,1,1,1,0.770415350437591,0.770415350437591,0.7704153504375914,-3.3306690738754696e-16,0
BICKLHZENLKHGI-LXEULODHSA-N,Phenotypic: Cancer and Cells,1,IC50,2,1,2,-0.0493713819683706,-0.0493713819683706,-0.04937138196837056,-3.469446951953614e-17,0
BJAHHJOBSKZTFE-JUIPTLLLSA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,-0.853739278996718,-0.853739278996718,-0.8537392789967182,2.220446049250313e-16,0
BJRPKUAESAVDDK-ZZXKWVIFSA-N,Metabolic Enzymes,1,IC50,1,1,1,0.13239950928385,0.13239950928385,0.1323995092838496,3.885780586188048e-16,0
BJVDGVPUXJNXHR-QGZVFWFLSA-N,Metabolic Enzymes,1,IC50,1,1,1,2.25215596190237,2.25215596190237,2.2521559619023703,-4.440892098500626e-16,0
BLZGPHNVMRXDCB-UXBLZVDNSA-N,Metabolic Enzymes,1,IC50,3,1,3,0.080059843787096,0.080059843787096,0.08005984378709596,4.163336342344337e-17,0
BLZGPHNVMRXDCB-UXBLZVDNSA-N,Phenotypic: Cancer and Cells,1,IC50,2,2,2,0.266953071919184,0.266953071919184,0.2669530719191836,3.885780586188048e-16,0
BMIMEYWWZBBDCM-QHCPKHFHSA-N,Cell Signaling and Survival,1,IC50,2,1,2,-0.190360212665777,-0.190360212665777,-0.19036021266577685,-1.3877787807814457e-16,0
BMIMEYWWZBBDCM-QHCPKHFHSA-N,Phenotypic: Cancer and Cells,1,IC50,2,2,2,0.104271924205584,0.104271924205584,0.10427192420558364,3.608224830031759e-16,0
BMLIIPOXVWESJG-KEDVUCMTSA-N,Metabolic Enzymes,2,IC50;Ki,6,2,6,-0.41717990051771947,-0.41717990051771947,-0.4040992915054163,-0.01308060901230318,0
