family,genus,species_binomial,n_occurrence_rows,n_compounds,n_references,representative_allowed,representative_exclusion_reason,representative_source,tree_species,representative_taxonomy_status
Pentaphylacaceae,Visnea,Visnea mocanera,2,2,1,TRUE,,observed_binomial_species,Visnea_mocanera,compatible
Petiveriaceae,Petiveria,Petiveria alliacea,13,13,1,TRUE,,observed_binomial_species,Petiveria_alliacea,compatible
Phrymaceae,Diplacus,Diplacus aurantiacus,23,17,3,TRUE,,observed_binomial_species,Diplacus_aurantiacus,compatible
Phyllanthaceae,Phyllanthus,Phyllanthus emblica,52,43,3,TRUE,,observed_binomial_species,Phyllanthus_emblica,compatible
Physenaceae,Physena,Physena madagascariensis,7,7,1,TRUE,,observed_binomial_species,Physena_madagascariensis,compatible
Phytolaccaceae,Phytolacca,Phytolacca americana,2,2,1,TRUE,,observed_binomial_species,Phytolacca_americana,compatible
Pinaceae,Pinus,Pinus sylvestris,44,30,8,TRUE,,observed_binomial_species,Pinus_sylvestris,compatible
Piperaceae,Piper,Piper aduncum,41,33,10,TRUE,,observed_binomial_species,Piper_aduncum,compatible
Plantaginaceae,Antirrhinum,Antirrhinum majus,14,10,6,TRUE,,observed_binomial_species,Antirrhinum_majus,compatible
Platanaceae,Platanus,Platanus orientalis,14,14,2,TRUE,,observed_binomial_species,Platanus_orientalis,compatible
Plumbaginaceae,Limonium,Limonium sinense,18,16,2,TRUE,,observed_binomial_species,Limonium_sinense,compatible
Poaceae,Gynerium,Gynerium sagittatum,18,18,1,TRUE,,observed_binomial_species,Gynerium_sagittatum,compatible
Podocarpaceae,Phyllocladus,Phyllocladus trichomanoides,28,22,3,TRUE,,observed_binomial_species,Phyllocladus_trichomanoides,compatible
Polygalaceae,Polygala,Polygala virgata,3,3,1,TRUE,,observed_binomial_species,Polygala_virgata,compatible
Polygonaceae,Rumex,Rumex acetosa,50,50,1,TRUE,,observed_binomial_species,Rumex_acetosa,compatible
Polypodiaceae,Selliguea,Selliguea feei,8,8,2,TRUE,,observed_binomial_species,Selliguea_feei,compatible
Polytrichaceae,Polytrichum,Polytrichum commune,5,5,1,TRUE,,observed_binomial_species,Polytrichum_commune,compatible
Portulacaceae,Portulaca,Portulaca oleracea,4,4,2,TRUE,,observed_binomial_species,Portulaca_oleracea,compatible
Posidoniaceae,Posidonia,Posidonia oceanica,1,1,1,TRUE,,observed_binomial_species,Posidonia_oceanica,compatible
Primulaceae,Ardisia,Ardisia complanata,16,16,1,TRUE,,observed_binomial_species,Ardisia_complanata,compatible
Proteaceae,Helicia,Helicia cochinchinensis,2,2,1,TRUE,,observed_binomial_species,Helicia_cochinchinensis,compatible
