original_family,genus,species_binomial,tree_species,representative_source,representative_taxonomy_status,representative_exclusion_reason,n_occurrence_rows,n_compounds,n_references,backbone_family,original_family_in_backbone,backbone_family_in_backbone,backbone_override_reason,phylo_maker_status,Order,Node.1,Node.2,Node.3,Node.4,FinalClade,apg_match,clade_assignment_source,AnalysisClade
Balanophoraceae,Balanophora,Balanophora tobiracola,Balanophora_tobiracola,observed_binomial_species,compatible,,21,19,2,Balanophoraceae,TRUE,TRUE,,prune,Santalales,Eudicots,Superasterids,,,Santalales,TRUE,APG_reference,Caryophy_Santalales
Balsaminaceae,Impatiens,Impatiens balsamina,Impatiens_balsamina,observed_binomial_species,compatible,,1,1,1,Balsaminaceae,TRUE,TRUE,,prune,Ericales,Eudicots,Superasterids,Asterids,,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Basellaceae,Basella,Basella alba,Basella_alba,observed_binomial_species,compatible,,1,1,1,Basellaceae,TRUE,TRUE,,prune,Caryophyllales,Eudicots,Superasterids,,,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Begoniaceae,Begonia,Begonia nantoensis,Begonia_nantoensis,observed_binomial_species,compatible,,9,7,2,Begoniaceae,TRUE,TRUE,,prune,Cucurbitales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Berberidaceae,Achlys,Achlys triphylla,Achlys_triphylla,observed_binomial_species,compatible,,4,4,2,Berberidaceae,TRUE,TRUE,,prune,Ranunculales,Eudicots,,,,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Betulaceae,Alnus,Alnus sieboldiana,Alnus_sieboldiana,observed_binomial_species,compatible,,17,14,5,Betulaceae,TRUE,TRUE,,bind,Fagales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Bignoniaceae,Anemopaegma,Anemopaegma arvense,Anemopaegma_arvense,observed_binomial_species,compatible,,7,7,1,Bignoniaceae,TRUE,TRUE,,bind,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Bixaceae,Cochlospermum,Cochlospermum gillivraei,Cochlospermum_gillivraei,observed_binomial_species,compatible,,1,1,1,Bixaceae,TRUE,TRUE,,bind,Malvales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Blechnaceae,Brainea,Brainea insignis,Brainea_insignis,observed_binomial_species,compatible,,3,3,2,Blechnaceae,TRUE,TRUE,,bind,Polypodiales,,,,,Ferns,TRUE,manual_family_override,Ferns
Bonnetiaceae,Bonnetia,Bonnetia paniculata,Bonnetia_paniculata,observed_binomial_species,compatible,,2,2,1,Bonnetiaceae,TRUE,TRUE,,prune,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Boraginaceae,Echiochilon,Echiochilon fruticosum,Echiochilon_fruticosum,observed_binomial_species,compatible,,4,4,1,Boraginaceae,TRUE,TRUE,,prune,Boraginales,Eudicots,Superasterids,Asterids,Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Brassicaceae,Anastatica,Anastatica hierochuntica,Anastatica_hierochuntica,observed_binomial_species,compatible,,46,22,3,Brassicaceae,TRUE,TRUE,,prune,Brassicales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Bromeliaceae,Ananas,Ananas comosus,Ananas_comosus,observed_binomial_species,compatible,,23,17,2,Bromeliaceae,TRUE,TRUE,,prune,Poales,Monocots,Commelinids,,,Monocots (Commelinids),TRUE,APG_reference,Monocots (Commelinids)
Burseraceae,Commiphora,Commiphora socotrana,Commiphora_socotrana,observed_binomial_species,compatible,,7,7,1,Burseraceae,TRUE,TRUE,,bind,Sapindales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Cactaceae,Echinocereus,Echinocereus coccineus,Echinocereus_coccineus,observed_binomial_species,compatible,,12,12,1,Cactaceae,TRUE,TRUE,,prune,Caryophyllales,Eudicots,Superasterids,,,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Calceolariaceae,Calceolaria,Calceolaria hypericina,Calceolaria_hypericina,observed_binomial_species,compatible,,3,3,2,Calceolariaceae,TRUE,TRUE,,bind,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Calophyllaceae,Calophyllum,Calophyllum polyanthum,Calophyllum_polyanthum,observed_binomial_species,compatible,,5,5,2,Calophyllaceae,TRUE,TRUE,,bind,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Campanulaceae,Platycodon,Platycodon grandiflorus,Platycodon_grandiflorus,observed_binomial_species,compatible,,8,7,2,Campanulaceae,TRUE,TRUE,,prune,Asterales,Eudicots,Superasterids,Asterids,Campanulids,Asterids (Campanulids),TRUE,APG_reference,Asterids (Campanulids)
Cannabaceae,Humulus,Humulus lupulus,Humulus_lupulus,observed_binomial_species,compatible,,215,77,46,Cannabaceae,TRUE,TRUE,,prune,Rosales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Capparaceae,Crateva,Crateva religiosa,Crateva_religiosa,observed_binomial_species,compatible,,2,2,1,Capparaceae,TRUE,TRUE,,prune,Brassicales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Caprifoliaceae,Patrinia,Patrinia villosa,Patrinia_villosa,observed_binomial_species,compatible,,2,2,2,Caprifoliaceae,TRUE,TRUE,,prune,Dipsacales,Eudicots,Superasterids,Asterids,Campanulids,Asterids (Campanulids),TRUE,APG_reference,Asterids (Campanulids)
Caryophyllaceae,Dianthus,Dianthus caryophyllus,Dianthus_caryophyllus,observed_binomial_species,compatible,,6,6,3,Caryophyllaceae,TRUE,TRUE,,prune,Caryophyllales,Eudicots,Superasterids,,,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Casuarinaceae,Casuarina,Casuarina equisetifolia,Casuarina_equisetifolia,observed_binomial_species,compatible,,2,2,1,Casuarinaceae,TRUE,TRUE,,prune,Fagales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Celastraceae,Gymnosporia,Gymnosporia senegalensis,Gymnosporia_senegalensis,observed_binomial_species,compatible,,24,20,3,Celastraceae,TRUE,TRUE,,prune,Celastrales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
