original_family,genus,species_binomial,tree_species,representative_source,representative_taxonomy_status,representative_exclusion_reason,n_occurrence_rows,n_compounds,n_references,backbone_family,original_family_in_backbone,backbone_family_in_backbone,backbone_override_reason,phylo_maker_status,Order,Node.1,Node.2,Node.3,Node.4,FinalClade,apg_match,clade_assignment_source,AnalysisClade
Grossulariaceae,Ribes,Ribes rubrum,Ribes_rubrum,observed_binomial_species,compatible,,22,22,4,Grossulariaceae,TRUE,TRUE,,prune,Saxifragales,Eudicots,Superrosids,,,Saxifragales,TRUE,APG_reference,Saxifragales
Haloragaceae,Myriophyllum,Myriophyllum aquaticum,Myriophyllum_aquaticum,observed_binomial_species,compatible,,2,2,1,Haloragaceae,TRUE,TRUE,,prune,Saxifragales,Eudicots,Superrosids,,,Saxifragales,TRUE,APG_reference,Saxifragales
Hamamelidaceae,Hamamelis,Hamamelis virginiana,Hamamelis_virginiana,observed_binomial_species,compatible,,20,17,3,Hamamelidaceae,TRUE,TRUE,,prune,Saxifragales,Eudicots,Superrosids,,,Saxifragales,TRUE,APG_reference,Saxifragales
Heliotropiaceae,Heliotropium,Heliotropium glutinosum,Heliotropium_glutinosum,observed_binomial_species,compatible,,6,6,1,Boraginaceae,FALSE,TRUE,family_override_absent_from_backbone,prune,,,,,,Asterids (Lamiids),FALSE,manual_family_override,Asterids (Lamiids)
Hernandiaceae,Hernandia,Hernandia nymphaeifolia,Hernandia_nymphaeifolia,observed_binomial_species,compatible,,6,6,1,Hernandiaceae,TRUE,TRUE,,bind,Laurales,Magnoliids,,,,Magnoliids,TRUE,APG_reference,Magnoliids
Humiriaceae,Vantanea,Vantanea peruviana,Vantanea_peruviana,observed_binomial_species,compatible,,2,2,1,Humiriaceae,TRUE,TRUE,,bind,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Hydrangeaceae,Hydrangea,Hydrangea macrophylla,Hydrangea_macrophylla,observed_binomial_species,compatible,,4,4,1,Hydrangeaceae,TRUE,TRUE,,prune,Cornales,Eudicots,Superasterids,Asterids,,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Hypericaceae,Hypericum,Hypericum perforatum,Hypericum_perforatum,observed_binomial_species,compatible,,17,11,9,Hypericaceae,TRUE,TRUE,,prune,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Iridaceae,Iris,Iris domestica,Iris_domestica,observed_binomial_species,compatible,,106,46,21,Iridaceae,TRUE,TRUE,,prune,Asparagales,Monocots,,,,Monocots,TRUE,APG_reference,Monocots
Juglandaceae,Juglans,Juglans regia,Juglans_regia,observed_binomial_species,compatible,,17,16,3,Juglandaceae,TRUE,TRUE,,prune,Fagales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Krameriaceae,Krameria,Krameria erecta,Krameria_erecta,observed_binomial_species,compatible,,27,21,2,Krameriaceae,TRUE,TRUE,,bind,Zygophyllales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Lamiaceae,Scutellaria,Scutellaria indica,Scutellaria_indica,observed_binomial_species,compatible,,39,35,4,Lamiaceae,TRUE,TRUE,,bind,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Lardizabalaceae,Sinofranchetia,Sinofranchetia chinensis,Sinofranchetia_chinensis,observed_binomial_species,compatible,,5,4,2,Lardizabalaceae,TRUE,TRUE,,prune,Ranunculales,Eudicots,,,,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Lauraceae,Lindera,Lindera umbellata,Lindera_umbellata,observed_binomial_species,compatible,,74,52,16,Lauraceae,TRUE,TRUE,,prune,Laurales,Magnoliids,,,,Magnoliids,TRUE,APG_reference,Magnoliids
Lecythidaceae,Bertholletia,Bertholletia excelsa,Bertholletia_excelsa,observed_binomial_species,compatible,,8,8,1,Lecythidaceae,TRUE,TRUE,,prune,Ericales,Eudicots,Superasterids,Asterids,,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Loganiaceae,Strychnos,Strychnos trinervis,Strychnos_trinervis,observed_binomial_species,compatible,,1,1,1,Loganiaceae,TRUE,TRUE,,bind,Gentianales,Eudicots,Superasterids,Asterids,Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Loranthaceae,Scurrula,Scurrula atropurpurea,Scurrula_atropurpurea,observed_binomial_species,compatible,,7,7,1,Loranthaceae,TRUE,TRUE,,prune,Santalales,Eudicots,Superasterids,,,Santalales,TRUE,APG_reference,Caryophy_Santalales
Lycopodiaceae,Huperzia,Huperzia lucidula,Huperzia_lucidula,observed_binomial_species,compatible,,2,2,1,Lycopodiaceae,TRUE,TRUE,,prune,Lycopodiales,,,,,Lycophytes,TRUE,manual_family_override,Lycophytes
Lythraceae,Punica,Punica granatum,Punica_granatum,observed_binomial_species,compatible,,33,30,10,Lythraceae,TRUE,TRUE,,prune,Myrtales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Malpighiaceae,Byrsonima,Byrsonima crassifolia,Byrsonima_crassifolia,observed_binomial_species,compatible,,22,17,3,Malpighiaceae,TRUE,TRUE,,prune,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Malvaceae,Theobroma,Theobroma cacao,Theobroma_cacao,observed_binomial_species,compatible,,42,18,15,Malvaceae,TRUE,TRUE,,prune,Malvales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Marcgraviaceae,Norantea,Norantea guianensis,Norantea_guianensis,observed_binomial_species,compatible,,1,1,1,Marcgraviaceae,TRUE,TRUE,,prune,Ericales,Eudicots,Superasterids,Asterids,,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Melanthiaceae,Schoenocaulon,Schoenocaulon officinale,Schoenocaulon_officinale,observed_binomial_species,compatible,,5,5,1,Melanthiaceae,TRUE,TRUE,,prune,Liliales,Monocots,,,,Monocots,TRUE,APG_reference,Monocots
Melastomataceae,Melastoma,Melastoma malabathricum,Melastoma_malabathricum,observed_binomial_species,compatible,,13,13,3,Melastomataceae,TRUE,TRUE,,prune,Myrtales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Meliaceae,Soymida,Soymida febrifuga,Soymida_febrifuga,observed_binomial_species,compatible,,31,31,1,Meliaceae,TRUE,TRUE,,bind,Sapindales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Menispermaceae,Tinospora,Tinospora sinensis,Tinospora_sinensis,observed_binomial_species,compatible,,2,2,1,Menispermaceae,TRUE,TRUE,,bind,Ranunculales,Eudicots,,,,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Molluginaceae,Mollugo,Mollugo pentaphylla,Mollugo_pentaphylla,observed_binomial_species,compatible,,2,2,1,Molluginaceae,TRUE,TRUE,,prune,Caryophyllales,Eudicots,Superasterids,,,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Moraceae,Morus,Morus alba,Morus_alba,observed_binomial_species,compatible,,277,162,69,Moraceae,TRUE,TRUE,,prune,Rosales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Muntingiaceae,Muntingia,Muntingia calabura,Muntingia_calabura,observed_binomial_species,compatible,,55,46,5,Muntingiaceae,TRUE,TRUE,,prune,Malvales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Musaceae,Musa,Musa acuminata,Musa_acuminata,observed_binomial_species,compatible,,6,4,3,Musaceae,TRUE,TRUE,,bind,Zingiberales,Monocots,Commelinids,,,Monocots (Commelinids),TRUE,APG_reference,Monocots (Commelinids)
Myricaceae,Myrica,Myrica rubra,Myrica_rubra,observed_binomial_species,compatible,,44,24,9,Myricaceae,TRUE,TRUE,,prune,Fagales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Myristicaceae,Iryanthera,Iryanthera laevis,Iryanthera_laevis,observed_binomial_species,compatible,,29,26,5,Myristicaceae,TRUE,TRUE,,bind,Magnoliales,Magnoliids,,,,Magnoliids,TRUE,APG_reference,Magnoliids
Myrtaceae,Syzygium,Syzygium nervosum,Syzygium_nervosum,observed_binomial_species,compatible,,43,39,3,Myrtaceae,TRUE,TRUE,,prune,Myrtales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Namaceae,Eriodictyon,Eriodictyon californicum,Eriodictyon_californicum,observed_binomial_species,compatible,,12,10,4,Boraginaceae,FALSE,TRUE,family_override_absent_from_backbone,prune,,,,,,Asterids (Lamiids),FALSE,manual_family_override,Asterids (Lamiids)
Nelumbonaceae,Nelumbo,Nelumbo nucifera,Nelumbo_nucifera,observed_binomial_species,compatible,,10,8,4,Nelumbonaceae,TRUE,TRUE,,prune,Proteales,Eudicots,,,,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Nothofagaceae,Nothofagus,Nothofagus fusca,Nothofagus_fusca,observed_binomial_species,compatible,,3,3,2,Nothofagaceae,TRUE,TRUE,,bind,Fagales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Nyctaginaceae,Mirabilis,Mirabilis jalapa,Mirabilis_jalapa,observed_binomial_species,compatible,,17,15,2,Nyctaginaceae,TRUE,TRUE,,prune,Caryophyllales,Eudicots,Superasterids,,,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Nymphaeaceae,Nymphaea,Nymphaea nouchali,Nymphaea_nouchali,observed_binomial_species,compatible,,10,10,2,Nymphaeaceae,TRUE,TRUE,,prune,Nymphaeales,,,,,Basal Angiosperms,TRUE,APG_reference,ANA
Ochnaceae,Lophira,Lophira lanceolata,Lophira_lanceolata,observed_binomial_species,compatible,,19,15,8,Ochnaceae,TRUE,TRUE,,prune,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Olacaceae,Heisteria,Heisteria acuminata,Heisteria_acuminata,observed_binomial_species,compatible,,2,2,1,Olacaceae,TRUE,TRUE,,prune,Santalales,Eudicots,Superasterids,,,Santalales,TRUE,APG_reference,Caryophy_Santalales
Oleaceae,Olea,Olea europaea,Olea_europaea,observed_binomial_species,compatible,,1,1,1,Oleaceae,TRUE,TRUE,,prune,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Onagraceae,Epilobium,Epilobium angustifolium,Epilobium_angustifolium,observed_binomial_species,compatible,,10,10,1,Onagraceae,TRUE,TRUE,,prune,Myrtales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Onocleaceae,Pentarhizidium,Pentarhizidium orientale,Pentarhizidium_orientale,observed_binomial_species,compatible,,27,19,4,Onocleaceae,TRUE,TRUE,,bind,Polypodiales,,,,,Ferns,TRUE,APG_reference,Ferns
Ophioglossaceae,Helminthostachys,Helminthostachys zeylanica,Helminthostachys_zeylanica,observed_binomial_species,compatible,,2,2,1,Ophioglossaceae,TRUE,TRUE,,bind,Ophioglossales,,,,,Ferns,TRUE,manual_family_override,Ferns
Orchidaceae,Pleione,Pleione bulbocodioides,Pleione_bulbocodioides,observed_binomial_species,compatible,,27,27,3,Orchidaceae,TRUE,TRUE,,bind,Asparagales,Monocots,,,,Monocots,TRUE,APG_reference,Monocots
Oxalidaceae,Averrhoa,Averrhoa carambola,Averrhoa_carambola,observed_binomial_species,compatible,,6,6,1,Oxalidaceae,TRUE,TRUE,,prune,Oxalidales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Paeoniaceae,Paeonia,Paeonia obovata,Paeonia_obovata,observed_binomial_species,compatible,,8,8,1,Paeoniaceae,TRUE,TRUE,,prune,Saxifragales,Eudicots,Superrosids,,,Saxifragales,TRUE,APG_reference,Saxifragales
Pandaceae,Panda,Panda oleosa,Panda_oleosa,observed_binomial_species,compatible,,2,2,1,Pandaceae,TRUE,TRUE,,prune,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Papaveraceae,Argemone,Argemone mexicana,Argemone_mexicana,observed_binomial_species,compatible,,3,3,2,Papaveraceae,TRUE,TRUE,,prune,Ranunculales,Eudicots,,,,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Paracryphiaceae,Quintinia,Quintinia serrata,Quintinia_serrata,observed_binomial_species,compatible,,9,9,1,Paracryphiaceae,TRUE,TRUE,,bind,Paracryphiales,Eudicots,Superasterids,Asterids,Campanulids,Asterids (Campanulids),TRUE,APG_reference,Asterids (Campanulids)
Passifloraceae,Turnera,Turnera diffusa,Turnera_diffusa,observed_binomial_species,compatible,,2,2,1,Passifloraceae,TRUE,TRUE,,prune,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Paulowniaceae,Paulownia,Paulownia tomentosa,Paulownia_tomentosa,observed_binomial_species,compatible,,148,99,8,Paulowniaceae,TRUE,TRUE,,prune,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Pentaphylacaceae,Visnea,Visnea mocanera,Visnea_mocanera,observed_binomial_species,compatible,,2,2,1,Pentaphylacaceae,TRUE,TRUE,,prune,Ericales,Eudicots,Superasterids,Asterids,,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Petiveriaceae,Petiveria,Petiveria alliacea,Petiveria_alliacea,observed_binomial_species,compatible,,13,13,1,Petiveriaceae,TRUE,TRUE,,prune,Caryophyllales,Eudicots,Superasterids,,,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Phrymaceae,Diplacus,Diplacus aurantiacus,Diplacus_aurantiacus,observed_binomial_species,compatible,,23,17,3,Phrymaceae,TRUE,TRUE,,bind,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Phyllanthaceae,Phyllanthus,Phyllanthus emblica,Phyllanthus_emblica,observed_binomial_species,compatible,,52,43,3,Phyllanthaceae,TRUE,TRUE,,prune,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Physenaceae,Physena,Physena madagascariensis,Physena_madagascariensis,observed_binomial_species,compatible,,7,7,1,Physenaceae,TRUE,TRUE,,prune,Caryophyllales,Eudicots,Superasterids,,,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Phytolaccaceae,Phytolacca,Phytolacca americana,Phytolacca_americana,observed_binomial_species,compatible,,2,2,1,Phytolaccaceae,TRUE,TRUE,,prune,Caryophyllales,Eudicots,Superasterids,,,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Pinaceae,Pinus,Pinus sylvestris,Pinus_sylvestris,observed_binomial_species,compatible,,44,30,8,Pinaceae,TRUE,TRUE,,prune,Pinales,,,,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Piperaceae,Piper,Piper aduncum,Piper_aduncum,observed_binomial_species,compatible,,41,33,10,Piperaceae,TRUE,TRUE,,prune,Piperales,Magnoliids,,,,Magnoliids,TRUE,APG_reference,Magnoliids
Plantaginaceae,Antirrhinum,Antirrhinum majus,Antirrhinum_majus,observed_binomial_species,compatible,,14,10,6,Plantaginaceae,TRUE,TRUE,,prune,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Platanaceae,Platanus,Platanus orientalis,Platanus_orientalis,observed_binomial_species,compatible,,14,14,2,Platanaceae,TRUE,TRUE,,prune,Proteales,Eudicots,,,,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Plumbaginaceae,Limonium,Limonium sinense,Limonium_sinense,observed_binomial_species,compatible,,18,16,2,Plumbaginaceae,TRUE,TRUE,,prune,Caryophyllales,Eudicots,Superasterids,,,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Poaceae,Gynerium,Gynerium sagittatum,Gynerium_sagittatum,observed_binomial_species,compatible,,18,18,1,Poaceae,TRUE,TRUE,,prune,Poales,Monocots,Commelinids,,,Monocots (Commelinids),TRUE,APG_reference,Monocots (Commelinids)
Podocarpaceae,Phyllocladus,Phyllocladus trichomanoides,Phyllocladus_trichomanoides,observed_binomial_species,compatible,,28,22,3,Podocarpaceae,TRUE,TRUE,,prune,Cupressales,,,,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Polygalaceae,Polygala,Polygala virgata,Polygala_virgata,observed_binomial_species,compatible,,3,3,1,Polygalaceae,TRUE,TRUE,,bind,Fabales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Polygonaceae,Rumex,Rumex acetosa,Rumex_acetosa,observed_binomial_species,compatible,,50,50,1,Polygonaceae,TRUE,TRUE,,bind,Caryophyllales,Eudicots,Superasterids,,,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Polypodiaceae,Selliguea,Selliguea feei,Selliguea_feei,observed_binomial_species,compatible,,8,8,2,Polypodiaceae,TRUE,TRUE,,bind,Polypodiales,,,,,Ferns,TRUE,manual_family_override,Ferns
Portulacaceae,Portulaca,Portulaca oleracea,Portulaca_oleracea,observed_binomial_species,compatible,,4,4,2,Portulacaceae,TRUE,TRUE,,prune,Caryophyllales,Eudicots,Superasterids,,,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Posidoniaceae,Posidonia,Posidonia oceanica,Posidonia_oceanica,observed_binomial_species,compatible,,1,1,1,Posidoniaceae,TRUE,TRUE,,prune,Alismatales,Monocots,,,,Monocots,TRUE,APG_reference,Monocots
Primulaceae,Ardisia,Ardisia complanata,Ardisia_complanata,observed_binomial_species,compatible,,16,16,1,Primulaceae,TRUE,TRUE,,bind,Ericales,Eudicots,Superasterids,Asterids,,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Proteaceae,Helicia,Helicia cochinchinensis,Helicia_cochinchinensis,observed_binomial_species,compatible,,2,2,1,Proteaceae,TRUE,TRUE,,prune,Proteales,Eudicots,,,,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Pteridaceae,Doryopteris,Doryopteris decipiens,Doryopteris_decipiens,observed_binomial_species,compatible,,30,30,1,Pteridaceae,TRUE,TRUE,,bind,Polypodiales,,,,,Ferns,TRUE,manual_family_override,Ferns
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia_ecalcarata,observed_binomial_species,compatible,,6,6,1,Ranunculaceae,TRUE,TRUE,,prune,Ranunculales,Eudicots,,,,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Rhamnaceae,Ziziphus,Ziziphus jujuba,Ziziphus_jujuba,observed_binomial_species,compatible,,50,48,4,Rhamnaceae,TRUE,TRUE,,prune,Rosales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Rhizophoraceae,Kandelia,Kandelia candel,Kandelia_candel,observed_binomial_species,compatible,,46,44,2,Rhizophoraceae,TRUE,TRUE,,prune,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Rosaceae,Prunus,Prunus avium,Prunus_avium,observed_binomial_species,compatible,,53,42,10,Rosaceae,TRUE,TRUE,,prune,Rosales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Rubiaceae,Pavetta,Pavetta owariensis,Pavetta_owariensis,observed_binomial_species,compatible,,40,34,7,Rubiaceae,TRUE,TRUE,,bind,Gentianales,Eudicots,Superasterids,Asterids,Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Rutaceae,Citrus,Citrus limon,Citrus_limon,observed_binomial_species,compatible,,144,45,40,Rutaceae,TRUE,TRUE,,prune,Sapindales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Salicaceae,Populus,Populus tremula,Populus_tremula,observed_binomial_species,compatible,,38,21,7,Salicaceae,TRUE,TRUE,,prune,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Santalaceae,Viscum,Viscum coloratum,Viscum_coloratum,observed_binomial_species,compatible,,48,37,7,Santalaceae,TRUE,TRUE,,prune,Santalales,Eudicots,Superasterids,,,Santalales,TRUE,APG_reference,Caryophy_Santalales
Sapindaceae,Aesculus,Aesculus hippocastanum,Aesculus_hippocastanum,observed_binomial_species,compatible,,50,39,4,Sapindaceae,TRUE,TRUE,,prune,Sapindales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Sapotaceae,Manilkara,Manilkara zapota,Manilkara_zapota,observed_binomial_species,compatible,,7,7,1,Sapotaceae,TRUE,TRUE,,prune,Ericales,Eudicots,Superasterids,Asterids,,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Sarcolaenaceae,Schizolaena,Schizolaena hystrix,Schizolaena_hystrix,observed_binomial_species,compatible,,16,15,2,Sarcolaenaceae,TRUE,TRUE,,bind,Malvales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Sarraceniaceae,Sarracenia,Sarracenia alabamensis,Sarracenia_alabamensis,observed_binomial_species,compatible,,1,1,1,Sarraceniaceae,TRUE,TRUE,,prune,Ericales,Eudicots,Superasterids,Asterids,,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Saururaceae,Houttuynia,Houttuynia cordata,Houttuynia_cordata,observed_binomial_species,compatible,,1,1,1,Saururaceae,TRUE,TRUE,,prune,Piperales,Magnoliids,,,,Magnoliids,TRUE,APG_reference,Magnoliids
Saxifragaceae,Leptarrhena,Leptarrhena pyrolifolia,Leptarrhena_pyrolifolia,observed_binomial_species,compatible,,11,11,1,Saxifragaceae,TRUE,TRUE,,prune,Saxifragales,Eudicots,Superrosids,,,Saxifragales,TRUE,APG_reference,Saxifragales
Schisandraceae,Illicium,Illicium anisatum,Illicium_anisatum,observed_binomial_species,compatible,,15,15,1,Schisandraceae,TRUE,TRUE,,prune,Austrobaileyales,,,,,Basal Angiosperms,TRUE,APG_reference,ANA
Sciadopityaceae,Sciadopitys,Sciadopitys verticillata,Sciadopitys_verticillata,observed_binomial_species,compatible,,3,3,1,Sciadopityaceae,TRUE,TRUE,,prune,Cupressales,,,,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Scrophulariaceae,Buddleja,Buddleja madagascariensis,Buddleja_madagascariensis,observed_binomial_species,compatible,,3,3,1,Scrophulariaceae,TRUE,TRUE,,prune,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Selaginellaceae,Selaginella,Selaginella delicatula,Selaginella_delicatula,observed_binomial_species,compatible,,7,7,2,Selaginellaceae,TRUE,TRUE,,bind,Lycopodiales,,,,,Lycophytes,TRUE,manual_family_override,Lycophytes
Simaroubaceae,Brucea,Brucea javanica,Brucea_javanica,observed_binomial_species,compatible,,25,21,6,Simaroubaceae,TRUE,TRUE,,prune,Sapindales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Siparunaceae,Siparuna,Siparuna thecaphora,Siparuna_thecaphora,observed_binomial_species,compatible,,2,2,1,Siparunaceae,TRUE,TRUE,,bind,Laurales,Magnoliids,,,,Magnoliids,TRUE,APG_reference,Magnoliids
Smilacaceae,Smilax,Smilax corbularia,Smilax_corbularia,observed_binomial_species,compatible,,33,33,1,Smilacaceae,TRUE,TRUE,,prune,Liliales,Monocots,,,,Monocots,TRUE,APG_reference,Monocots
Solanaceae,Solanum,Solanum lycopersicum,Solanum_lycopersicum,observed_binomial_species,compatible,,20,18,3,Solanaceae,TRUE,TRUE,,prune,Solanales,Eudicots,Superasterids,Asterids,Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Stachyuraceae,Stachyurus,Stachyurus praecox,Stachyurus_praecox,observed_binomial_species,compatible,,6,6,1,Stachyuraceae,TRUE,TRUE,,prune,Crossosomatales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Stemonaceae,Stemona,Stemona collinsae,Stemona_collinsae,observed_binomial_species,compatible,,19,10,4,Stemonaceae,TRUE,TRUE,,bind,Pandanales,Monocots,,,,Monocots,TRUE,APG_reference,Monocots
Symplocaceae,Symplocos,Symplocos uniflora,Symplocos_uniflora,observed_binomial_species,compatible,,2,2,1,Symplocaceae,TRUE,TRUE,,prune,Ericales,Eudicots,Superasterids,Asterids,,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Tamaricaceae,Tamarix,Tamarix senegalensis,Tamarix_senegalensis,observed_binomial_species,compatible,,4,2,2,Tamaricaceae,TRUE,TRUE,,bind,Caryophyllales,Eudicots,Superasterids,,,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Taxaceae,Taxus,Taxus mairei,Taxus_mairei,observed_binomial_species,compatible,,5,5,1,Taxaceae,TRUE,TRUE,,bind,Cupressales,,,,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Tectariaceae,Tectaria,Tectaria subtriphylla,Tectaria_subtriphylla,observed_binomial_species,compatible,,6,6,1,Tectariaceae,TRUE,TRUE,,bind,Polypodiales,,,,,Ferns,TRUE,APG_reference,Ferns
Theaceae,Camellia,Camellia sinensis,Camellia_sinensis,observed_binomial_species,compatible,,496,102,96,Theaceae,TRUE,TRUE,,prune,Ericales,Eudicots,Superasterids,Asterids,,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Thelypteridaceae,Menisciopsis,Menisciopsis penangiana,Menisciopsis_penangiana,observed_binomial_species,compatible,,44,37,7,Thelypteridaceae,TRUE,TRUE,,bind,Polypodiales,,,,,Ferns,TRUE,manual_family_override,Ferns
Thymelaeaceae,Stellera,Stellera chamaejasme,Stellera_chamaejasme,observed_binomial_species,compatible,,60,32,12,Thymelaeaceae,TRUE,TRUE,,prune,Malvales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Trochodendraceae,Tetracentron,Tetracentron sinense,Tetracentron_sinense,observed_binomial_species,compatible,,1,1,1,Trochodendraceae,TRUE,TRUE,,prune,Trochodendrales,Eudicots,,,,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Typhaceae,Typha,Typha capensis,Typha_capensis,observed_binomial_species,compatible,,12,6,3,Typhaceae,TRUE,TRUE,,prune,Poales,Monocots,Commelinids,,,Monocots (Commelinids),TRUE,APG_reference,Monocots (Commelinids)
Ulmaceae,Ulmus,Ulmus wallichiana,Ulmus_wallichiana,observed_binomial_species,compatible,,8,8,1,Ulmaceae,TRUE,TRUE,,bind,Rosales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
