family,n_occurrence_rows_total,n_compounds_total,n_references_total,n_occurrence_rows_primary,n_primary_compounds,n_primary_references,n_occurrence_rows_excluded,n_excluded_compounds,excluded_inchikeys,exclusion_reasons,retained_in_primary_tree,tree_exclusion_reason
Burseraceae,25,20,6,25,20,6,0,0,,,TRUE,
Cactaceae,38,20,6,38,20,6,0,0,,,TRUE,
Calceolariaceae,3,3,2,3,3,2,0,0,,,TRUE,
Calophyllaceae,30,19,14,30,19,14,0,0,,,TRUE,
Campanulaceae,12,11,4,11,10,3,1,1,WOQCLXFQXTUHMV-UHFFFAOYSA-N,carbon_count_below_14,TRUE,
Cannabaceae,216,77,46,216,77,46,0,0,,,TRUE,
Capparaceae,2,2,1,2,2,1,0,0,,,TRUE,
Caprifoliaceae,7,7,5,7,7,5,0,0,,,TRUE,
Caryophyllaceae,16,16,9,16,16,9,0,0,,,TRUE,
Casuarinaceae,2,2,1,2,2,1,0,0,,,TRUE,
Celastraceae,120,57,37,120,57,37,0,0,,,TRUE,
Cephalotaxaceae,10,10,1,10,10,1,0,0,,,TRUE,
Cercidiphyllaceae,6,6,1,6,6,1,0,0,,,TRUE,
Chloranthaceae,34,30,5,34,30,5,0,0,,,TRUE,
Chrysobalanaceae,39,15,7,39,15,7,0,0,,,TRUE,
Cistaceae,14,9,6,14,9,6,0,0,,,TRUE,
Cleomaceae,2,2,1,2,2,1,0,0,,,TRUE,
Clusiaceae,378,127,68,376,125,67,2,2,QDTZHTJSNHSYDA-ISVAXAHUSA-N;QDTZHTJSNHSYDA-UHFFFAOYSA-N,carbon_count_below_14,TRUE,
Combretaceae,89,71,24,89,71,24,0,0,,,TRUE,
Convolvulaceae,44,40,11,43,39,10,1,1,OJUGVDODNPJEEC-UHFFFAOYSA-N,carbon_count_below_14,TRUE,
Cordiaceae,9,9,1,9,9,1,0,0,,,TRUE,
Coriariaceae,2,2,1,2,2,1,0,0,,,TRUE,
Cornaceae,5,5,2,5,5,2,0,0,,,TRUE,
Corsiniaceae,3,3,1,3,3,1,0,0,,,TRUE,
Crassulaceae,108,39,22,108,39,22,0,0,,,TRUE,
Cucurbitaceae,19,19,4,19,19,4,0,0,,,TRUE,
Cunoniaceae,2,2,1,2,2,1,0,0,,,TRUE,
Cupressaceae,97,50,23,97,50,23,0,0,,,TRUE,
Cyatheaceae,4,4,1,4,4,1,0,0,,,TRUE,
Cycadaceae,36,20,5,36,20,5,0,0,,,TRUE,
Cynomoriaceae,9,6,4,9,6,4,0,0,,,TRUE,
Cyperaceae,156,69,12,156,69,12,0,0,,,TRUE,
Daphniphyllaceae,6,6,2,6,6,2,0,0,,,TRUE,
Davalliaceae,45,28,8,45,28,8,0,0,,,TRUE,
Dennstaedtiaceae,6,5,4,6,5,4,0,0,,,TRUE,
Diapensiaceae,2,2,1,2,2,1,0,0,,,TRUE,
Dicranaceae,4,4,1,4,4,1,0,0,,,TRUE,
Didiereaceae,4,4,2,4,4,2,0,0,,,TRUE,
Dilleniaceae,7,7,2,7,7,2,0,0,,,TRUE,
Dioscoreaceae,44,30,11,44,30,11,0,0,,,TRUE,
Dipterocarpaceae,24,22,5,24,22,5,0,0,,,TRUE,
Dryopteridaceae,38,26,4,38,26,4,0,0,,,TRUE,
Ebenaceae,39,26,7,39,26,7,0,0,,,TRUE,
Elaeagnaceae,7,6,2,7,6,2,0,0,,,TRUE,
Elatinaceae,4,4,1,4,4,1,0,0,,,TRUE,
Ephedraceae,9,8,4,9,8,4,0,0,,,TRUE,
Equisetaceae,8,7,2,8,7,2,0,0,,,TRUE,
Ericaceae,352,166,68,352,166,68,0,0,,,TRUE,
Eriocaulaceae,7,7,4,7,7,4,0,0,,,TRUE,
Erythroxylaceae,31,20,8,31,20,8,0,0,,,TRUE,
Eucommiaceae,5,5,3,5,5,3,0,0,,,TRUE,
Euphorbiaceae,286,214,57,286,214,57,0,0,,,TRUE,
Eupteleaceae,1,1,1,1,1,1,0,0,,,TRUE,
Fabaceae,14305,5027,1935,14305,5027,1935,0,0,,,TRUE,
Fagaceae,188,105,26,188,105,26,0,0,,,TRUE,
Francoaceae,8,8,1,8,8,1,0,0,,,TRUE,
Gentianaceae,25,25,6,25,25,6,0,0,,,TRUE,
Geraniaceae,52,42,12,52,42,12,0,0,,,TRUE,
Gesneriaceae,22,22,2,22,22,2,0,0,,,TRUE,
Ginkgoaceae,10,8,3,10,8,3,0,0,,,TRUE,
Gleicheniaceae,30,30,1,30,30,1,0,0,,,TRUE,
Gnetaceae,28,24,8,28,24,8,0,0,,,TRUE,
Grossulariaceae,60,34,13,60,34,13,0,0,,,TRUE,
Haloragaceae,2,2,1,2,2,1,0,0,,,TRUE,
Hamamelidaceae,23,20,5,23,20,5,0,0,,,TRUE,
Heliotropiaceae,22,16,10,22,16,10,0,0,,,TRUE,
Hernandiaceae,6,6,1,6,6,1,0,0,,,TRUE,
Humiriaceae,2,2,1,2,2,1,0,0,,,TRUE,
Hydrangeaceae,5,5,2,5,5,2,0,0,,,TRUE,
Hypericaceae,101,52,43,101,52,43,0,0,,,TRUE,
Hypnaceae,18,18,2,18,18,2,0,0,,,TRUE,
Iridaceae,448,174,73,448,174,73,0,0,,,TRUE,
Juglandaceae,47,30,9,47,30,9,0,0,,,TRUE,
Krameriaceae,79,29,13,79,29,13,0,0,,,TRUE,
