family,expected_order,expected_clade,n_sister_tips,sister_tips,sister_orders,sister_clades,same_order_sister,same_clade_sister
Schisandraceae,Austrobaileyales,Basal Angiosperms,182,Asteraceae;Campanulaceae;Apiaceae;Araliaceae;Caprifoliaceae;Viburnaceae;Paracryphiaceae;Aquifoliaceae;Lamiaceae;Paulowniaceae;Phrymaceae;Acanthaceae;Bignoniaceae;Verbenaceae;Scrophulariaceae;Plantaginaceae;Gesneriaceae;Calceolariaceae;Oleaceae;Boraginaceae;Namaceae;Heliotropiaceae;Cordiaceae;Rubiaceae;Apocynaceae;Gentianaceae;Loganiaceae;Solanaceae;Convolvulaceae;Eucommiaceae;Ericaceae;Actinidiaceae;Sarraceniaceae;Symplocaceae;Diapensiaceae;Primulaceae;Ebenaceae;Lecythidaceae;Sapotaceae;Theaceae;Pentaphylacaceae;Balsaminaceae;Marcgraviaceae;Hydrangeaceae;Cornaceae;Cactaceae;Portulacaceae;Didiereaceae;Basellaceae;Molluginaceae;Aizoaceae;Nyctaginaceae;Petiveriaceae;Phytolaccaceae;Caryophyllaceae;Amaranthaceae;Physenaceae;Polygonaceae;Plumbaginaceae;Tamaricaceae;Loranthaceae;Santalaceae;Balanophoraceae;Olacaceae;Dilleniaceae;Fabaceae;Polygalaceae;Rosaceae;Moraceae;Urticaceae;Cannabaceae;Ulmaceae;Rhamnaceae;Elaeagnaceae;Cynomoriaceae;Cucurbitaceae;Begoniaceae;Coriariaceae;Betulaceae;Casuarinaceae;Myricaceae;Juglandaceae;Fagaceae;Nothofagaceae;Hypericaceae;Clusiaceae;Calophyllaceae;Bonnetiaceae;Malpighiaceae;Elatinaceae;Passifloraceae;Salicaceae;Violaceae;Achariaceae;Phyllanthaceae;Rhizophoraceae;Erythroxylaceae;Pandaceae;Chrysobalanaceae;Euphorbiaceae;Ochnaceae;Humiriaceae;Cunoniaceae;Oxalidaceae;Celastraceae;Zygophyllaceae;Krameriaceae;Brassicaceae;Cleomaceae;Capparaceae;Malvaceae;Muntingiaceae;Dipterocarpaceae;Sarcolaenaceae;Cistaceae;Bixaceae;Thymelaeaceae;Rutaceae;Meliaceae;Simaroubaceae;Sapindaceae;Burseraceae;Anacardiaceae;Stachyuraceae;Melastomataceae;Myrtaceae;Vochysiaceae;Onagraceae;Lythraceae;Combretaceae;Geraniaceae;Francoaceae;Vitaceae;Crassulaceae;Haloragaceae;Saxifragaceae;Grossulariaceae;Hamamelidaceae;Altingiaceae;Daphniphyllaceae;Cercidiphyllaceae;Paeoniaceae;Trochodendraceae;Proteaceae;Platanaceae;Nelumbonaceae;Ranunculaceae;Berberidaceae;Menispermaceae;Lardizabalaceae;Papaveraceae;Eupteleaceae;Orchidaceae;Asparagaceae;Amaryllidaceae;Asphodelaceae;Iridaceae;Poaceae;Eriocaulaceae;Cyperaceae;Bromeliaceae;Typhaceae;Zingiberaceae;Musaceae;Arecaceae;Smilacaceae;Melanthiaceae;Stemonaceae;Velloziaceae;Dioscoreaceae;Araceae;Posidoniaceae;Annonaceae;Myristicaceae;Lauraceae;Hernandiaceae;Siparunaceae;Piperaceae;Saururaceae;Aristolochiaceae;Winteraceae;Chloranthaceae,Asterales;Apiales;Dipsacales;Paracryphiales;Aquifoliales;Lamiales;Boraginales;Gentianales;Solanales;Garryales;Ericales;Cornales;Caryophyllales;Santalales;Dilleniales;Fabales;Rosales;Saxifragales;Cucurbitales;Fagales;Malpighiales;Oxalidales;Celastrales;Zygophyllales;Brassicales;Malvales;Sapindales;Crossosomatales;Myrtales;Geraniales;Vitales;Trochodendrales;Proteales;Ranunculales;Asparagales;Poales;Zingiberales;Arecales;Liliales;Pandanales;Dioscoreales;Alismatales;Magnoliales;Laurales;Piperales;Canellales;Chloranthales,Asterids (Campanulids);Asterids (Lamiids);Asterids (Basal);Caryophyllales;Santalales;Other Eudicots;Rosids (Fabids);Saxifragales;Rosids (Malvids);Rosids (Basal);Basal Eudicots;Monocots;Monocots (Commelinids);Magnoliids;Chloranthales,FALSE,FALSE
Nymphaeaceae,Nymphaeales,Basal Angiosperms,183,Asteraceae;Campanulaceae;Apiaceae;Araliaceae;Caprifoliaceae;Viburnaceae;Paracryphiaceae;Aquifoliaceae;Lamiaceae;Paulowniaceae;Phrymaceae;Acanthaceae;Bignoniaceae;Verbenaceae;Scrophulariaceae;Plantaginaceae;Gesneriaceae;Calceolariaceae;Oleaceae;Boraginaceae;Namaceae;Heliotropiaceae;Cordiaceae;Rubiaceae;Apocynaceae;Gentianaceae;Loganiaceae;Solanaceae;Convolvulaceae;Eucommiaceae;Ericaceae;Actinidiaceae;Sarraceniaceae;Symplocaceae;Diapensiaceae;Primulaceae;Ebenaceae;Lecythidaceae;Sapotaceae;Theaceae;Pentaphylacaceae;Balsaminaceae;Marcgraviaceae;Hydrangeaceae;Cornaceae;Cactaceae;Portulacaceae;Didiereaceae;Basellaceae;Molluginaceae;Aizoaceae;Nyctaginaceae;Petiveriaceae;Phytolaccaceae;Caryophyllaceae;Amaranthaceae;Physenaceae;Polygonaceae;Plumbaginaceae;Tamaricaceae;Loranthaceae;Santalaceae;Balanophoraceae;Olacaceae;Dilleniaceae;Fabaceae;Polygalaceae;Rosaceae;Moraceae;Urticaceae;Cannabaceae;Ulmaceae;Rhamnaceae;Elaeagnaceae;Cynomoriaceae;Cucurbitaceae;Begoniaceae;Coriariaceae;Betulaceae;Casuarinaceae;Myricaceae;Juglandaceae;Fagaceae;Nothofagaceae;Hypericaceae;Clusiaceae;Calophyllaceae;Bonnetiaceae;Malpighiaceae;Elatinaceae;Passifloraceae;Salicaceae;Violaceae;Achariaceae;Phyllanthaceae;Rhizophoraceae;Erythroxylaceae;Pandaceae;Chrysobalanaceae;Euphorbiaceae;Ochnaceae;Humiriaceae;Cunoniaceae;Oxalidaceae;Celastraceae;Zygophyllaceae;Krameriaceae;Brassicaceae;Cleomaceae;Capparaceae;Malvaceae;Muntingiaceae;Dipterocarpaceae;Sarcolaenaceae;Cistaceae;Bixaceae;Thymelaeaceae;Rutaceae;Meliaceae;Simaroubaceae;Sapindaceae;Burseraceae;Anacardiaceae;Stachyuraceae;Melastomataceae;Myrtaceae;Vochysiaceae;Onagraceae;Lythraceae;Combretaceae;Geraniaceae;Francoaceae;Vitaceae;Crassulaceae;Haloragaceae;Saxifragaceae;Grossulariaceae;Hamamelidaceae;Altingiaceae;Daphniphyllaceae;Cercidiphyllaceae;Paeoniaceae;Trochodendraceae;Proteaceae;Platanaceae;Nelumbonaceae;Ranunculaceae;Berberidaceae;Menispermaceae;Lardizabalaceae;Papaveraceae;Eupteleaceae;Orchidaceae;Asparagaceae;Amaryllidaceae;Asphodelaceae;Iridaceae;Poaceae;Eriocaulaceae;Cyperaceae;Bromeliaceae;Typhaceae;Zingiberaceae;Musaceae;Arecaceae;Smilacaceae;Melanthiaceae;Stemonaceae;Velloziaceae;Dioscoreaceae;Araceae;Posidoniaceae;Annonaceae;Myristicaceae;Lauraceae;Hernandiaceae;Siparunaceae;Piperaceae;Saururaceae;Aristolochiaceae;Winteraceae;Chloranthaceae;Schisandraceae,Asterales;Apiales;Dipsacales;Paracryphiales;Aquifoliales;Lamiales;Boraginales;Gentianales;Solanales;Garryales;Ericales;Cornales;Caryophyllales;Santalales;Dilleniales;Fabales;Rosales;Saxifragales;Cucurbitales;Fagales;Malpighiales;Oxalidales;Celastrales;Zygophyllales;Brassicales;Malvales;Sapindales;Crossosomatales;Myrtales;Geraniales;Vitales;Trochodendrales;Proteales;Ranunculales;Asparagales;Poales;Zingiberales;Arecales;Liliales;Pandanales;Dioscoreales;Alismatales;Magnoliales;Laurales;Piperales;Canellales;Chloranthales;Austrobaileyales,Asterids (Campanulids);Asterids (Lamiids);Asterids (Basal);Caryophyllales;Santalales;Other Eudicots;Rosids (Fabids);Saxifragales;Rosids (Malvids);Rosids (Basal);Basal Eudicots;Monocots;Monocots (Commelinids);Magnoliids;Chloranthales;Basal Angiosperms,FALSE,TRUE
Podocarpaceae,Cupressales,Gymnosperms,1,Araucariaceae,Cupressales,Gymnosperms,TRUE,TRUE
Araucariaceae,Cupressales,Gymnosperms,1,Podocarpaceae,Cupressales,Gymnosperms,TRUE,TRUE
Cupressaceae,Cupressales,Gymnosperms,2,Cephalotaxaceae;Taxaceae,Cupressales,Gymnosperms,TRUE,TRUE
Cephalotaxaceae,,Gymnosperms,1,Taxaceae,Cupressales,Gymnosperms,FALSE,TRUE
Taxaceae,Cupressales,Gymnosperms,1,Cephalotaxaceae,,Gymnosperms,FALSE,TRUE
Sciadopityaceae,Cupressales,Gymnosperms,3,Cupressaceae;Cephalotaxaceae;Taxaceae,Cupressales,Gymnosperms,TRUE,TRUE
Pinaceae,Pinales,Gymnosperms,6,Podocarpaceae;Araucariaceae;Cupressaceae;Cephalotaxaceae;Taxaceae;Sciadopityaceae,Cupressales,Gymnosperms,FALSE,TRUE
Cycadaceae,Cycadales,Gymnosperms,2,Ephedraceae;Gnetaceae,Gnetales,Gymnosperms,FALSE,TRUE
