resolved_accepted_id,taxonID,scientificName,taxonomicStatus,acceptedNameUsageID,family,genus,taxonRank,taxonomic_status_norm,exact_name_norm,key,match_exact_original,match_canonical_key,included_as_accepted_target,accepted_name_resolved,accepted_family_resolved,accepted_genus_resolved,accepted_rank_resolved
wfo-0000283602,wfo-0000283602,Prosthechea radiata,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea radiata,prosthechea radiata,TRUE,TRUE,TRUE,Prosthechea radiata,Orchidaceae,Prosthechea,species
wfo-0000283611,wfo-0000283611,Prosthechea sessiliflora,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea sessiliflora,prosthechea sessiliflora,TRUE,TRUE,TRUE,Prosthechea sessiliflora,Orchidaceae,Prosthechea,species
wfo-0000283615,wfo-0000283615,Prosthechea suzanensis,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea suzanensis,prosthechea suzanensis,TRUE,TRUE,TRUE,Prosthechea suzanensis,Orchidaceae,Prosthechea,species
wfo-0000283624,wfo-0000283624,Prosthechea vespa,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea vespa,prosthechea vespa,TRUE,TRUE,TRUE,Prosthechea vespa,Orchidaceae,Prosthechea,species
wfo-0000283629,wfo-0000283629,Prosthechea widgrenii,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea widgrenii,prosthechea widgrenii,TRUE,TRUE,TRUE,Prosthechea widgrenii,Orchidaceae,Prosthechea,species
wfo-0000134760,wfo-0000134760,Proustia cuneifolia,Accepted,,Asteraceae,Proustia,species,accepted,proustia cuneifolia,proustia cuneifolia,TRUE,TRUE,TRUE,Proustia cuneifolia,Asteraceae,Proustia,species
wfo-4000031284,wfo-4000031284,Prunus,Accepted,,Rosaceae,Prunus,genus,accepted,prunus,prunus,TRUE,TRUE,TRUE,Prunus,Rosaceae,Prunus,genus
wfo-0000985585,wfo-0000985585,Prunus × fruticans,Accepted,,Rosaceae,Prunus,species,accepted,prunus * fruticans,prunus *,FALSE,FALSE,TRUE,Prunus × fruticans,Rosaceae,Prunus,species
wfo-0000983576,wfo-0000983576,Prunus × yedoensis,Accepted,,Rosaceae,Prunus,species,accepted,prunus * yedoensis,prunus *,FALSE,FALSE,TRUE,Prunus × yedoensis,Rosaceae,Prunus,species
wfo-0001015846,wfo-0001015846,Prunus amygdalus,Accepted,,Rosaceae,Prunus,species,accepted,prunus amygdalus,prunus amygdalus,TRUE,TRUE,TRUE,Prunus amygdalus,Rosaceae,Prunus,species
,wfo-0000995960,Prunus amygdalus,Unchecked,,Rosaceae,Prunus,species,unchecked,prunus amygdalus,prunus amygdalus,TRUE,TRUE,FALSE,,,,
,wfo-1200086374,Prunus amygdalus unranked persicoides,Unchecked,,Rosaceae,Prunus,unranked,unchecked,prunus amygdalus unranked persicoides,prunus amygdalus,FALSE,TRUE,FALSE,,,,
wfo-0000991689,wfo-0000991689,Prunus armeniaca,Accepted,,Rosaceae,Prunus,species,accepted,prunus armeniaca,prunus armeniaca,TRUE,TRUE,TRUE,Prunus armeniaca,Rosaceae,Prunus,species
,wfo-0000996075,Prunus armeniaca,Unchecked,,Rosaceae,Prunus,species,unchecked,prunus armeniaca,prunus armeniaca,TRUE,TRUE,FALSE,,,,
,wfo-0000996157,Prunus armeniaca,Unchecked,,Rosaceae,Prunus,species,unchecked,prunus armeniaca,prunus armeniaca,TRUE,TRUE,FALSE,,,,
,wfo-0001006419,Prunus armeniaca,Unchecked,,Rosaceae,Prunus,species,unchecked,prunus armeniaca,prunus armeniaca,TRUE,TRUE,FALSE,,,,
,wfo-0001010030,Prunus armeniaca,Unchecked,,Rosaceae,Prunus,species,unchecked,prunus armeniaca,prunus armeniaca,TRUE,TRUE,FALSE,,,,
wfo-1200074995,wfo-1200075404,Prunus armeniaca lus. pendula,Synonym,wfo-1200074995,Rosaceae,Prunus,lusus,synonym,prunus armeniaca lus. pendula,prunus armeniaca,FALSE,TRUE,FALSE,Prunus armeniaca var. armeniaca,Rosaceae,Prunus,variety
wfo-0001131954,wfo-1200077994,Prunus armeniaca unranked nigra,Synonym,wfo-0001131954,Rosaceae,Prunus,unranked,synonym,prunus armeniaca unranked nigra,prunus armeniaca,FALSE,TRUE,FALSE,Prunus dasycarpa,Rosaceae,Prunus,species
wfo-1200074995,wfo-1200074995,Prunus armeniaca var. armeniaca,Accepted,,Rosaceae,Prunus,variety,accepted,prunus armeniaca var. armeniaca,prunus armeniaca var. armeniaca,FALSE,FALSE,TRUE,Prunus armeniaca var. armeniaca,Rosaceae,Prunus,variety
wfo-0001006607,wfo-0001006607,Prunus avium,Accepted,,Rosaceae,Prunus,species,accepted,prunus avium,prunus avium,TRUE,TRUE,TRUE,Prunus avium,Rosaceae,Prunus,species
wfo-0001006607,wfo-1200075406,Prunus avium lus. asplenifolia,Synonym,wfo-0001006607,Rosaceae,Prunus,lusus,synonym,prunus avium lus. asplenifolia,prunus avium,FALSE,TRUE,FALSE,Prunus avium,Rosaceae,Prunus,species
wfo-0001006607,wfo-1200075408,Prunus avium lus. pendula,Synonym,wfo-0001006607,Rosaceae,Prunus,lusus,synonym,prunus avium lus. pendula,prunus avium,FALSE,TRUE,FALSE,Prunus avium,Rosaceae,Prunus,species
wfo-0001006607,wfo-1200075742,Prunus avium lus. pyramidalis,Synonym,wfo-0001006607,Rosaceae,Prunus,lusus,synonym,prunus avium lus. pyramidalis,prunus avium,FALSE,TRUE,FALSE,Prunus avium,Rosaceae,Prunus,species
wfo-0001016331,wfo-1200075405,Prunus avium prol. acida,Synonym,wfo-0001016331,Rosaceae,Prunus,prole,synonym,prunus avium prol. acida,prunus avium,FALSE,TRUE,FALSE,Prunus cerasus,Rosaceae,Prunus,species
