key,n_wfo_rows,n_taxon_ids,n_resolved_accepted_ids,n_resolved_accepted_names,n_resolved_families,scientific_names,taxonomic_statuses,resolved_accepted_ids,resolved_accepted_names,resolved_families,resolved_genera,resolved_ranks,any_exact_original_match,any_canonical_key_match,any_included_as_accepted_target,key_resolution_status
phoenix loureiroi,1,1,1,1,1,Phoenix loureiroi,accepted,wfo-0000269784,Phoenix loureiroi,Arecaceae,Phoenix,species,TRUE,TRUE,TRUE,single_accepted_id
phoenix sylvestris,1,1,1,1,1,Phoenix sylvestris,accepted,wfo-0000269807,Phoenix sylvestris,Arecaceae,Phoenix,species,TRUE,TRUE,TRUE,single_accepted_id
pholidota chinensis,1,1,1,1,1,Pholidota chinensis,synonym,wfo-0000907176,Coelogyne chinensis,Orchidaceae,Coelogyne,species,TRUE,TRUE,FALSE,single_accepted_id
phonus arborescens,1,1,1,1,1,Phonus arborescens,accepted,wfo-0000032213,Phonus arborescens,Asteraceae,Phonus,species,TRUE,TRUE,TRUE,single_accepted_id
phyla dulcis,1,1,1,1,1,Phyla dulcis,synonym,wfo-0000228801,Lippia dulcis,Verbenaceae,Lippia,species,TRUE,TRUE,FALSE,single_accepted_id
phyllanthus amarus,1,1,1,1,1,Phyllanthus amarus,accepted,wfo-0000270441,Phyllanthus amarus,Phyllanthaceae,Phyllanthus,species,TRUE,TRUE,TRUE,single_accepted_id
phyllanthus atropurpureus,2,2,1,1,1,Phyllanthus atropurpureus,synonym | unchecked,wfo-0000412108,Breynia disticha,Phyllanthaceae,Breynia,species,TRUE,TRUE,FALSE,single_accepted_id
phyllanthus emblica,1,1,1,1,1,Phyllanthus emblica,accepted,wfo-0000270932,Phyllanthus emblica,Phyllanthaceae,Phyllanthus,species,TRUE,TRUE,TRUE,single_accepted_id
phyllanthus graveolens subsp. benthamianus,1,1,1,1,1,Phyllanthus graveolens subsp. benthamianus,accepted,wfo-0000492110,Phyllanthus graveolens subsp. benthamianus,Phyllanthaceae,Phyllanthus,subspecies,FALSE,FALSE,TRUE,single_accepted_id
phyllanthus klotzschianus,1,1,1,1,1,Phyllanthus klotzschianus,accepted,wfo-0000271281,Phyllanthus klotzschianus,Phyllanthaceae,Phyllanthus,species,TRUE,TRUE,TRUE,single_accepted_id
phyllanthus niruri,1,1,1,1,1,Phyllanthus niruri,accepted,wfo-0000271623,Phyllanthus niruri,Phyllanthaceae,Phyllanthus,species,TRUE,TRUE,TRUE,single_accepted_id
phyllanthus reticulatus,1,1,1,1,1,Phyllanthus reticulatus,accepted,wfo-0000271947,Phyllanthus reticulatus,Phyllanthaceae,Phyllanthus,species,TRUE,TRUE,TRUE,single_accepted_id
phyllanthus sellowianus,1,1,1,1,1,Phyllanthus sellowianus,accepted,wfo-0000272071,Phyllanthus sellowianus,Phyllanthaceae,Phyllanthus,species,TRUE,TRUE,TRUE,single_accepted_id
phyllocladus alpinus,1,1,1,1,1,Phyllocladus alpinus,synonym,wfo-0000735853,Phyllocladus trichomanoides var. alpinus,Podocarpaceae,Phyllocladus,variety,TRUE,TRUE,FALSE,single_accepted_id
phyllocladus trichomanoides,1,1,1,1,1,Phyllocladus trichomanoides,accepted,wfo-0000481971,Phyllocladus trichomanoides,Podocarpaceae,Phyllocladus,species,TRUE,TRUE,TRUE,single_accepted_id
phyllocladus trichomanoides var. alpinus,1,1,1,1,1,Phyllocladus trichomanoides var. alpinus,accepted,wfo-0000735853,Phyllocladus trichomanoides var. alpinus,Podocarpaceae,Phyllocladus,variety,FALSE,FALSE,TRUE,single_accepted_id
