key,n_wfo_rows,n_taxon_ids,n_resolved_accepted_ids,n_resolved_accepted_names,n_resolved_families,scientific_names,taxonomic_statuses,resolved_accepted_ids,resolved_accepted_names,resolved_families,resolved_genera,resolved_ranks,any_exact_original_match,any_canonical_key_match,any_included_as_accepted_target,key_resolution_status
crateva religiosa,2,2,2,2,2,Crateva religiosa,accepted | synonym,wfo-0000521533 | wfo-0000625724,Aegle marmelos | Crateva religiosa,Capparaceae | Rutaceae,Aegle | Crateva,species,TRUE,TRUE,TRUE,conflicting_accepted_families
dalea,3,3,3,3,3,Dalea,accepted | synonym,wfo-4000005510 | wfo-4000010680 | wfo-4000024102,Browallia | Dalea | Microdon,Fabaceae | Scrophulariaceae | Solanaceae,Browallia | Dalea | Microdon,genus,TRUE,TRUE,TRUE,conflicting_accepted_families
davallia divaricata,2,2,2,2,2,Davallia divaricata,accepted | synonym,wfo-0001113068 | wfo-0001124802,Davallia divaricata | Odontosoria schlechtendalii,Davalliaceae | Lindsaeaceae,Davallia | Odontosoria,species,TRUE,TRUE,TRUE,conflicting_accepted_families
esenbeckia,3,3,3,3,3,Esenbeckia,accepted | synonym,wfo-4000014038 | wfo-4000015338 | wfo-4000025487,Esenbeckia | Garovaglia | Neesia,Malvaceae | Ptychomniaceae | Rutaceae,Esenbeckia | Garovaglia | Neesia,genus,TRUE,TRUE,TRUE,conflicting_accepted_families
ixora coccinea,3,3,3,3,2,Ixora coccinea,accepted | synonym,wfo-0000218302 | wfo-0000218311 | wfo-0000667056,Embothrium coccineum | Ixora chinensis | Ixora coccinea,Proteaceae | Rubiaceae,Embothrium | Ixora,species,TRUE,TRUE,TRUE,conflicting_accepted_families
juniperus chinensis,2,2,2,2,2,Juniperus chinensis,accepted | synonym,wfo-0000355589 | wfo-0000737073,Juniperus chinensis | Podocarpus macrophyllus var. maki,Cupressaceae | Podocarpaceae,Juniperus | Podocarpus,species | variety,TRUE,TRUE,TRUE,conflicting_accepted_families
mimulus,2,2,2,2,2,Mimulus,accepted | synonym,wfo-4000024336 | wfo-4000032946,Mimulus | Rhinanthus,Orobanchaceae | Phrymaceae,Mimulus | Rhinanthus,genus,TRUE,TRUE,TRUE,conflicting_accepted_families
onychium japonicum,2,2,2,2,2,Onychium japonicum,accepted | synonym,wfo-0000939888 | wfo-0001107373,Dendrobium moniliforme | Onychium japonicum,Orchidaceae | Pteridaceae,Dendrobium | Onychium,species,TRUE,TRUE,TRUE,conflicting_accepted_families
saussurea japonica,3,3,2,2,2,Saussurea japonica,accepted | synonym,wfo-0000033887 | wfo-0000663320,Hosta plantaginea | Saussurea japonica,Asparagaceae | Asteraceae,Hosta | Saussurea,species,TRUE,TRUE,TRUE,conflicting_accepted_families
acacia adunca,2,2,2,2,1,Acacia adunca,accepted | synonym,wfo-0001053987 | wfo-1200001737,Acacia adunca | Acacia linearifolia,Fabaceae,Acacia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acacia anceps,2,2,2,2,1,Acacia anceps,accepted | synonym,wfo-0000185282 | wfo-0000201116,Acacia anceps | Acacia complanata,Fabaceae,Acacia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acacia binervata,2,2,2,2,1,Acacia binervata,accepted | synonym,wfo-0000185290 | wfo-0000185333,Acacia binervata | Acacia verniciflua,Fabaceae,Acacia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acacia calamifolia,4,4,2,2,1,Acacia calamifolia,accepted | synonym | unchecked,wfo-0000185297 | wfo-0000201411,Acacia calamifolia | Acacia quadrilateralis,Fabaceae,Acacia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acacia catechu,3,3,3,3,1,Acacia catechu,synonym,wfo-0001284769 | wfo-0001335075 | wfo-0001427394,Senegalia catechu | Senegalia chundra | Senegalia polyacantha subsp. polyacantha,Fabaceae,Senegalia,species | subspecies,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
acacia dealbata,2,2,2,2,1,Acacia dealbata,accepted | synonym,wfo-0000192338 | wfo-0000201295,Acacia dealbata | Acacia leucolobia,Fabaceae,Acacia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acacia doratoxylon,2,2,2,2,1,Acacia doratoxylon,accepted | synonym,wfo-0000185281 | wfo-0000192748,Acacia acuminata | Acacia doratoxylon,Fabaceae,Acacia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acacia elata,3,3,2,2,1,Acacia elata,accepted | synonym,wfo-0000186098 | wfo-0000193822,Acacia elata | Albizia procera,Fabaceae,Acacia | Albizia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acacia erioloba,2,2,2,2,1,Acacia erioloba,synonym,wfo-0001284774 | wfo-0001336842,Vachellia edgeworthii | Vachellia erioloba,Fabaceae,Vachellia,species,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
acacia horrida,2,2,2,2,1,Acacia horrida,synonym,wfo-0001335076 | wfo-0001336851,Senegalia pennata | Vachellia horrida,Fabaceae,Senegalia | Vachellia,species,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
acacia latifolia,2,2,2,2,1,Acacia latifolia,accepted | synonym,wfo-0000185313 | wfo-0000204086,Acacia latifolia | Acacia melanoxylon,Fabaceae,Acacia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acacia longifolia,2,2,2,2,1,Acacia longifolia,accepted | synonym,wfo-0000192739 | wfo-0000210768,Acacia dentifera | Acacia longifolia,Fabaceae,Acacia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acacia sieberiana,3,3,3,3,1,Acacia sieberiana,synonym,wfo-0000186862 | wfo-0000201188 | wfo-0001336883,Acacia hamiltoniana | Acacia terminalis | Vachellia sieberiana,Fabaceae,Acacia | Vachellia,species,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
acaena pinnatifida,4,4,3,3,1,Acaena pinnatifida,accepted | synonym,wfo-0000985224 | wfo-0000985858 | wfo-0001005319,Acaena pinnatifida | Acaena sericea | Acaena trifida,Rosaceae,Acaena,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acalypha hispida,4,4,3,3,1,Acalypha hispida,accepted | synonym,wfo-0000219111 | wfo-0000950668 | wfo-0000960215,Acalypha hispida | Acalypha lanceolata var. lanceolata | Acalypha poiretii,Euphorbiaceae,Acalypha,species | variety,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
actaea racemosa,2,2,2,2,1,Actaea racemosa,accepted | synonym,wfo-0000455167 | wfo-0000519114,Actaea racemosa | Trautvetteria palmata,Ranunculaceae,Actaea | Trautvetteria,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
afzelia bella,2,2,2,2,1,Afzelia bella,accepted | synonym,wfo-0000211757 | wfo-0000211767,Afzelia bella | Afzelia bipindensis,Fabaceae,Afzelia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
ageratum corymbosum,4,4,2,2,1,Ageratum corymbosum,accepted | synonym | unchecked,wfo-0000034390 | wfo-0000056662,Ageratum corymbosum | Stylotrichium corymbosum,Asteraceae,Ageratum | Stylotrichium,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
aglaia edulis,3,3,3,3,1,Aglaia edulis,accepted | synonym,wfo-0000524041 | wfo-0000524337 | wfo-0000524339,Aglaia edulis | Aglaia saltatorum | Aglaia samoensis,Meliaceae,Aglaia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
albizia julibrissin,2,2,2,2,1,Albizia julibrissin,accepted | synonym,wfo-0000173835 | wfo-0000199752,Albizia julibrissin | Albizia lebbekoides,Fabaceae,Albizia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
alchemilla speciosa,3,3,2,2,1,Alchemilla speciosa,accepted | synonym | unchecked,wfo-0001002002 | wfo-0001014989,Alchemilla malyi | Alchemilla speciosa,Rosaceae,Alchemilla,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
allium atroviolaceum,2,2,2,2,1,Allium atroviolaceum,accepted | synonym,wfo-0000755727 | wfo-0000757393,Allium atroviolaceum | Allium sphaerocephalon,Amaryllidaceae,Allium,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
allium chinense,2,2,2,2,1,Allium chinense,accepted | synonym,wfo-0000755945 | wfo-0000757641,Allium chinense | Allium tuberosum,Amaryllidaceae,Allium,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
alphitonia excelsa,3,3,2,2,1,Alphitonia excelsa,accepted | synonym | unchecked,wfo-0000527304 | wfo-0000527309,Alphitonia excelsa | Alphitonia incana,Rhamnaceae,Alphitonia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
alpinia nutans,2,2,2,2,1,Alpinia nutans,accepted | synonym,wfo-0000338646 | wfo-0000338652,Alpinia nutans | Alpinia oceanica,Zingiberaceae,Alpinia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
ambrosia artemisioides,2,2,2,2,1,Ambrosia artemisioides,accepted | synonym,wfo-0000043582 | wfo-0000073943,Ambrosia arborescens | Ambrosia artemisioides,Asteraceae,Ambrosia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
amorpha fruticosa,2,2,2,2,1,Amorpha fruticosa,accepted | synonym,wfo-0000213510 | wfo-0001426001,Amorpha fruticosa | Maackia amurensis var. amurensis,Fabaceae,Amorpha | Maackia,species | variety,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
ampelopsis cantoniensis,2,2,2,2,1,Ampelopsis cantoniensis,accepted | synonym,wfo-0000531641 | wfo-0001340494,Ampelopsis cantoniensis | Nekemias cantoniensis,Vitaceae,Ampelopsis | Nekemias,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
ampelopsis heterophylla,2,2,2,2,1,Ampelopsis heterophylla,synonym,wfo-0000531675 | wfo-0001245969,Ampelopsis glandulosa var. heterophylla | Parthenocissus semicordata var. semicordata,Vitaceae,Ampelopsis | Parthenocissus,variety,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
anacardium humile,3,3,2,2,1,Anacardium humile,accepted | synonym,wfo-0000533060 | wfo-0000533070,Anacardium humile | Anacardium nanum,Anacardiaceae,Anacardium,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
andrographis ceylanica,2,2,2,2,1,Andrographis ceylanica,synonym,wfo-0000534057 | wfo-0000534085,Andrographis macrobotrys | Andrographis viscosula,Acanthaceae,Andrographis,species,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
andrographis neesiana,2,2,2,2,1,Andrographis neesiana,accepted | synonym,wfo-0000534063 | wfo-0000534078,Andrographis neesiana | Andrographis stellulata,Acanthaceae,Andrographis,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
anethum graveolens,2,2,2,2,1,Anethum graveolens,accepted | synonym,wfo-0000402206 | wfo-0000536042,Anethum graveolens | Ridolfia segetum,Apiaceae,Anethum | Ridolfia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
annona reticulata,2,2,2,2,1,Annona reticulata,accepted | synonym,wfo-0000537847 | wfo-0000537905,Annona mucosa | Annona reticulata,Annonaceae,Annona,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
annona squamosa,3,3,2,2,1,Annona squamosa,accepted | synonym,wfo-0000537847 | wfo-0000537947,Annona mucosa | Annona squamosa,Annonaceae,Annona,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
anthemis altissima,4,4,3,3,1,Anthemis altissima,synonym,wfo-0000063579 | wfo-0000077255 | wfo-0000086301,Anthemis candidissima | Cota altissima | Cota coelopoda,Asteraceae,Anthemis | Cota,species,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
anthemis tomentosa,4,4,3,2,1,Anthemis tomentosa,accepted | synonym | unchecked,wfo-0000067203 | wfo-0000077255 | wfo-0000131386,Anthemis tomentosa | Cota coelopoda,Asteraceae,Anthemis | Cota,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
aquilegia ecalcarata,3,3,3,3,1,Aquilegia ecalcarata,accepted | synonym,wfo-0000541286 | wfo-0000541439 | wfo-0000541607,Aquilegia ecalcarata | Aquilegia micrantha | Aquilegia vulgaris,Ranunculaceae,Aquilegia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
artabotrys odoratissimus,3,3,2,2,1,Artabotrys odoratissimus,synonym,wfo-0000549733 | wfo-0000549776,Artabotrys blumei | Artabotrys hexapetalus,Annonaceae,Artabotrys,species,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
artemisia annua,2,2,2,2,1,Artemisia annua,accepted | synonym,wfo-0000083255 | wfo-0000084708,Artemisia annua | Artemisia gmelinii,Asteraceae,Artemisia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
artemisia campestris,7,7,4,4,1,Artemisia campestris,accepted | synonym | unchecked,wfo-0000052095 | wfo-0000068600 | wfo-0000113945 | wfo-0000131225,Artemisia alba subsp. alba | Artemisia campestris | Artemisia ledebouriana | Artemisia pubescens,Asteraceae,Artemisia,species | subspecies,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
artemisia capillaris,2,2,2,2,1,Artemisia capillaris,accepted | synonym,wfo-0000043717 | wfo-0000115024,Artemisia capillaris | Artemisia scoparia,Asteraceae,Artemisia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
artemisia judaica,2,2,2,2,1,Artemisia judaica,accepted | synonym,wfo-0000084245 | wfo-0000127822,Artemisia judaica | Artemisia loureiroi,Asteraceae,Artemisia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
artemisia ludoviciana,3,3,2,2,1,Artemisia ludoviciana,accepted | synonym | unchecked,wfo-0000003410 | wfo-0000747726,Artemisia indica | Artemisia ludoviciana,Asteraceae,Artemisia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
artemisia vulgaris,4,4,2,2,1,Artemisia vulgaris,accepted | synonym | unchecked,wfo-0000115588 | wfo-0000747726,Artemisia indica | Artemisia vulgaris,Asteraceae,Artemisia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
artocarpus reticulatus,3,3,3,3,1,Artocarpus reticulatus,accepted | synonym,wfo-0000550516 | wfo-0000550522 | wfo-0000550586,Artocarpus lacucha | Artocarpus lanceifolius | Artocarpus reticulatus,Moraceae,Artocarpus,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
asarum macranthum,2,2,2,2,1,Asarum macranthum,accepted | synonym,wfo-0000550900 | wfo-0000550962,Asarum macranthum | Asarum shuttleworthii,Aristolochiaceae,Asarum,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
astragalus adsurgens,3,3,3,3,1,Astragalus adsurgens,synonym,wfo-0000179551 | wfo-0001444737 | wfo-0001444980,Astragalus iodanthus var. iodanthus | Astragalus laxmannii subsp. laxmannii | Astragalus varius subsp. varius,Fabaceae,Astragalus,subspecies | variety,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
astragalus austriacus,3,3,3,3,1,Astragalus austriacus,accepted | synonym,wfo-0000208396 | wfo-0000213538 | wfo-0001054280,Astragalus austriacus | Astragalus hamosus | Astragalus versicolor,Fabaceae,Astragalus,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
astragalus caprinus,4,4,3,3,1,Astragalus caprinus,accepted | synonym,wfo-0000185730 | wfo-0000212469 | wfo-0000213554,Astragalus caprinus | Astragalus caprinus subsp. huetii | Astragalus dasyanthus,Fabaceae,Astragalus,species | subspecies,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
astragalus clusii,3,3,3,3,1,Astragalus clusii,synonym,wfo-0000191796 | wfo-0000212503 | wfo-0000553349,Astragalus clusianus | Astragalus glaux | Astragalus hypoglottis subsp. hypoglottis,Fabaceae,Astragalus,species | subspecies,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
astragalus laxmannii,2,2,2,2,1,Astragalus laxmannii,accepted | synonym,wfo-0000207976 | wfo-0001033987,Astragalus laxmannii | Astragalus laxmannii subsp. robustior,Fabaceae,Astragalus,species | subspecies,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
astragalus peregrinus,2,2,2,2,1,Astragalus peregrinus,accepted | synonym,wfo-0000189479 | wfo-0000212549,Astragalus caraganae | Astragalus peregrinus,Fabaceae,Astragalus,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
astragalus sieversianus,2,2,2,2,1,Astragalus sieversianus,accepted | synonym,wfo-0000185144 | wfo-0001425630,Astragalus sieversianus | Oxytropis argentata subsp. argentata,Fabaceae,Astragalus | Oxytropis,species | subspecies,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
baccharis confertifolia,2,2,2,2,1,Baccharis confertifolia,accepted | synonym,wfo-0000086024 | wfo-0000121758,Baccharis confertifolia | Baccharis salicifolia,Asteraceae,Baccharis,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
baccharis heterophylla,2,2,2,2,1,Baccharis heterophylla,accepted | synonym,wfo-0000034125 | wfo-0000138028,Baccharis heterophylla | Baccharis microdonta,Asteraceae,Baccharis,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
baccharis leptocephala,3,3,3,3,1,Baccharis leptocephala,accepted | synonym,wfo-0000019644 | wfo-0000085278 | wfo-0000115994,Baccharis leptocephala | Baccharis linearifolia | Baccharis paniculata,Asteraceae,Baccharis,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
baccharis pingraea,2,2,2,2,1,Baccharis pingraea,synonym,wfo-0000000226 | wfo-0000094649,Baccharis glutinosa | Gymnosperma glutinosum,Asteraceae,Baccharis | Gymnosperma,species,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
baccharis salicifolia,2,2,2,2,1,Baccharis salicifolia,accepted | synonym,wfo-0000073911 | wfo-0000121758,Baccharis salicifolia | Baccharis salicina,Asteraceae,Baccharis,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
baccharis scandens,2,2,2,2,1,Baccharis scandens,accepted | synonym,wfo-0000007759 | wfo-0000040761,Archibaccharis schiedeana | Baccharis scandens,Asteraceae,Archibaccharis | Baccharis,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
baptisia australis,2,2,2,2,1,Baptisia australis,accepted | synonym,wfo-0000182246 | wfo-0000182256,Baptisia australis | Baptisia australis var. minor,Fabaceae,Baptisia,species | variety,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
bauhinia purpurea,3,3,2,2,1,Bauhinia purpurea,accepted | synonym | unchecked,wfo-0000170380 | wfo-0000213155,Bauhinia purpurea | Piliostigma malabaricum,Fabaceae,Bauhinia | Piliostigma,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
bauhinia racemosa,2,2,2,2,1,Bauhinia racemosa,accepted | synonym,wfo-0000186828 | wfo-0000213166,Bauhinia racemosa | Phanera vahlii,Fabaceae,Bauhinia | Phanera,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
bauhinia retusa,3,3,2,2,1,Bauhinia retusa,synonym,wfo-0000183531 | wfo-1000003003,Bauhinia divaricata | Phanera roxburghiana,Fabaceae,Bauhinia | Phanera,species,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
berberis integerrima,3,3,3,3,1,Berberis integerrima,accepted | synonym,wfo-0000562916 | wfo-0000563334 | wfo-0000563355,Berberis canadensis | Berberis integerrima | Berberis jamesiana,Berberidaceae,Berberis,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
betula humilis,3,3,3,3,1,Betula humilis,accepted | synonym,wfo-0000333388 | wfo-0001214756 | wfo-0001426720,Betula × intermedia var. intermedia | Betula humilis | Betula lenta f. lenta,Betulaceae,Betula,form | species | variety,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
betula pubescens,2,2,2,2,1,Betula pubescens | Betula pubescens prol. murithii,accepted | synonym,wfo-0000335985 | wfo-0000336212,Betula pubescens | Betula pubescens var. pubescens,Betulaceae,Betula,species | variety,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
bidens bipinnata,2,2,2,2,1,Bidens bipinnata,accepted | synonym,wfo-0000028784 | wfo-0000066682,Bidens bipinnata | Cosmos bipinnatus,Asteraceae,Bidens | Cosmos,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
bidens tripartita,2,2,2,2,1,Bidens tripartita,accepted | synonym,wfo-0000068428 | wfo-0000115943,Bidens pilosa | Bidens tripartita,Asteraceae,Bidens,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
brassica alba,2,2,2,2,1,Brassica alba,synonym,wfo-0000571350 | wfo-0001216509,Brassica oleracea | Sinapis alba subsp. alba,Brassicaceae,Brassica | Sinapis,species | subspecies,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
byrsonima crassifolia,3,3,2,2,1,Byrsonima crassifolia,accepted | synonym,wfo-0000576794 | wfo-0000577076,Byrsonima crassifolia | Byrsonima verbascifolia,Malpighiaceae,Byrsonima,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
caesalpinia mimosoides,2,2,2,2,1,Caesalpinia mimosoides,synonym,wfo-0000186810 | wfo-0001346732,Hultholia mimosoides | Moullava spicata,Fabaceae,Hultholia | Moullava,species,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
calophyllum apetalum,2,2,2,2,1,Calophyllum apetalum,accepted | synonym,wfo-0000581027 | wfo-0000581184,Calophyllum apetalum | Calophyllum inophyllum,Calophyllaceae,Calophyllum,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
calophyllum teysmannii,2,2,2,2,1,Calophyllum teysmannii,accepted | synonym,wfo-0000581075 | wfo-0000581366,Calophyllum calaba var. bracteatum | Calophyllum teysmannii,Calophyllaceae,Calophyllum,species | variety,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
camellia,2,2,2,2,1,Camellia,accepted | synonym,wfo-0001281906 | wfo-4000006359,Camellia | Camellia flavida var. flavida,Theaceae,Camellia,genus | variety,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
campanula barbata,3,3,3,3,1,Campanula barbata,accepted | synonym,wfo-0000826593 | wfo-0000827269 | wfo-0000829003,Campanula barbata | Campanula glomerata | Campanula speciosa,Campanulaceae,Campanula,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
canarium album,4,4,2,2,1,Canarium album,accepted | synonym | unchecked,wfo-0000583426 | wfo-0000583598,Canarium album | Canarium luzonicum,Burseraceae,Canarium,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
caragana tragacanthoides,2,2,2,2,1,Caragana tragacanthoides,accepted | synonym,wfo-0000186046 | wfo-0000186882,Caragana acanthophylla | Caragana tragacanthoides,Fabaceae,Caragana,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
cassia javanica,3,3,3,3,1,Cassia javanica,accepted | synonym,wfo-0000164126 | wfo-0000164753 | wfo-0001319996,Cassia ferruginea var. velloziana | Cassia javanica | Cassia sieberiana,Fabaceae,Cassia,species | variety,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
cassinia quinquefaria,2,2,2,2,1,Cassinia quinquefaria,accepted | synonym,wfo-0000018922 | wfo-0000023375,Cassinia quinquefaria | Haeckeria punctulata,Asteraceae,Cassinia | Haeckeria,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
castanopsis hystrix,2,2,2,2,1,Castanopsis hystrix,accepted | synonym,wfo-0000814910 | wfo-0001240111,Castanopsis hystrix | Castanopsis purpurella subsp. purpurella,Fagaceae,Castanopsis,species | subspecies,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
castanopsis sclerophylla,2,2,2,2,1,Castanopsis sclerophylla,accepted | synonym,wfo-0000815088 | wfo-0001062572,Castanopsis kuchugouzhui | Castanopsis sclerophylla,Fagaceae,Castanopsis,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
centaurea chilensis,2,2,2,2,1,Centaurea chilensis,accepted | synonym,wfo-0000001471 | wfo-0000084143,Centaurea chilensis | Plectocephalus chilensis,Asteraceae,Centaurea | Plectocephalus,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
centaurea montana,4,4,2,2,1,Centaurea montana,accepted | synonym | unchecked,wfo-0000127150 | wfo-0000132430,Centaurea montana | Cheirolophus sempervirens,Asteraceae,Centaurea | Cheirolophus,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
centaurea pallescens,2,2,2,2,1,Centaurea pallescens,accepted | synonym,wfo-0000082897 | wfo-0000131395,Centaurea hyalolepis | Centaurea pallescens,Asteraceae,Centaurea,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
centaurea spinosa,2,2,2,2,1,Centaurea spinosa,accepted | synonym,wfo-0000061575 | wfo-0000079422,Centaurea diffusa | Centaurea spinosa,Asteraceae,Centaurea,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
centaurea spruneri,2,2,2,2,1,Centaurea spruneri,accepted | synonym,wfo-0000026624 | wfo-0000110517,Centaurea spruneri | Centaurea spruneri subsp. guicciardii,Asteraceae,Centaurea,species | subspecies,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
chamaebatia foliolosa,2,2,2,2,1,Chamaebatia foliolosa,accepted | synonym,wfo-0001003392 | wfo-0001003409,Chamaebatia foliolosa | Chamaebatiaria millefolium,Rosaceae,Chamaebatia | Chamaebatiaria,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
cicer songaricum,2,2,2,2,1,Cicer songaricum,accepted | synonym,wfo-0000185213 | wfo-0000186146,Cicer anatolicum | Cicer songaricum,Fabaceae,Cicer,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
cinchona pubescens,3,3,2,2,1,Cinchona pubescens,accepted | synonym | unchecked,wfo-0000239947 | wfo-0000862489,Cinchona pubescens | Melanopsidium nigrum,Rubiaceae,Cinchona | Melanopsidium,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
cinnamomum cassia,4,4,2,2,1,Cinnamomum cassia,synonym | unchecked,wfo-0000604944 | wfo-0001248993,Cinnamomum burmanni | Neolitsea cassia,Lauraceae,Cinnamomum | Neolitsea,species,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
cissus sicyoides,2,2,2,2,1,Cissus sicyoides,synonym,wfo-0000606224 | wfo-0001240939,Cissus discolor | Cissus verticillata subsp. verticillata,Vitaceae,Cissus,species | subspecies,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
citrus *,3,3,3,3,1,Citrus × aurantium | Citrus × aurantium nothof. aurantium | Citrus × aurantium nothof. deliciosa,accepted,wfo-0000607909 | wfo-0000607914 | wfo-1200112333,Citrus × aurantium | Citrus × aurantium nothof. aurantium | Citrus × aurantium nothof. deliciosa,Rutaceae,Citrus,form | species,FALSE,FALSE,TRUE,multiple_accepted_names_same_family
citrus latipes,2,2,2,2,1,Citrus latipes,accepted | synonym,wfo-0000608056 | wfo-0000608099,Citrus hystrix | Citrus latipes,Rutaceae,Citrus,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
