original_name,exact_name_norm,key,n_exact_wfo_rows,n_exact_taxon_ids,n_exact_accepted_ids,n_exact_accepted_names,n_exact_accepted_families,exact_wfo_names,exact_accepted_ids,exact_accepted_names,exact_accepted_families,n_key_wfo_rows,n_key_taxon_ids,n_key_accepted_ids,n_key_accepted_names,n_key_accepted_families,key_wfo_names,key_accepted_ids,key_accepted_names,key_accepted_families,proposed_resolution_status,recommended_match_level
Centrolobium robustum,centrolobium robustum,centrolobium robustum,1,1,1,1,1,Centrolobium robustum,wfo-0000174029,Centrolobium robustum,Fabaceae,1,1,1,1,1,Centrolobium robustum,wfo-0000174029,Centrolobium robustum,Fabaceae,exact_unique,exact
Centrolobium sclerophyllum,centrolobium sclerophyllum,centrolobium sclerophyllum,1,1,1,1,1,Centrolobium sclerophyllum,wfo-0000186728,Centrolobium sclerophyllum,Fabaceae,1,1,1,1,1,Centrolobium sclerophyllum,wfo-0000186728,Centrolobium sclerophyllum,Fabaceae,exact_unique,exact
Centrolobium tomentosum,centrolobium tomentosum,centrolobium tomentosum,1,1,1,1,1,Centrolobium tomentosum,wfo-0000174030,Centrolobium tomentosum,Fabaceae,1,1,1,1,1,Centrolobium tomentosum,wfo-0000174030,Centrolobium tomentosum,Fabaceae,exact_unique,exact
Centromadia,centromadia,centromadia,1,1,1,1,1,Centromadia,wfo-4000007205,Centromadia,Asteraceae,1,1,1,1,1,Centromadia,wfo-4000007205,Centromadia,Asteraceae,exact_unique,exact
Centromadia fitchii,centromadia fitchii,centromadia fitchii,1,1,1,1,1,Centromadia fitchii,wfo-0000042487,Centromadia fitchii,Asteraceae,1,1,1,1,1,Centromadia fitchii,wfo-0000042487,Centromadia fitchii,Asteraceae,exact_unique,exact
Centromadia pungens,centromadia pungens,centromadia pungens,1,1,1,1,1,Centromadia pungens,wfo-0000127373,Centromadia pungens,Asteraceae,1,1,1,1,1,Centromadia pungens,wfo-0000127373,Centromadia pungens,Asteraceae,exact_unique,exact
Centrosema haitiense,centrosema haitiense,centrosema haitiense,1,1,1,1,1,Centrosema haitiense,wfo-0000165557,Centrosema haitiense,Fabaceae,1,1,1,1,1,Centrosema haitiense,wfo-0000165557,Centrosema haitiense,Fabaceae,exact_unique,exact
Centrosema pubescens,centrosema pubescens,centrosema pubescens,1,1,1,1,1,Centrosema pubescens,wfo-0000179155,Centrosema pubescens,Fabaceae,1,1,1,1,1,Centrosema pubescens,wfo-0000179155,Centrosema pubescens,Fabaceae,exact_unique,exact
Centrosema schottii,centrosema schottii,centrosema schottii,1,1,1,1,1,Centrosema schottii,wfo-0000165570,Centrosema schottii,Fabaceae,1,1,1,1,1,Centrosema schottii,wfo-0000165570,Centrosema schottii,Fabaceae,exact_unique,exact
Centrosema virginianum,centrosema virginianum,centrosema virginianum,1,1,1,1,1,Centrosema virginianum,wfo-0000179164,Centrosema virginianum,Fabaceae,1,1,1,1,1,Centrosema virginianum,wfo-0000179164,Centrosema virginianum,Fabaceae,exact_unique,exact
Cephalocereus senilis,cephalocereus senilis,cephalocereus senilis,2,2,1,1,1,Cephalocereus senilis,wfo-0000594770,Cephalocereus senilis,Cactaceae,2,2,1,1,1,Cephalocereus senilis,wfo-0000594770,Cephalocereus senilis,Cactaceae,exact_unique,exact
Cephalotaxus harringtonii,cephalotaxus harringtonii,cephalotaxus harringtonii,1,1,1,1,1,Cephalotaxus harringtonii,wfo-0000594960,Cephalotaxus harringtonii,Cephalotaxaceae,1,1,1,1,1,Cephalotaxus harringtonii,wfo-0000594960,Cephalotaxus harringtonii,Cephalotaxaceae,exact_unique,exact
Ceratiola ericoides,ceratiola ericoides,ceratiola ericoides,1,1,1,1,1,Ceratiola ericoides,wfo-0000596330,Ceratiola ericoides,Ericaceae,1,1,1,1,1,Ceratiola ericoides,wfo-0000596330,Ceratiola ericoides,Ericaceae,exact_unique,exact
Ceratostylis himalaica,ceratostylis himalaica,ceratostylis himalaica,1,1,1,1,1,Ceratostylis himalaica,wfo-0000833205,Ceratostylis himalaica,Orchidaceae,1,1,1,1,1,Ceratostylis himalaica,wfo-0000833205,Ceratostylis himalaica,Orchidaceae,exact_unique,exact
Cercidiphyllum japonicum,cercidiphyllum japonicum,cercidiphyllum japonicum,2,2,1,1,1,Cercidiphyllum japonicum,wfo-0000834990,Cercidiphyllum japonicum,Cercidiphyllaceae,2,2,1,1,1,Cercidiphyllum japonicum,wfo-0000834990,Cercidiphyllum japonicum,Cercidiphyllaceae,exact_unique,exact
Cereus senilis,cereus senilis,cereus senilis,1,1,1,1,1,Cereus senilis,wfo-0000594770,Cephalocereus senilis,Cactaceae,1,1,1,1,1,Cereus senilis,wfo-0000594770,Cephalocereus senilis,Cactaceae,exact_unique,exact
Cestrum parqui,cestrum parqui,cestrum parqui,2,2,1,1,1,Cestrum parqui,wfo-0001020770,Cestrum parqui,Solanaceae,2,2,1,1,1,Cestrum parqui,wfo-0001020770,Cestrum parqui,Solanaceae,exact_unique,exact
Chadsia grevei,chadsia grevei,chadsia grevei,1,1,1,1,1,Chadsia grevei,wfo-0000185938,Chadsia grevei,Fabaceae,1,1,1,1,1,Chadsia grevei,wfo-0000185938,Chadsia grevei,Fabaceae,exact_unique,exact
Chaenomeles japonica,chaenomeles japonica,chaenomeles japonica,2,2,1,1,1,Chaenomeles japonica,wfo-0001003367,Chaenomeles japonica,Rosaceae,2,2,1,1,1,Chaenomeles japonica,wfo-0001003367,Chaenomeles japonica,Rosaceae,exact_unique,exact
Chaenomeles sinensis,chaenomeles sinensis,chaenomeles sinensis,1,1,1,1,1,Chaenomeles sinensis,wfo-0001014223,Pseudocydonia sinensis,Rosaceae,1,1,1,1,1,Chaenomeles sinensis,wfo-0001014223,Pseudocydonia sinensis,Rosaceae,exact_unique,exact
Chamaecrista dimidiata,chamaecrista dimidiata,chamaecrista dimidiata,1,1,1,1,1,Chamaecrista dimidiata,wfo-0001445129,Chamaecrista nomame var. nomame,Fabaceae,1,1,1,1,1,Chamaecrista dimidiata,wfo-0001445129,Chamaecrista nomame var. nomame,Fabaceae,exact_unique,exact
Chamaecrista nomame,chamaecrista nomame,chamaecrista nomame,1,1,1,1,1,Chamaecrista nomame,wfo-0000186843,Chamaecrista nomame,Fabaceae,1,1,1,1,1,Chamaecrista nomame,wfo-0000186843,Chamaecrista nomame,Fabaceae,exact_unique,exact
Chamaecyparis formosensis,chamaecyparis formosensis,chamaecyparis formosensis,1,1,1,1,1,Chamaecyparis formosensis,wfo-0000599448,Chamaecyparis formosensis,Cupressaceae,1,1,1,1,1,Chamaecyparis formosensis,wfo-0000599448,Chamaecyparis formosensis,Cupressaceae,exact_unique,exact
Chamaecyparis obtusa,chamaecyparis obtusa,chamaecyparis obtusa,1,1,1,1,1,Chamaecyparis obtusa,wfo-0000599468,Chamaecyparis obtusa,Cupressaceae,1,1,1,1,1,Chamaecyparis obtusa,wfo-0000599468,Chamaecyparis obtusa,Cupressaceae,exact_unique,exact
Chamaecyparis pisifera,chamaecyparis pisifera,chamaecyparis pisifera,1,1,1,1,1,Chamaecyparis pisifera,wfo-0000599479,Chamaecyparis pisifera,Cupressaceae,1,1,1,1,1,Chamaecyparis pisifera,wfo-0000599479,Chamaecyparis pisifera,Cupressaceae,exact_unique,exact
