original_name,exact_name_norm,key,n_exact_wfo_rows,n_exact_taxon_ids,n_exact_accepted_ids,n_exact_accepted_names,n_exact_accepted_families,exact_wfo_names,exact_accepted_ids,exact_accepted_names,exact_accepted_families,n_key_wfo_rows,n_key_taxon_ids,n_key_accepted_ids,n_key_accepted_names,n_key_accepted_families,key_wfo_names,key_accepted_ids,key_accepted_names,key_accepted_families,proposed_resolution_status,recommended_match_level
Flemingia macrophylla ex,flemingia macrophylla ex,flemingia macrophylla,0,0,0,0,0,,,,,3,3,3,3,1,Flemingia macrophylla,wfo-0000194834 | wfo-0000194840 | wfo-0000691302,Flemingia javanica | Flemingia macrophylla | Flemingia prostrata,Fabaceae,canonical_conflict,manual_review
Hyacinthoides non-scripta ex,hyacinthoides non-scripta ex,hyacinthoides,0,0,0,0,0,,,,,5,5,3,3,1,Hyacinthoides | Hyacinthoides non-scripta | Hyacinthoides non-scripta subsp. hispanica | Hyacinthoides non-scripta var. cernua,wfo-0000664208 | wfo-0000664295 | wfo-4000018462,Hyacinthoides | Hyacinthoides hispanica | Hyacinthoides non-scripta,Asparagaceae,canonical_conflict,manual_review
Parkia biglobosa ex,parkia biglobosa ex,parkia biglobosa,0,0,0,0,0,,,,,2,2,2,2,1,Parkia biglobosa,wfo-0000178891 | wfo-0000179230,Parkia biglobosa | Parkia timoriana,Fabaceae,canonical_conflict,manual_review
Sophora mollis ex,sophora mollis ex,sophora mollis,0,0,0,0,0,,,,,2,2,2,2,1,Sophora mollis,wfo-0000185553 | wfo-0001448821,Sophora mollis | Sophora velutina subsp. velutina,Fabaceae,canonical_conflict,manual_review
Neoraputia alba ex,neoraputia alba ex,neoraputia alba,0,0,0,0,0,,,,,2,2,2,1,1,Neoraputia alba,wfo-0001276752 | wfo-1000080575,Neoraputia alba,Rutaceae,canonical_consensus_multiple_ids,canonical
Anemopaegma arvense ex,anemopaegma arvense ex,anemopaegma arvense,0,0,0,0,0,,,,,1,1,1,1,1,Anemopaegma arvense,wfo-0000780963,Anemopaegma arvense,Bignoniaceae,canonical_unique,canonical
Bulbophyllum odoratissimum ex,bulbophyllum odoratissimum ex,bulbophyllum odoratissimum,0,0,0,0,0,,,,,2,2,1,1,1,Bulbophyllum odoratissimum,wfo-0000568969,Bulbophyllum odoratissimum,Orchidaceae,canonical_unique,canonical
Cercidiphyllum japonicum bis,cercidiphyllum japonicum bis,cercidiphyllum japonicum,0,0,0,0,0,,,,,2,2,1,1,1,Cercidiphyllum japonicum,wfo-0000834990,Cercidiphyllum japonicum,Cercidiphyllaceae,canonical_unique,canonical
Chaenomeles japonica ex,chaenomeles japonica ex,chaenomeles japonica,0,0,0,0,0,,,,,2,2,1,1,1,Chaenomeles japonica,wfo-0001003367,Chaenomeles japonica,Rosaceae,canonical_unique,canonical
Citrus aurantium,citrus aurantium,citrus aurantium,0,0,0,0,0,,,,,25,25,1,1,1,Citrus aurantium subf. ampullacea | Citrus aurantium subf. anonyma | Citrus aurantium subf. asahikan | Citrus aurantium subf. banyu | Citrus aurantium subf. benikawa | Citrus aurantium subf. canaliculata | Citrus aurantium subf. cyathifera | Citrus aurantium subf. dulcis | Citrus aurantium subf. glaberrima | Citrus aurantium subf. hakunikuyu | Citrus aurantium subf. iyo | Citrus aurantium subf. jiyu | Citrus aurantium subf. medioglobosa | Citrus aurantium subf. mitsuyu | Citrus aurantium subf. omikanto | Citrus aurantium subf. pseudogulgul | Citrus aurantium subf. sekitoyu | Citrus aurantium subf. sinensis | Citrus aurantium subf. sinograndis | Citrus aurantium subf. soyu | Citrus aurantium subf. sulcata | Citrus aurantium subf. tengu | Citrus aurantium subf. tosa-asahi | Citrus aurantium subf. truncata | Citrus aurantium subf. yuge-hyokan,wfo-1200112333,Citrus × aurantium nothof. aurantium,Rutaceae,canonical_unique,canonical
Cratoxylum formosum ex,cratoxylum formosum ex,cratoxylum formosum,0,0,0,0,0,,,,,1,1,1,1,1,Cratoxylum formosum,wfo-0000625758,Cratoxylum formosum,Hypericaceae,canonical_unique,canonical
Cyclosorus acuminatus ex,cyclosorus acuminatus ex,cyclosorus acuminatus,0,0,0,0,0,,,,,2,2,1,1,1,Cyclosorus acuminatus,wfo-0001125964,Christella acuminata,Thelypteridaceae,canonical_unique,canonical
Dalbergia nigra ex,dalbergia nigra ex,dalbergia nigra,0,0,0,0,0,,,,,1,1,1,1,1,Dalbergia nigra,wfo-0000170463,Dalbergia nigra,Fabaceae,canonical_unique,canonical
Dennstaedtia zeylanica ex,dennstaedtia zeylanica ex,dennstaedtia zeylanica,0,0,0,0,0,,,,,1,1,1,1,1,Dennstaedtia zeylanica,wfo-1000044503,Sitobolium zeylanicum,Dennstaedtiaceae,canonical_unique,canonical
Friesodielsia enghiana ex,friesodielsia enghiana ex,friesodielsia enghiana,0,0,0,0,0,,,,,1,1,1,1,1,Friesodielsia enghiana,wfo-0001421793,Monanthotaxis enghiana,Annonaceae,canonical_unique,canonical
Garcinia xanthochymus ex,garcinia xanthochymus ex,garcinia xanthochymus,0,0,0,0,0,,,,,1,1,1,1,1,Garcinia xanthochymus,wfo-0000694747,Garcinia xanthochymus,Clusiaceae,canonical_unique,canonical
Holarrhena pubescens ex,holarrhena pubescens ex,holarrhena pubescens,0,0,0,0,0,,,,,1,1,1,1,1,Holarrhena pubescens,wfo-0000982782,Holarrhena pubescens,Apocynaceae,canonical_unique,canonical
Iris germanica,iris germanica,iris germanica,0,0,0,0,0,,,,,1,1,1,1,1,Iris germanica unranked variegata,wfo-0000783371,Iris × germanica,Iridaceae,canonical_unique,canonical
Lonchocarpus sericeus ex,lonchocarpus sericeus ex,lonchocarpus sericeus,0,0,0,0,0,,,,,1,1,1,1,1,Lonchocarpus sericeus,wfo-0000183559,Lonchocarpus sericeus,Fabaceae,canonical_unique,canonical
Lysimachia hillebrandii ex,lysimachia hillebrandii ex,lysimachia hillebrandii,0,0,0,0,0,,,,,1,1,1,1,1,Lysimachia hillebrandii,wfo-0001105366,Lysimachia hillebrandii,Primulaceae,canonical_unique,canonical
Maclura tinctoria ex,maclura tinctoria ex,maclura tinctoria,0,0,0,0,0,,,,,2,2,1,1,1,Maclura tinctoria,wfo-0000447821,Maclura tinctoria,Moraceae,canonical_unique,canonical
Micromeria graeca ex,micromeria graeca ex,micromeria graeca,0,0,0,0,0,,,,,2,2,1,1,1,Micromeria graeca,wfo-0000243277,Micromeria graeca,Lamiaceae,canonical_unique,canonical
Mundulea chapelieri ex,mundulea chapelieri ex,mundulea chapelieri,0,0,0,0,0,,,,,2,2,1,1,1,Mundulea chapelieri,wfo-0000196351,Mundulea chapelieri,Fabaceae,canonical_unique,canonical
Mussaenda hirsutissima ex,mussaenda hirsutissima ex,mussaenda hirsutissima,0,0,0,0,0,,,,,1,1,1,1,1,Mussaenda hirsutissima,wfo-0000246592,Mussaenda hirsutissima,Rubiaceae,canonical_unique,canonical
Peltophorum pterocarpum ex,peltophorum pterocarpum ex,peltophorum pterocarpum,0,0,0,0,0,,,,,1,1,1,1,1,Peltophorum pterocarpum,wfo-0000178769,Peltophorum pterocarpum,Fabaceae,canonical_unique,canonical
Prunus yedoensis,prunus yedoensis,prunus yedoensis,0,0,0,0,0,,,,,1,1,1,1,1,Prunus yedoensis unranked pendula,wfo-0000983576,Prunus × yedoensis,Rosaceae,canonical_unique,canonical
Pueraria peduncularis ex,pueraria peduncularis ex,pueraria peduncularis,0,0,0,0,0,,,,,1,1,1,1,1,Pueraria peduncularis,wfo-0001342972,Toxicopueraria peduncularis,Fabaceae,canonical_unique,canonical
Sophora secundiflora ex,sophora secundiflora ex,sophora secundiflora,0,0,0,0,0,,,,,1,1,1,1,1,Sophora secundiflora,wfo-0001042783,Dermatophyllum secundiflorum,Fabaceae,canonical_unique,canonical
Tabebuia aurea ex,tabebuia aurea ex,tabebuia aurea,0,0,0,0,0,,,,,1,1,1,1,1,Tabebuia aurea,wfo-0000780159,Tabebuia aurea,Bignoniaceae,canonical_unique,canonical
Taxus mairei ex,taxus mairei ex,taxus mairei,0,0,0,0,0,,,,,1,1,1,1,1,Taxus mairei,wfo-0000459404,Taxus mairei,Taxaceae,canonical_unique,canonical
Tripterospermum lanceolatum ex,tripterospermum lanceolatum ex,tripterospermum lanceolatum,0,0,0,0,0,,,,,1,1,1,1,1,Tripterospermum lanceolatum,wfo-0001063743,Tripterospermum lanceolatum,Gentianaceae,canonical_unique,canonical
Uncaria rhynchophylla ex,uncaria rhynchophylla ex,uncaria rhynchophylla,0,0,0,0,0,,,,,1,1,1,1,1,Uncaria rhynchophylla,wfo-0000329305,Uncaria rhynchophylla,Rubiaceae,canonical_unique,canonical
Acacia adunca,acacia adunca,acacia adunca,2,2,2,2,1,Acacia adunca,wfo-0001053987 | wfo-1200001737,Acacia adunca | Acacia linearifolia,Fabaceae,2,2,2,2,1,Acacia adunca,wfo-0001053987 | wfo-1200001737,Acacia adunca | Acacia linearifolia,Fabaceae,exact_conflict,manual_review
Acacia anceps,acacia anceps,acacia anceps,2,2,2,2,1,Acacia anceps,wfo-0000185282 | wfo-0000201116,Acacia anceps | Acacia complanata,Fabaceae,2,2,2,2,1,Acacia anceps,wfo-0000185282 | wfo-0000201116,Acacia anceps | Acacia complanata,Fabaceae,exact_conflict,manual_review
Acacia binervata,acacia binervata,acacia binervata,2,2,2,2,1,Acacia binervata,wfo-0000185290 | wfo-0000185333,Acacia binervata | Acacia verniciflua,Fabaceae,2,2,2,2,1,Acacia binervata,wfo-0000185290 | wfo-0000185333,Acacia binervata | Acacia verniciflua,Fabaceae,exact_conflict,manual_review
Acacia calamifolia,acacia calamifolia,acacia calamifolia,4,4,2,2,1,Acacia calamifolia,wfo-0000185297 | wfo-0000201411,Acacia calamifolia | Acacia quadrilateralis,Fabaceae,4,4,2,2,1,Acacia calamifolia,wfo-0000185297 | wfo-0000201411,Acacia calamifolia | Acacia quadrilateralis,Fabaceae,exact_conflict,manual_review
Acacia catechu,acacia catechu,acacia catechu,3,3,3,3,1,Acacia catechu,wfo-0001284769 | wfo-0001335075 | wfo-0001427394,Senegalia catechu | Senegalia chundra | Senegalia polyacantha subsp. polyacantha,Fabaceae,3,3,3,3,1,Acacia catechu,wfo-0001284769 | wfo-0001335075 | wfo-0001427394,Senegalia catechu | Senegalia chundra | Senegalia polyacantha subsp. polyacantha,Fabaceae,exact_conflict,manual_review
Acacia dealbata,acacia dealbata,acacia dealbata,2,2,2,2,1,Acacia dealbata,wfo-0000192338 | wfo-0000201295,Acacia dealbata | Acacia leucolobia,Fabaceae,2,2,2,2,1,Acacia dealbata,wfo-0000192338 | wfo-0000201295,Acacia dealbata | Acacia leucolobia,Fabaceae,exact_conflict,manual_review
Acacia doratoxylon,acacia doratoxylon,acacia doratoxylon,2,2,2,2,1,Acacia doratoxylon,wfo-0000185281 | wfo-0000192748,Acacia acuminata | Acacia doratoxylon,Fabaceae,2,2,2,2,1,Acacia doratoxylon,wfo-0000185281 | wfo-0000192748,Acacia acuminata | Acacia doratoxylon,Fabaceae,exact_conflict,manual_review
Acacia elata,acacia elata,acacia elata,3,3,2,2,1,Acacia elata,wfo-0000186098 | wfo-0000193822,Acacia elata | Albizia procera,Fabaceae,3,3,2,2,1,Acacia elata,wfo-0000186098 | wfo-0000193822,Acacia elata | Albizia procera,Fabaceae,exact_conflict,manual_review
Acacia erioloba,acacia erioloba,acacia erioloba,2,2,2,2,1,Acacia erioloba,wfo-0001284774 | wfo-0001336842,Vachellia edgeworthii | Vachellia erioloba,Fabaceae,2,2,2,2,1,Acacia erioloba,wfo-0001284774 | wfo-0001336842,Vachellia edgeworthii | Vachellia erioloba,Fabaceae,exact_conflict,manual_review
Acacia horrida,acacia horrida,acacia horrida,2,2,2,2,1,Acacia horrida,wfo-0001335076 | wfo-0001336851,Senegalia pennata | Vachellia horrida,Fabaceae,2,2,2,2,1,Acacia horrida,wfo-0001335076 | wfo-0001336851,Senegalia pennata | Vachellia horrida,Fabaceae,exact_conflict,manual_review
Acacia latifolia,acacia latifolia,acacia latifolia,2,2,2,2,1,Acacia latifolia,wfo-0000185313 | wfo-0000204086,Acacia latifolia | Acacia melanoxylon,Fabaceae,2,2,2,2,1,Acacia latifolia,wfo-0000185313 | wfo-0000204086,Acacia latifolia | Acacia melanoxylon,Fabaceae,exact_conflict,manual_review
Acacia longifolia,acacia longifolia,acacia longifolia,2,2,2,2,1,Acacia longifolia,wfo-0000192739 | wfo-0000210768,Acacia dentifera | Acacia longifolia,Fabaceae,2,2,2,2,1,Acacia longifolia,wfo-0000192739 | wfo-0000210768,Acacia dentifera | Acacia longifolia,Fabaceae,exact_conflict,manual_review
Acacia sieberiana,acacia sieberiana,acacia sieberiana,3,3,3,3,1,Acacia sieberiana,wfo-0000186862 | wfo-0000201188 | wfo-0001336883,Acacia hamiltoniana | Acacia terminalis | Vachellia sieberiana,Fabaceae,3,3,3,3,1,Acacia sieberiana,wfo-0000186862 | wfo-0000201188 | wfo-0001336883,Acacia hamiltoniana | Acacia terminalis | Vachellia sieberiana,Fabaceae,exact_conflict,manual_review
Acaena pinnatifida,acaena pinnatifida,acaena pinnatifida,4,4,3,3,1,Acaena pinnatifida,wfo-0000985224 | wfo-0000985858 | wfo-0001005319,Acaena pinnatifida | Acaena sericea | Acaena trifida,Rosaceae,4,4,3,3,1,Acaena pinnatifida,wfo-0000985224 | wfo-0000985858 | wfo-0001005319,Acaena pinnatifida | Acaena sericea | Acaena trifida,Rosaceae,exact_conflict,manual_review
Acalypha hispida,acalypha hispida,acalypha hispida,4,4,3,3,1,Acalypha hispida,wfo-0000219111 | wfo-0000950668 | wfo-0000960215,Acalypha hispida | Acalypha lanceolata var. lanceolata | Acalypha poiretii,Euphorbiaceae,4,4,3,3,1,Acalypha hispida,wfo-0000219111 | wfo-0000950668 | wfo-0000960215,Acalypha hispida | Acalypha lanceolata var. lanceolata | Acalypha poiretii,Euphorbiaceae,exact_conflict,manual_review
Actaea racemosa,actaea racemosa,actaea racemosa,2,2,2,2,1,Actaea racemosa,wfo-0000455167 | wfo-0000519114,Actaea racemosa | Trautvetteria palmata,Ranunculaceae,2,2,2,2,1,Actaea racemosa,wfo-0000455167 | wfo-0000519114,Actaea racemosa | Trautvetteria palmata,Ranunculaceae,exact_conflict,manual_review
Afzelia bella,afzelia bella,afzelia bella,2,2,2,2,1,Afzelia bella,wfo-0000211757 | wfo-0000211767,Afzelia bella | Afzelia bipindensis,Fabaceae,2,2,2,2,1,Afzelia bella,wfo-0000211757 | wfo-0000211767,Afzelia bella | Afzelia bipindensis,Fabaceae,exact_conflict,manual_review
Ageratum corymbosum,ageratum corymbosum,ageratum corymbosum,4,4,2,2,1,Ageratum corymbosum,wfo-0000034390 | wfo-0000056662,Ageratum corymbosum | Stylotrichium corymbosum,Asteraceae,4,4,2,2,1,Ageratum corymbosum,wfo-0000034390 | wfo-0000056662,Ageratum corymbosum | Stylotrichium corymbosum,Asteraceae,exact_conflict,manual_review
Aglaia edulis,aglaia edulis,aglaia edulis,3,3,3,3,1,Aglaia edulis,wfo-0000524041 | wfo-0000524337 | wfo-0000524339,Aglaia edulis | Aglaia saltatorum | Aglaia samoensis,Meliaceae,3,3,3,3,1,Aglaia edulis,wfo-0000524041 | wfo-0000524337 | wfo-0000524339,Aglaia edulis | Aglaia saltatorum | Aglaia samoensis,Meliaceae,exact_conflict,manual_review
Albizia julibrissin,albizia julibrissin,albizia julibrissin,2,2,2,2,1,Albizia julibrissin,wfo-0000173835 | wfo-0000199752,Albizia julibrissin | Albizia lebbekoides,Fabaceae,2,2,2,2,1,Albizia julibrissin,wfo-0000173835 | wfo-0000199752,Albizia julibrissin | Albizia lebbekoides,Fabaceae,exact_conflict,manual_review
Alchemilla speciosa,alchemilla speciosa,alchemilla speciosa,3,3,2,2,1,Alchemilla speciosa,wfo-0001002002 | wfo-0001014989,Alchemilla malyi | Alchemilla speciosa,Rosaceae,3,3,2,2,1,Alchemilla speciosa,wfo-0001002002 | wfo-0001014989,Alchemilla malyi | Alchemilla speciosa,Rosaceae,exact_conflict,manual_review
Allium atroviolaceum,allium atroviolaceum,allium atroviolaceum,2,2,2,2,1,Allium atroviolaceum,wfo-0000755727 | wfo-0000757393,Allium atroviolaceum | Allium sphaerocephalon,Amaryllidaceae,2,2,2,2,1,Allium atroviolaceum,wfo-0000755727 | wfo-0000757393,Allium atroviolaceum | Allium sphaerocephalon,Amaryllidaceae,exact_conflict,manual_review
Allium chinense,allium chinense,allium chinense,2,2,2,2,1,Allium chinense,wfo-0000755945 | wfo-0000757641,Allium chinense | Allium tuberosum,Amaryllidaceae,2,2,2,2,1,Allium chinense,wfo-0000755945 | wfo-0000757641,Allium chinense | Allium tuberosum,Amaryllidaceae,exact_conflict,manual_review
Alphitonia excelsa,alphitonia excelsa,alphitonia excelsa,3,3,2,2,1,Alphitonia excelsa,wfo-0000527304 | wfo-0000527309,Alphitonia excelsa | Alphitonia incana,Rhamnaceae,3,3,2,2,1,Alphitonia excelsa,wfo-0000527304 | wfo-0000527309,Alphitonia excelsa | Alphitonia incana,Rhamnaceae,exact_conflict,manual_review
Alpinia nutans,alpinia nutans,alpinia nutans,2,2,2,2,1,Alpinia nutans,wfo-0000338646 | wfo-0000338652,Alpinia nutans | Alpinia oceanica,Zingiberaceae,2,2,2,2,1,Alpinia nutans,wfo-0000338646 | wfo-0000338652,Alpinia nutans | Alpinia oceanica,Zingiberaceae,exact_conflict,manual_review
Ambrosia artemisioides,ambrosia artemisioides,ambrosia artemisioides,2,2,2,2,1,Ambrosia artemisioides,wfo-0000043582 | wfo-0000073943,Ambrosia arborescens | Ambrosia artemisioides,Asteraceae,2,2,2,2,1,Ambrosia artemisioides,wfo-0000043582 | wfo-0000073943,Ambrosia arborescens | Ambrosia artemisioides,Asteraceae,exact_conflict,manual_review
Amorpha fruticosa,amorpha fruticosa,amorpha fruticosa,2,2,2,2,1,Amorpha fruticosa,wfo-0000213510 | wfo-0001426001,Amorpha fruticosa | Maackia amurensis var. amurensis,Fabaceae,2,2,2,2,1,Amorpha fruticosa,wfo-0000213510 | wfo-0001426001,Amorpha fruticosa | Maackia amurensis var. amurensis,Fabaceae,exact_conflict,manual_review
Ampelopsis cantoniensis,ampelopsis cantoniensis,ampelopsis cantoniensis,2,2,2,2,1,Ampelopsis cantoniensis,wfo-0000531641 | wfo-0001340494,Ampelopsis cantoniensis | Nekemias cantoniensis,Vitaceae,2,2,2,2,1,Ampelopsis cantoniensis,wfo-0000531641 | wfo-0001340494,Ampelopsis cantoniensis | Nekemias cantoniensis,Vitaceae,exact_conflict,manual_review
Ampelopsis heterophylla,ampelopsis heterophylla,ampelopsis heterophylla,2,2,2,2,1,Ampelopsis heterophylla,wfo-0000531675 | wfo-0001245969,Ampelopsis glandulosa var. heterophylla | Parthenocissus semicordata var. semicordata,Vitaceae,2,2,2,2,1,Ampelopsis heterophylla,wfo-0000531675 | wfo-0001245969,Ampelopsis glandulosa var. heterophylla | Parthenocissus semicordata var. semicordata,Vitaceae,exact_conflict,manual_review
Anacardium humile,anacardium humile,anacardium humile,3,3,2,2,1,Anacardium humile,wfo-0000533060 | wfo-0000533070,Anacardium humile | Anacardium nanum,Anacardiaceae,3,3,2,2,1,Anacardium humile,wfo-0000533060 | wfo-0000533070,Anacardium humile | Anacardium nanum,Anacardiaceae,exact_conflict,manual_review
Andrographis ceylanica,andrographis ceylanica,andrographis ceylanica,2,2,2,2,1,Andrographis ceylanica,wfo-0000534057 | wfo-0000534085,Andrographis macrobotrys | Andrographis viscosula,Acanthaceae,2,2,2,2,1,Andrographis ceylanica,wfo-0000534057 | wfo-0000534085,Andrographis macrobotrys | Andrographis viscosula,Acanthaceae,exact_conflict,manual_review
Andrographis neesiana,andrographis neesiana,andrographis neesiana,2,2,2,2,1,Andrographis neesiana,wfo-0000534063 | wfo-0000534078,Andrographis neesiana | Andrographis stellulata,Acanthaceae,2,2,2,2,1,Andrographis neesiana,wfo-0000534063 | wfo-0000534078,Andrographis neesiana | Andrographis stellulata,Acanthaceae,exact_conflict,manual_review
Anethum graveolens,anethum graveolens,anethum graveolens,2,2,2,2,1,Anethum graveolens,wfo-0000402206 | wfo-0000536042,Anethum graveolens | Ridolfia segetum,Apiaceae,2,2,2,2,1,Anethum graveolens,wfo-0000402206 | wfo-0000536042,Anethum graveolens | Ridolfia segetum,Apiaceae,exact_conflict,manual_review
Annona reticulata,annona reticulata,annona reticulata,2,2,2,2,1,Annona reticulata,wfo-0000537847 | wfo-0000537905,Annona mucosa | Annona reticulata,Annonaceae,2,2,2,2,1,Annona reticulata,wfo-0000537847 | wfo-0000537905,Annona mucosa | Annona reticulata,Annonaceae,exact_conflict,manual_review
Annona squamosa,annona squamosa,annona squamosa,3,3,2,2,1,Annona squamosa,wfo-0000537847 | wfo-0000537947,Annona mucosa | Annona squamosa,Annonaceae,3,3,2,2,1,Annona squamosa,wfo-0000537847 | wfo-0000537947,Annona mucosa | Annona squamosa,Annonaceae,exact_conflict,manual_review
Anthemis altissima,anthemis altissima,anthemis altissima,4,4,3,3,1,Anthemis altissima,wfo-0000063579 | wfo-0000077255 | wfo-0000086301,Anthemis candidissima | Cota altissima | Cota coelopoda,Asteraceae,4,4,3,3,1,Anthemis altissima,wfo-0000063579 | wfo-0000077255 | wfo-0000086301,Anthemis candidissima | Cota altissima | Cota coelopoda,Asteraceae,exact_conflict,manual_review
Anthemis tomentosa,anthemis tomentosa,anthemis tomentosa,4,4,3,2,1,Anthemis tomentosa,wfo-0000067203 | wfo-0000077255 | wfo-0000131386,Anthemis tomentosa | Cota coelopoda,Asteraceae,4,4,3,2,1,Anthemis tomentosa,wfo-0000067203 | wfo-0000077255 | wfo-0000131386,Anthemis tomentosa | Cota coelopoda,Asteraceae,exact_conflict,manual_review
Aquilegia ecalcarata,aquilegia ecalcarata,aquilegia ecalcarata,3,3,3,3,1,Aquilegia ecalcarata,wfo-0000541286 | wfo-0000541439 | wfo-0000541607,Aquilegia ecalcarata | Aquilegia micrantha | Aquilegia vulgaris,Ranunculaceae,3,3,3,3,1,Aquilegia ecalcarata,wfo-0000541286 | wfo-0000541439 | wfo-0000541607,Aquilegia ecalcarata | Aquilegia micrantha | Aquilegia vulgaris,Ranunculaceae,exact_conflict,manual_review
Artabotrys odoratissimus,artabotrys odoratissimus,artabotrys odoratissimus,3,3,2,2,1,Artabotrys odoratissimus,wfo-0000549733 | wfo-0000549776,Artabotrys blumei | Artabotrys hexapetalus,Annonaceae,3,3,2,2,1,Artabotrys odoratissimus,wfo-0000549733 | wfo-0000549776,Artabotrys blumei | Artabotrys hexapetalus,Annonaceae,exact_conflict,manual_review
Artemisia annua,artemisia annua,artemisia annua,2,2,2,2,1,Artemisia annua,wfo-0000083255 | wfo-0000084708,Artemisia annua | Artemisia gmelinii,Asteraceae,2,2,2,2,1,Artemisia annua,wfo-0000083255 | wfo-0000084708,Artemisia annua | Artemisia gmelinii,Asteraceae,exact_conflict,manual_review
Artemisia campestris,artemisia campestris,artemisia campestris,7,7,4,4,1,Artemisia campestris,wfo-0000052095 | wfo-0000068600 | wfo-0000113945 | wfo-0000131225,Artemisia alba subsp. alba | Artemisia campestris | Artemisia ledebouriana | Artemisia pubescens,Asteraceae,7,7,4,4,1,Artemisia campestris,wfo-0000052095 | wfo-0000068600 | wfo-0000113945 | wfo-0000131225,Artemisia alba subsp. alba | Artemisia campestris | Artemisia ledebouriana | Artemisia pubescens,Asteraceae,exact_conflict,manual_review
Artemisia capillaris,artemisia capillaris,artemisia capillaris,2,2,2,2,1,Artemisia capillaris,wfo-0000043717 | wfo-0000115024,Artemisia capillaris | Artemisia scoparia,Asteraceae,2,2,2,2,1,Artemisia capillaris,wfo-0000043717 | wfo-0000115024,Artemisia capillaris | Artemisia scoparia,Asteraceae,exact_conflict,manual_review
Artemisia judaica,artemisia judaica,artemisia judaica,2,2,2,2,1,Artemisia judaica,wfo-0000084245 | wfo-0000127822,Artemisia judaica | Artemisia loureiroi,Asteraceae,2,2,2,2,1,Artemisia judaica,wfo-0000084245 | wfo-0000127822,Artemisia judaica | Artemisia loureiroi,Asteraceae,exact_conflict,manual_review
Artemisia ludoviciana,artemisia ludoviciana,artemisia ludoviciana,3,3,2,2,1,Artemisia ludoviciana,wfo-0000003410 | wfo-0000747726,Artemisia indica | Artemisia ludoviciana,Asteraceae,3,3,2,2,1,Artemisia ludoviciana,wfo-0000003410 | wfo-0000747726,Artemisia indica | Artemisia ludoviciana,Asteraceae,exact_conflict,manual_review
Artemisia vulgaris,artemisia vulgaris,artemisia vulgaris,4,4,2,2,1,Artemisia vulgaris,wfo-0000115588 | wfo-0000747726,Artemisia indica | Artemisia vulgaris,Asteraceae,4,4,2,2,1,Artemisia vulgaris,wfo-0000115588 | wfo-0000747726,Artemisia indica | Artemisia vulgaris,Asteraceae,exact_conflict,manual_review
Artocarpus reticulatus,artocarpus reticulatus,artocarpus reticulatus,3,3,3,3,1,Artocarpus reticulatus,wfo-0000550516 | wfo-0000550522 | wfo-0000550586,Artocarpus lacucha | Artocarpus lanceifolius | Artocarpus reticulatus,Moraceae,3,3,3,3,1,Artocarpus reticulatus,wfo-0000550516 | wfo-0000550522 | wfo-0000550586,Artocarpus lacucha | Artocarpus lanceifolius | Artocarpus reticulatus,Moraceae,exact_conflict,manual_review
Asarum macranthum,asarum macranthum,asarum macranthum,2,2,2,2,1,Asarum macranthum,wfo-0000550900 | wfo-0000550962,Asarum macranthum | Asarum shuttleworthii,Aristolochiaceae,2,2,2,2,1,Asarum macranthum,wfo-0000550900 | wfo-0000550962,Asarum macranthum | Asarum shuttleworthii,Aristolochiaceae,exact_conflict,manual_review
Astragalus adsurgens,astragalus adsurgens,astragalus adsurgens,3,3,3,3,1,Astragalus adsurgens,wfo-0000179551 | wfo-0001444737 | wfo-0001444980,Astragalus iodanthus var. iodanthus | Astragalus laxmannii subsp. laxmannii | Astragalus varius subsp. varius,Fabaceae,3,3,3,3,1,Astragalus adsurgens,wfo-0000179551 | wfo-0001444737 | wfo-0001444980,Astragalus iodanthus var. iodanthus | Astragalus laxmannii subsp. laxmannii | Astragalus varius subsp. varius,Fabaceae,exact_conflict,manual_review
Astragalus austriacus,astragalus austriacus,astragalus austriacus,3,3,3,3,1,Astragalus austriacus,wfo-0000208396 | wfo-0000213538 | wfo-0001054280,Astragalus austriacus | Astragalus hamosus | Astragalus versicolor,Fabaceae,3,3,3,3,1,Astragalus austriacus,wfo-0000208396 | wfo-0000213538 | wfo-0001054280,Astragalus austriacus | Astragalus hamosus | Astragalus versicolor,Fabaceae,exact_conflict,manual_review
Astragalus caprinus,astragalus caprinus,astragalus caprinus,4,4,3,3,1,Astragalus caprinus,wfo-0000185730 | wfo-0000212469 | wfo-0000213554,Astragalus caprinus | Astragalus caprinus subsp. huetii | Astragalus dasyanthus,Fabaceae,4,4,3,3,1,Astragalus caprinus,wfo-0000185730 | wfo-0000212469 | wfo-0000213554,Astragalus caprinus | Astragalus caprinus subsp. huetii | Astragalus dasyanthus,Fabaceae,exact_conflict,manual_review
Astragalus clusii,astragalus clusii,astragalus clusii,3,3,3,3,1,Astragalus clusii,wfo-0000191796 | wfo-0000212503 | wfo-0000553349,Astragalus clusianus | Astragalus glaux | Astragalus hypoglottis subsp. hypoglottis,Fabaceae,3,3,3,3,1,Astragalus clusii,wfo-0000191796 | wfo-0000212503 | wfo-0000553349,Astragalus clusianus | Astragalus glaux | Astragalus hypoglottis subsp. hypoglottis,Fabaceae,exact_conflict,manual_review
