name_id,original_name,exact_name,key,candidate_match_stage,source_name,source_id,source_status,accepted_id,accepted_name,accepted_family,accepted_genus,accepted_rank,taxonomy_signature
3229,Pinus montana,pinus montana,pinus montana,exact,Pinus montana,wfo-0000481748,synonym,wfo-0001091635,Pinus sylvestris var. sylvestris,Pinaceae,Pinus,variety,Pinus sylvestris var. sylvestris||Pinaceae||Pinus||variety
1342,Polygonum salicifolium,polygonum salicifolium,polygonum salicifolium,exact,Polygonum salicifolium,wfo-0000489012,synonym,wfo-0000488056,Persicaria amphibia,Polygonaceae,Persicaria,species,Persicaria amphibia||Polygonaceae||Persicaria||species
1342,Polygonum salicifolium,polygonum salicifolium,polygonum salicifolium,exact,Polygonum salicifolium,wfo-0000489011,synonym,wfo-0000488020,Persicaria decipiens,Polygonaceae,Persicaria,species,Persicaria decipiens||Polygonaceae||Persicaria||species
1097,Potentilla viscosa,potentilla viscosa,potentilla viscosa,exact,Potentilla viscosa,wfo-0000983806,synonym,wfo-0001004432,Potentilla dentata,Rosaceae,Potentilla,species,Potentilla dentata||Rosaceae||Potentilla||species
1097,Potentilla viscosa,potentilla viscosa,potentilla viscosa,exact,Potentilla viscosa,wfo-0001013323,synonym,wfo-0001004967,Potentilla grammopetala,Rosaceae,Potentilla,species,Potentilla grammopetala||Rosaceae||Potentilla||species
1097,Potentilla viscosa,potentilla viscosa,potentilla viscosa,exact,Potentilla viscosa,wfo-0001006577,synonym,wfo-0001016002,Potentilla longifolia,Rosaceae,Potentilla,species,Potentilla longifolia||Rosaceae||Potentilla||species
1097,Potentilla viscosa,potentilla viscosa,potentilla viscosa,exact,Potentilla viscosa,wfo-1200075230,synonym,wfo-0001016002,Potentilla longifolia,Rosaceae,Potentilla,species,Potentilla longifolia||Rosaceae||Potentilla||species
1810,Prunus dulcis,prunus dulcis,prunus dulcis,exact,Prunus dulcis,wfo-0001005398,synonym,wfo-0001015846,Prunus amygdalus,Rosaceae,Prunus,species,Prunus amygdalus||Rosaceae||Prunus||species
1810,Prunus dulcis,prunus dulcis,prunus dulcis,exact,Prunus dulcis,wfo-1200023992,synonym,wfo-0001006607,Prunus avium,Rosaceae,Prunus,species,Prunus avium||Rosaceae||Prunus||species
2453,Rhus undulata,rhus undulata,rhus undulata,exact,Rhus undulata,wfo-1000080368,synonym,wfo-0000434846,Searsia quartiniana,Anacardiaceae,Searsia,species,Searsia quartiniana||Anacardiaceae||Searsia||species
2453,Rhus undulata,rhus undulata,rhus undulata,exact,Rhus undulata,wfo-0000403067,synonym,wfo-0000434853,Searsia undulata,Anacardiaceae,Searsia,species,Searsia undulata||Anacardiaceae||Searsia||species
3638,Rubus laciniatus,rubus laciniatus,rubus laciniatus,exact,Rubus laciniatus,wfo-0000984132,synonym,wfo-0001012948,Rubus nemoralis,Rosaceae,Rubus,species,Rubus nemoralis||Rosaceae||Rubus||species
3638,Rubus laciniatus,rubus laciniatus,rubus laciniatus,exact,Rubus laciniatus,wfo-1000060367,synonym,wfo-0000985000,Rubus ulmifolius,Rosaceae,Rubus,species,Rubus ulmifolius||Rosaceae||Rubus||species
1932,Sedum rupestre,sedum rupestre,sedum rupestre,exact,Sedum rupestre,wfo-0000441437,synonym,wfo-0000396537,Petrosedum rupestre,Crassulaceae,Petrosedum,species,Petrosedum rupestre||Crassulaceae||Petrosedum||species
1932,Sedum rupestre,sedum rupestre,sedum rupestre,exact,Sedum rupestre,wfo-0000441436,synonym,wfo-0000438109,Sedum annuum,Crassulaceae,Sedum,species,Sedum annuum||Crassulaceae||Sedum||species
1104,Sophora mollis ex,sophora mollis ex,sophora mollis,canonical,Sophora mollis,wfo-0000185553,accepted,wfo-0000185553,Sophora mollis,Fabaceae,Sophora,species,Sophora mollis||Fabaceae||Sophora||species
1104,Sophora mollis ex,sophora mollis ex,sophora mollis,canonical,Sophora mollis,wfo-0000207331,synonym,wfo-0001448821,Sophora velutina subsp. velutina,Fabaceae,Sophora,subspecies,Sophora velutina subsp. velutina||Fabaceae||Sophora||subspecies
89,Tephrosia apollinea,tephrosia apollinea,tephrosia apollinea,exact,Tephrosia apollinea,wfo-0000201651,synonym,wfo-0001366468,Tephrosia purpurea subsp. apollinea,Fabaceae,Tephrosia,subspecies,Tephrosia purpurea subsp. apollinea||Fabaceae||Tephrosia||subspecies
89,Tephrosia apollinea,tephrosia apollinea,tephrosia apollinea,exact,Tephrosia apollinea,wfo-1200021708,synonym,wfo-0001061581,Tephrosia uniflora subsp. uniflora,Fabaceae,Tephrosia,subspecies,Tephrosia uniflora subsp. uniflora||Fabaceae||Tephrosia||subspecies
1608,Tephrosia procumbens,tephrosia procumbens,tephrosia procumbens,exact,Tephrosia procumbens,wfo-0001055149,synonym,wfo-0000164219,Tephrosia cinerea,Fabaceae,Tephrosia,species,Tephrosia cinerea||Fabaceae||Tephrosia||species
1608,Tephrosia procumbens,tephrosia procumbens,tephrosia procumbens,exact,Tephrosia procumbens,wfo-0000200372,synonym,wfo-0000203766,Tephrosia pumila,Fabaceae,Tephrosia,species,Tephrosia pumila||Fabaceae||Tephrosia||species
1608,Tephrosia procumbens,tephrosia procumbens,tephrosia procumbens,exact,Tephrosia procumbens,wfo-0000205399,synonym,wfo-0000203766,Tephrosia pumila,Fabaceae,Tephrosia,species,Tephrosia pumila||Fabaceae||Tephrosia||species
3546,Tephrosia woodii,tephrosia woodii,tephrosia woodii,exact,Tephrosia woodii,wfo-0000203339,synonym,wfo-0001421339,Tephrosia capensis var. angustifolia,Fabaceae,Tephrosia,variety,Tephrosia capensis var. angustifolia||Fabaceae||Tephrosia||variety
3546,Tephrosia woodii,tephrosia woodii,tephrosia woodii,exact,Tephrosia woodii,wfo-1200021705,synonym,wfo-0001273986,Tephrosia carrollii,Fabaceae,Tephrosia,species,Tephrosia carrollii||Fabaceae||Tephrosia||species
2462,Terminalia alata,terminalia alata,terminalia alata,exact,Terminalia alata,wfo-0000406788,synonym,wfo-0000408759,Terminalia elliptica,Combretaceae,Terminalia,species,Terminalia elliptica||Combretaceae||Terminalia||species
2462,Terminalia alata,terminalia alata,terminalia alata,exact,Terminalia alata,wfo-0000406786,synonym,wfo-0000408820,Terminalia paniculata,Combretaceae,Terminalia,species,Terminalia paniculata||Combretaceae||Terminalia||species
3902,Teucrium tomentosum,teucrium tomentosum,teucrium tomentosum,exact,Teucrium tomentosum,wfo-0000322690,synonym,wfo-0000322139,Teucrium fruticans,Lamiaceae,Teucrium,species,Teucrium fruticans||Lamiaceae||Teucrium||species
3902,Teucrium tomentosum,teucrium tomentosum,teucrium tomentosum,exact,Teucrium tomentosum,wfo-0000322692,synonym,wfo-0001346987,Teucrium heynei,Lamiaceae,Teucrium,species,Teucrium heynei||Lamiaceae||Teucrium||species
3902,Teucrium tomentosum,teucrium tomentosum,teucrium tomentosum,exact,Teucrium tomentosum,wfo-0000322689,synonym,wfo-0000322488,Teucrium polium subsp. polium,Lamiaceae,Teucrium,subspecies,Teucrium polium subsp. polium||Lamiaceae||Teucrium||subspecies
3902,Teucrium tomentosum,teucrium tomentosum,teucrium tomentosum,exact,Teucrium tomentosum,wfo-0000322691,synonym,wfo-0000322735,Teucrium wightii,Lamiaceae,Teucrium,species,Teucrium wightii||Lamiaceae||Teucrium||species
1117,Thermopsis fabacea,thermopsis fabacea,thermopsis fabacea,exact,Thermopsis fabacea,wfo-0000195337,synonym,wfo-0000194920,Thermopsis californica var. californica,Fabaceae,Thermopsis,variety,Thermopsis californica var. californica||Fabaceae||Thermopsis||variety
1117,Thermopsis fabacea,thermopsis fabacea,thermopsis fabacea,exact,Thermopsis fabacea,wfo-0000192428,synonym,wfo-0000213939,Thermopsis lanceolata,Fabaceae,Thermopsis,species,Thermopsis lanceolata||Fabaceae||Thermopsis||species
