original_name,exact_name,key,legacy_n_accepted_ids,legacy_resolved,hierarchical_resolved,comparison_status,match_rule,resolution_status,accepted_name,accepted_id,accepted_family,accepted_genus,accepted_rank
Glycosmis pentaphylla,glycosmis pentaphylla,glycosmis pentaphylla,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Glycosmis pentaphylla,wfo-0000704558,Rutaceae,Glycosmis,species
Maclura tinctoria ex,maclura tinctoria ex,maclura tinctoria,1,TRUE,TRUE,resolved_by_both,canonical,canonical_unique,Maclura tinctoria,wfo-0000447821,Moraceae,Maclura,species
Maclura tinctoria,maclura tinctoria,maclura tinctoria,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Maclura tinctoria,wfo-0000447821,Moraceae,Maclura,species
Murraya exotica,murraya exotica,murraya exotica,2,FALSE,FALSE,unresolved_by_both,exact_conflict,exact_synonym_conflict,NA,NA,NA,NA,NA
Murraya paniculata,murraya paniculata,murraya paniculata,2,FALSE,TRUE,recovered_by_hierarchical_rules,exact_accepted,exact_accepted_consensus_multiple_ids,Murraya paniculata,wfo-0000453279,Rutaceae,Murraya,species
Pronephrium triphyllum,pronephrium triphyllum,pronephrium triphyllum,1,TRUE,TRUE,resolved_by_both,exact_synonym,exact_synonym_unique,Grypothrix triphylla,wfo-1000027251,Thelypteridaceae,Grypothrix,species
Prunus cerasus,prunus cerasus,prunus cerasus,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Prunus cerasus,wfo-0001016331,Rosaceae,Prunus,species
Senna petersiana,senna petersiana,senna petersiana,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Senna petersiana,wfo-0000184159,Fabaceae,Senna,species
Canavalia rosea,canavalia rosea,canavalia rosea,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Canavalia rosea,wfo-0000189858,Fabaceae,Canavalia,species
Sophora gypsophila,sophora gypsophila,sophora gypsophila,1,TRUE,TRUE,resolved_by_both,exact_synonym,exact_synonym_unique,Dermatophyllum gypsophilum,wfo-0001042782,Fabaceae,Dermatophyllum,species
Dermatophyllum gypsophilum,dermatophyllum gypsophilum,dermatophyllum gypsophilum,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Dermatophyllum gypsophilum,wfo-0001042782,Fabaceae,Dermatophyllum,species
Millettia conraui,millettia conraui,millettia conraui,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Millettia conraui,wfo-0000199801,Fabaceae,Millettia,species
Friesodielsia velutina,friesodielsia velutina,friesodielsia velutina,1,TRUE,TRUE,resolved_by_both,exact_synonym,exact_synonym_unique,Monanthotaxis velutina,wfo-0001421801,Annonaceae,Monanthotaxis,species
Pinus massoniana,pinus massoniana,pinus massoniana,2,FALSE,TRUE,recovered_by_hierarchical_rules,exact_accepted,exact_accepted_unique,Pinus massoniana,wfo-0000736339,Pinaceae,Pinus,species
Diplacus aurantiacus,diplacus aurantiacus,diplacus aurantiacus,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Diplacus aurantiacus,wfo-0000650077,Phrymaceae,Diplacus,species
Mimulus aurantiacus,mimulus aurantiacus,mimulus aurantiacus,1,TRUE,TRUE,resolved_by_both,exact_synonym,exact_synonym_unique,Diplacus aurantiacus,wfo-0000650077,Phrymaceae,Diplacus,species
