original_name,exact_name,key,accepted_name,accepted_id,accepted_ids,accepted_family,accepted_genus,accepted_rank,source_status,tax_status,match_rule,resolution_status,n_candidate_rows,n_candidate_accepted_ids,n_candidate_taxonomies,tax_provider,tax_checked_at,name_id
Artocarpus tonkinensis,artocarpus tonkinensis,artocarpus tonkinensis,Artocarpus tonkinensis,wfo-0000550620,wfo-0000550620,Moraceae,Artocarpus,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,546
Medicago truncatula,medicago truncatula,medicago truncatula,Medicago truncatula,wfo-0000213477,wfo-0000213477,Fabaceae,Medicago,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,547
Garcinia madruno,garcinia madruno,garcinia madruno,Garcinia madruno,wfo-0000694442,wfo-0000694442,Clusiaceae,Garcinia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,548
Garcinia portoricensis,garcinia portoricensis,garcinia portoricensis,Garcinia portoricensis,wfo-0000694585,wfo-0000694585,Clusiaceae,Garcinia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,549
Dorstenia barteri,dorstenia barteri,dorstenia barteri,Dorstenia barteri,wfo-0000654289,wfo-0000654289,Moraceae,Dorstenia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,550
Rosa rugosa,rosa rugosa,rosa rugosa,Rosa rugosa,wfo-0001017421,wfo-0001017421,Rosaceae,Rosa,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,551
Erythrina vogelii,erythrina vogelii,erythrina vogelii,Erythrina vogelii,wfo-0000181225,wfo-0000181225,Fabaceae,Erythrina,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,552
Tephrosia emeroides,tephrosia emeroides,tephrosia emeroides,Tephrosia emeroides,wfo-0000202273,wfo-0000202273,Fabaceae,Tephrosia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,553
Iris spuria,iris spuria,iris spuria,Iris spuria,wfo-0000783889,wfo-0000783889,Iridaceae,Iris,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,554
Alpinia japonica,alpinia japonica,alpinia japonica,Alpinia japonica,wfo-0000338545,wfo-0000338545,Zingiberaceae,Alpinia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,555
Caesalpinia decapetala,caesalpinia decapetala,caesalpinia decapetala,Biancaea decapetala,wfo-0001056568,wfo-0001056568,Fabaceae,Biancaea,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,556
Caesalpinia sappan,caesalpinia sappan,caesalpinia sappan,Biancaea sappan,wfo-0000192766,wfo-0000192766,Fabaceae,Biancaea,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,557
Portulaca oleracea,portulaca oleracea,portulaca oleracea,Portulaca oleracea,wfo-0000484425,wfo-0000484425,Portulacaceae,Portulaca,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,558
Mentha longifolia,mentha longifolia,mentha longifolia,Mentha longifolia,wfo-0001069664,wfo-0001069664,Lamiaceae,Mentha,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,559
Mentha spicata,mentha spicata,mentha spicata,Mentha spicata,wfo-0000241390,wfo-0000241390,Lamiaceae,Mentha,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,560
Zanthoxylum avicennae,zanthoxylum avicennae,zanthoxylum avicennae,Zanthoxylum avicennae,wfo-0001228466,wfo-0001228466,Rutaceae,Zanthoxylum,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,561
Zanthoxylum leprieurii,zanthoxylum leprieurii,zanthoxylum leprieurii,Zanthoxylum leprieurii,wfo-0000429563,wfo-0000429563,Rutaceae,Zanthoxylum,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,562
Rosmarinus officinalis,rosmarinus officinalis,rosmarinus officinalis,Salvia rosmarinus,wfo-0000302167,wfo-0000302167,Lamiaceae,Salvia,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,563
Philotheca rhomboidea,philotheca rhomboidea,philotheca rhomboidea,Philotheca rhomboidea,wfo-0001263476,wfo-0001263476,Rutaceae,Philotheca,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,564
Zanthoxylum gilletii,zanthoxylum gilletii,zanthoxylum gilletii,Zanthoxylum gilletii,wfo-0000429498,wfo-0000429498,Rutaceae,Zanthoxylum,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,565
Calicotome villosa,calicotome villosa,calicotome villosa,Calicotome villosa,wfo-0000213265,wfo-0000213265,Fabaceae,Calicotome,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,566
Citrus taitensis,citrus taitensis,citrus taitensis,NA,NA,NA,NA,NA,NA,NA,unresolved,unresolved,no_match,0,0,0,NA,2026-06-24,567
Citrus limonia,citrus limonia,citrus limonia,Citrus limon,wfo-0001133139,wfo-0001133139,Rutaceae,Citrus,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,568
Citrus sinensis,citrus sinensis,citrus sinensis,Citrus × aurantium nothof. aurantium,wfo-1200112333,wfo-1200112333,Rutaceae,Citrus,form,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,569
Cyclopia falcata,cyclopia falcata,cyclopia falcata,Cyclopia falcata,wfo-0000197696,wfo-0000197696,Fabaceae,Cyclopia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,570
Polygonatum odoratum,polygonatum odoratum,polygonatum odoratum,Polygonatum odoratum,wfo-0000716063,wfo-0000716063,Asparagaceae,Polygonatum,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,571
Verbascum phlomoides,verbascum phlomoides,verbascum phlomoides,Verbascum phlomoides,wfo-0000419193,wfo-0000419193,Scrophulariaceae,Verbascum,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,572
Zanthoxylum zanthoxyloides,zanthoxylum zanthoxyloides,zanthoxylum zanthoxyloides,Zanthoxylum zanthoxyloides,wfo-0000429422,wfo-0000429422,Rutaceae,Zanthoxylum,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,573
Perovskia abrotanoides,perovskia abrotanoides,perovskia abrotanoides,Salvia abrotanoides,wfo-0001428614,wfo-0001428614,Lamiaceae,Salvia,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,574
Flindersia collina,flindersia collina,flindersia collina,Flindersia collina,wfo-0000691379,wfo-0000691379,Rutaceae,Flindersia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,575
Flindersia xanthoxyla,flindersia xanthoxyla,flindersia xanthoxyla,Flindersia xanthoxyla,wfo-0000691410,wfo-0000691410,Rutaceae,Flindersia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,576
Flindersia acuminata,flindersia acuminata,flindersia acuminata,Flindersia acuminata,wfo-0000691368,wfo-0000691368,Rutaceae,Flindersia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,577
Flindersia laevicarpa,flindersia laevicarpa,flindersia laevicarpa,Flindersia laevicarpa,wfo-0000691387,wfo-0000691387,Rutaceae,Flindersia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,578
Mentha piperita,mentha piperita,mentha piperita,NA,NA,NA,NA,NA,NA,NA,unresolved,unresolved,no_match,0,0,0,NA,2026-06-24,579
Nepeta tenuifolia,nepeta tenuifolia,nepeta tenuifolia,Nepeta tenuifolia,wfo-0000251404,wfo-0000251404,Lamiaceae,Nepeta,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,580
Zanthoxylum fauriei,zanthoxylum fauriei,zanthoxylum fauriei,Zanthoxylum fauriei,wfo-0000429504,wfo-0000429504,Rutaceae,Zanthoxylum,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,581
Thymus vulgaris,thymus vulgaris,thymus vulgaris,Thymus vulgaris,wfo-0000324951,wfo-0000324951,Lamiaceae,Thymus,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,582
Perovskia atriplicifolia,perovskia atriplicifolia,perovskia atriplicifolia,Salvia yangii,wfo-0001427364,wfo-0001427364,Lamiaceae,Salvia,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,583
Zanthoxylum dipetalum,zanthoxylum dipetalum,zanthoxylum dipetalum,Zanthoxylum dipetalum,wfo-0001132902,wfo-0001132902,Rutaceae,Zanthoxylum,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,584
